"year","statistical_region","type_of_waste","total_waste_collected","waste_from_producers_no_record","waste_from_producers_with_record","waste_from_collectors_RS","waste_from_processors_RS"
2016,"GORENJSKA","Paper/Cardboard Packaging",1419.6090000000002,1288.507,94.913,4.817,31.372
2016,"GORENJSKA","Wood",202.23,202.23,0,0,0
2016,"GORENJSKA","Wood, not specified in 20 01 37",1902.47,1902.47,0,0,0
2016,"GORENJSKA","Wooden packaging",264.75,178.03,86.72,0,0
2016,"GORIŠKA","Paper/Cardboard Packaging",887.008,728.884,158.124,0,0
2016,"GORIŠKA","Sawdust/Chips/Wood, not specified in 03 01 04",14.64,0,14.64,0,0
2016,"GORIŠKA","Wood",226.325,5.5,220.825,0,0
2016,"GORIŠKA","Wood, not specified in 20 01 37",1667.99,1662.09,5.9,0,0
2016,"GORIŠKA","Wooden packaging",159.56199999999998,131.802,27.76,0,0
2016,"JUGOVZHODNA SLOVENIJA","Paper/Cardboard Packaging",1158.071,1044.914,59.287,0,53.87
2016,"JUGOVZHODNA SLOVENIJA","Sawdust/Chips/Wood, not specified in 03 01 04",1224.884,127.67,335.584,127.67,633.96
2016,"JUGOVZHODNA SLOVENIJA","Waste Bark and Cork",0.061,0,0.061,0,0
2016,"JUGOVZHODNA SLOVENIJA","Wood",95.613,0,95.613,0,0
2016,"JUGOVZHODNA SLOVENIJA","Wood, not specified in 20 01 37",1673.611,1166.412,423.734,72.995,10.47
2016,"JUGOVZHODNA SLOVENIJA","Wooden packaging",496.135,196.251,257.147,13.007,29.73
2016,"KOROŠKA","Paper/Cardboard Packaging",1269.289,74.087,999.956,0,195.246
2016,"KOROŠKA","Wood",22,0,22,0,0
2016,"KOROŠKA","Wooden packaging",596.04,0,596.04,0,0
2016,"OBALNO-KRAŠKA","Paper/Cardboard Packaging",1346.1200000000001,1153.601,192.519,0,0
2016,"OBALNO-KRAŠKA","Sawdust/Chips/Wood, not specified in 03 01 04",1861.8,0,1861.8,0,0
2016,"OBALNO-KRAŠKA","Wood, not specified in 20 01 37",2833.7889999999998,2824.629,9.16,0,0
2016,"OBALNO-KRAŠKA","Wooden packaging",289.79999999999995,0,273.02,16.78,0
2016,"OSREDNJESLOVENSKA","Paper/Cardboard Packaging",18462.074,3601.995,12134.439,1111.843,1613.797
2016,"OSREDNJESLOVENSKA","Wood",6.9799999999999995,5.3,1.68,0,0
2016,"OSREDNJESLOVENSKA","Wood, not specified in 20 01 37",4971.764,4770.387,201.377,0,0
2016,"OSREDNJESLOVENSKA","Wooden packaging",2021.851,227.94,1589.525,201.606,2.78
2016,"PODRAVSKA","Paper/Cardboard Packaging",3868.783,1657.864,2167.872,43.047,0
2016,"PODRAVSKA","Wood",496.764,0,496.764,0,0
2016,"PODRAVSKA","Wood, not specified in 20 01 37",4802.0380000000005,4503.948,265.05,0,33.04
2016,"PODRAVSKA","Wooden packaging",196.716,30.96,165.756,0,0
2016,"POMURSKA","Paper/Cardboard Packaging",535.304,392.787,100.057,23.68,18.78
2016,"POMURSKA","Wood",85.44,0,85.44,0,0
2016,"POMURSKA","Wood, not specified in 20 01 37",254.46,254.46,0,0,0
2016,"POMURSKA","Wooden packaging",21.658,0,21.658,0,0
2016,"POSAVSKA","Miscellaneous Waste",23.04,0,23.04,0,0
2016,"POSAVSKA","Paper/Cardboard Packaging",1402.229,830.168,511.564,40.58,19.917
2016,"POSAVSKA","Wood, not specified in 20 01 37",628.06,619.92,8.14,0,0
2016,"POSAVSKA","Wooden packaging",123.268,30.284,92.984,0,0
2016,"PRIMORSKO-NOTRANJSKA","Paper/Cardboard Packaging",293.35200000000003,167.556,125.796,0,0
2016,"PRIMORSKO-NOTRANJSKA","Wood",2.48,0,1.24,1.24,0
2016,"PRIMORSKO-NOTRANJSKA","Wood, not specified in 20 01 37",577.1899999999999,551.56,25.63,0,0
2016,"SAVINJSKA","Paper/Cardboard Packaging",2053.646,1499.13,189.432,6.96,358.124
2016,"SAVINJSKA","Sawdust/Chips/Wood, not specified in 03 01 04",4.5,0,4.5,0,0
2016,"SAVINJSKA","Wood",89.24,5.44,83.8,0,0
2016,"SAVINJSKA","Wood, not specified in 20 01 37",1784.532,1784.532,0,0,0
2016,"SAVINJSKA","Wooden packaging",171.157,128.275,42.882,0,0
2016,"ZASAVSKA","Paper/Cardboard Packaging",1498.436,476.331,848.228,173.877,0
2016,"ZASAVSKA","Wood, not specified in 20 01 37",553.1,521,32.1,0,0
2016,"ZASAVSKA","Wooden packaging",124.87,0,124.87,0,0
2016,NA,"Paper/Cardboard Packaging",0.14,0,0.14,0,0
2016,NA,"Wood",1.55,0,1.55,0,0
2016,NA,"Wood, not specified in 20 01 37",0.077,0,0.077,0,0
2016,NA,"Wooden packaging",123.89,0,123.89,0,0
