"year","statistical_region","type_of_waste","total_waste_generated","waste_stored_start_year","waste_generated","waste_stored_end_year"
2016,"POMURSKA","Paper/Cardboard Packaging",2543.336,7.929,2535.407,4.796
2016,"POMURSKA","Sawdust/Chips/Wood, not specified in 03 01 04",1143.22,1.14,1142.08,2.6
2016,"POMURSKA","Wood",94.25,0.05,94.2,3.25
2016,"POMURSKA","Wood, not specified in 20 01 37",6.33,0,6.33,0
2016,"POMURSKA","Wooden packaging",455.361,1.292,454.069,2.61
2016,"PODRAVSKA","Paper/Cardboard Packaging",10370.347,19.178,10351.169,6.037
2016,"PODRAVSKA","Sawdust/Chips/Wood, not specified in 03 01 04",280.06,0,280.06,0
2016,"PODRAVSKA","Wood",799.427,0,799.427,0
2016,"PODRAVSKA","Wood, not specified in 20 01 37",677.296,0.142,677.154,0.242
2016,"PODRAVSKA","Wooden packaging",2195.582,23.81,2171.772,14.31
2016,"KOROŠKA","Paper/Cardboard Packaging",1788.677,3.26,1785.417,17.39
2016,"KOROŠKA","Sawdust/Chips/Wood, not specified in 03 01 04",1391.168,0.5,1390.668,0.5
2016,"KOROŠKA","Wood",11.96,0,11.96,0
2016,"KOROŠKA","Wood, not specified in 20 01 37",113.16,0,113.16,0
2016,"KOROŠKA","Wooden packaging",779.385,0.6,778.785,6
2016,"SAVINJSKA","Miscellaneous Waste",1014.61,0,1014.61,0
2016,"SAVINJSKA","Paper/Cardboard Packaging",11368.745,11.538,11357.207,9.177
2016,"SAVINJSKA","Sawdust/Chips/Wood, not specified in 03 01 04",661.159,0,661.159,0
2016,"SAVINJSKA","Wood",163.46,0,163.46,0
2016,"SAVINJSKA","Wood, not specified in 20 01 37",149.258,2.88,146.378,33.16
2016,"SAVINJSKA","Wooden packaging",3775.932,0.761,3775.171,0.946
2016,"ZASAVSKA","Paper/Cardboard Packaging",1004.916,1.29,1003.626,0.36
2016,"ZASAVSKA","Sawdust/Chips/Wood, not specified in 03 01 04",2.1,0,2.1,2.1
2016,"ZASAVSKA","Wood",26.931,0,26.931,0
2016,"ZASAVSKA","Wood, not specified in 20 01 37",93.95,0.62,93.33,0.31
2016,"ZASAVSKA","Wooden packaging",182.75,0,182.75,0.01
2016,"POSAVSKA","Paper/Cardboard Packaging",1386.213,4.011,1382.202,1.046
2016,"POSAVSKA","Sawdust/Chips/Wood, not specified in 03 01 04",22385.733,34,22351.733,52.8
2016,"POSAVSKA","Waste Bark and Cork",3100,0,3100,0
2016,"POSAVSKA","Wood",12.62,0,12.62,0
