"year","statistical_region","type_of_waste","total_waste_given_away","management"
2016,"POMURSKA","Paper/Cardboard Packaging",2682.838,"given to another collector in RS"
2016,"POMURSKA","Sawdust/Chips/Wood, not specified in 03 01 04",1132.62,"given to another collector in RS"
2016,"POMURSKA","Sawdust/Chips/Wood, not specified in 03 01 04",8,"own processing (OVD for processing own waste)"
2016,"POMURSKA","Wood",91,"given to another collector in RS"
2016,"POMURSKA","Wood, not specified in 20 01 37",6.33,"given to another collector in RS"
2016,"POMURSKA","Wooden packaging",452.751,"given to another collector in RS"
2016,"PODRAVSKA","Paper/Cardboard Packaging",8217.007,"given to another collector in RS"
2016,"PODRAVSKA","Paper/Cardboard Packaging",1656.6,"own processing (OVD for processing own waste)"
2016,"PODRAVSKA","Paper/Cardboard Packaging",346.02,"sent to another EU country"
2016,"PODRAVSKA","Sawdust/Chips/Wood, not specified in 03 01 04",0.06,"given to another collector in RS"
2016,"PODRAVSKA","Sawdust/Chips/Wood, not specified in 03 01 04",280,"own processing (OVD for processing own waste)"
2016,"PODRAVSKA","Wood",799.427,"given to another collector in RS"
2016,"PODRAVSKA","Wood, not specified in 20 01 37",675.964,"given to another collector in RS"
2016,"PODRAVSKA","Wood, not specified in 20 01 37",1.09,"own processing (OVD for processing own waste)"
2016,"PODRAVSKA","Wooden packaging",2174.932,"given to another collector in RS"
2016,"PODRAVSKA","Wooden packaging",5.34,"own processing (OVD for processing own waste)"
2016,"PODRAVSKA","Wooden packaging",1,"sent to another EU country"
2016,"KOROŠKA","Paper/Cardboard Packaging",1771.287,"given to another collector in RS"
2016,"KOROŠKA","Sawdust/Chips/Wood, not specified in 03 01 04",78.168,"given to another collector in RS"
2016,"KOROŠKA","Sawdust/Chips/Wood, not specified in 03 01 04",1312.5,"own processing (OVD for processing own waste)"
2016,"KOROŠKA","Wood",11.96,"given to another collector in RS"
2016,"KOROŠKA","Wood, not specified in 20 01 37",113.16,"given to another collector in RS"
2016,"KOROŠKA","Wooden packaging",773.385,"given to another collector in RS"
2016,"SAVINJSKA","Miscellaneous Waste",1014.61,"given to another collector in RS"
2016,"SAVINJSKA","Paper/Cardboard Packaging",11368.238,"given to another collector in RS"
2016,"SAVINJSKA","Sawdust/Chips/Wood, not specified in 03 01 04",661.159,"given to another collector in RS"
2016,"SAVINJSKA","Wood",163.46,"given to another collector in RS"
2016,"SAVINJSKA","Wood, not specified in 20 01 37",116.098,"given to another collector in RS"
2016,"SAVINJSKA","Wooden packaging",3784.686,"given to another collector in RS"
2016,"ZASAVSKA","Paper/Cardboard Packaging",1004.556,"given to another collector in RS"
2016,"ZASAVSKA","Wood",26.931,"given to another collector in RS"
2016,"ZASAVSKA","Wood, not specified in 20 01 37",93.64,"given to another collector in RS"
2016,"ZASAVSKA","Wooden packaging",182.74,"given to another collector in RS"
2016,"POSAVSKA","Paper/Cardboard Packaging",1369.839,"given to another collector in RS"
2016,"POSAVSKA","Paper/Cardboard Packaging",15.36,"own processing (OVD for processing own waste)"
2016,"POSAVSKA","Sawdust/Chips/Wood, not specified in 03 01 04",6.86,"given to another collector in RS"
2016,"POSAVSKA","Sawdust/Chips/Wood, not specified in 03 01 04",22326.073,"own processing (OVD for processing own waste)"
2016,"POSAVSKA","Waste Bark and Cork",3100,"own processing (OVD for processing own waste)"
2016,"POSAVSKA","Wood",12.62,"given to another collector in RS"
2016,"POSAVSKA","Wood, not specified in 20 01 37",12.397,"given to another collector in RS"
2016,"POSAVSKA","Wood, not specified in 20 01 37",29.34,"own processing (OVD for processing own waste)"
2016,"POSAVSKA","Wooden packaging",205.009,"given to another collector in RS"
2016,"POSAVSKA","Wooden packaging",254,"own processing (OVD for processing own waste)"
2016,"JUGOVZHODNASLOVENIJA","Miscellaneous Waste",48.86,"given to another collector in RS"
2016,"JUGOVZHODNASLOVENIJA","Miscellaneous Waste",1.988,"own processing (OVD for processing own waste)"
2016,"JUGOVZHODNASLOVENIJA","Paper/Cardboard Packaging",4391.62,"given to another collector in RS"
2016,"JUGOVZHODNASLOVENIJA","Paper/Cardboard Packaging",361.445,"own processing (OVD for processing own waste)"
2016,"JUGOVZHODNASLOVENIJA","Sawdust/Chips/Wood, not specified in 03 01 04",10793.521,"given to another collector in RS"
2016,"JUGOVZHODNASLOVENIJA","Sawdust/Chips/Wood, not specified in 03 01 04",2385.52,"own processing (OVD for processing own waste)"
2016,"JUGOVZHODNASLOVENIJA","Sawdust/Chips/Wood, not specified in 03 01 04",21.68,"sent to another EU country"
2016,"JUGOVZHODNASLOVENIJA","Waste Bark and Cork",1774.266,"given to another collector in RS"
2016,"JUGOVZHODNASLOVENIJA","Wood",236.207,"given to another collector in RS"
2016,"JUGOVZHODNASLOVENIJA","Wood, not specified in 20 01 37",78.923,"given to another collector in RS"
2016,"JUGOVZHODNASLOVENIJA","Wood, not specified in 20 01 37",104.52,"own processing (OVD for processing own waste)"
2016,"JUGOVZHODNASLOVENIJA","Wooden packaging",2380.871,"given to another collector in RS"
2016,"OSREDNJESLOVENSKA","Paper/Cardboard Packaging",26869.599,"given to another collector in RS"
