"year","statistical_region","type_of_waste","total_waste_given_away"
2016,"GORENJSKA","Paper/Cardboard Packaging",5851.564
2016,"GORENJSKA","Sawdust/Chips/Wood, not specified in 03 01 04",792.56
2016,"GORENJSKA","Wood",222.58999999999997
2016,"GORENJSKA","Wood, not specified in 20 01 37",113.98
2016,"GORENJSKA","Wooden packaging",1827.8680000000002
2016,"GORIŠKA","Paper/Cardboard Packaging",1921.3619999999999
2016,"GORIŠKA","Wood",16.7
2016,"GORIŠKA","Wood, not specified in 20 01 37",188.08
2016,"GORIŠKA","Wooden packaging",920.88
2016,"JUGOVZHODNA SLOVENIJA","Miscellaneous Waste",25.26
2016,"JUGOVZHODNA SLOVENIJA","Paper/Cardboard Packaging",5314.909
2016,"JUGOVZHODNA SLOVENIJA","Sawdust/Chips/Wood, not specified in 03 01 04",1484.479
2016,"JUGOVZHODNA SLOVENIJA","Wood",29.719
2016,"JUGOVZHODNA SLOVENIJA","Wood, not specified in 20 01 37",201.466
2016,"JUGOVZHODNA SLOVENIJA","Wooden packaging",2277.847
2016,"KOROŠKA","Paper/Cardboard Packaging",1165.304
2016,"KOROŠKA","Sawdust/Chips/Wood, not specified in 03 01 04",17.67
2016,"KOROŠKA","Wooden packaging",167.485
2016,"OBALNO-KRAŠKA","Paper/Cardboard Packaging",4589.284
2016,"OBALNO-KRAŠKA","Wood",14.806
2016,"OBALNO-KRAŠKA","Wood, not specified in 20 01 37",1618.226
2016,"OBALNO-KRAŠKA","Wooden packaging",2357.014
2016,"OSREDNJESLOVENSKA","Paper/Cardboard Packaging",52372.208
2016,"OSREDNJESLOVENSKA","Sawdust/Chips/Wood, not specified in 03 01 04",324.53499999999997
2016,"OSREDNJESLOVENSKA","Wood",1514.035
2016,"OSREDNJESLOVENSKA","Wood, not specified in 20 01 37",12523.771
2016,"OSREDNJESLOVENSKA","Wooden packaging",8561.116
2016,"PODRAVSKA","Paper/Cardboard Packaging",10800.076
2016,"PODRAVSKA","Sawdust/Chips/Wood, not specified in 03 01 04",607.8299999999999
2016,"PODRAVSKA","Wood",373.025
2016,"PODRAVSKA","Wood, not specified in 20 01 37",1370.8600000000001
2016,"PODRAVSKA","Wooden packaging",2198.907
2016,"POMURSKA","Paper/Cardboard Packaging",3593.327
2016,"POMURSKA","Sawdust/Chips/Wood, not specified in 03 01 04",1117.44
2016,"POMURSKA","Wood",1.94
2016,"POMURSKA","Wooden packaging",382.627
2016,"POSAVSKA","Paper/Cardboard Packaging",2295.292
2016,"POSAVSKA","Waste Bark and Wood",23065
2016,"POSAVSKA","Wood",10.34
2016,"POSAVSKA","Wood, not specified in 20 01 37",268.66
2016,"POSAVSKA","Wooden packaging",380.677
2016,"PRIMORSKO-NOTRANJSKA","Paper/Cardboard Packaging",187.02
2016,"PRIMORSKO-NOTRANJSKA","Sawdust/Chips/Wood, not specified in 03 01 04",27463.95
2016,"PRIMORSKO-NOTRANJSKA","Wooden packaging",592.066
2016,"SAVINJSKA","Miscellaneous Waste",1014.61
2016,"SAVINJSKA","Paper/Cardboard Packaging",13161.31
2016,"SAVINJSKA","Sawdust/Chips/Wood, not specified in 03 01 04",2041.548
2016,"SAVINJSKA","Wood",291.261
2016,"SAVINJSKA","Wood, not specified in 20 01 37",1814.954
2016,"SAVINJSKA","Wooden packaging",6650.792
2016,"ZASAVSKA","Paper/Cardboard Packaging",66.336
2016,"ZASAVSKA","Wood, not specified in 20 01 37",323.21999999999997
2016,NA,"Paper/Cardboard Packaging",328.085
2016,NA,"Wood",0.915
2016,NA,"Wood, not specified in 20 01 37",351.717
