"year","statistical_region","type_of_waste","total_waste_collected","waste_collected_from_collector_RS","waste_collected_from_other_original_producer_RS","waste_collected_from_other_processing_operator_RS","waste_collected_from_other_EU_country","waste_collected_from_own_waste","waste_collected_from_other_country_outside_EU"
2016,"GORENJSKA","Paper/Cardboard Packaging",5853.971,594.438,4720.959,362.264,0,0,176.31
2016,"GORENJSKA","Sawdust/Chips/Wood, not specified in 03 01 04",792.56,0,792.56,0,0,0,0
2016,"GORENJSKA","Wood",222.58999999999997,202.23,20.36,0,0,0,0
2016,"GORENJSKA","Wood, not specified in 20 01 37",113.97999999999999,49.12,64.86,0,0,0,0
2016,"GORENJSKA","Wooden packaging",1827.8680000000002,210.93,1616.938,0,0,0,0
2016,"GORIŠKA","Paper/Cardboard Packaging",1924.9959999999999,504.465,1420.531,0,0,0,0
2016,"GORIŠKA","Wood",16.7,0,16.7,0,0,0,0
2016,"GORIŠKA","Wood, not specified in 20 01 37",188.08,0,188.08,0,0,0,0
2016,"GORIŠKA","Wooden packaging",920.88,0,920.88,0,0,0,0
2016,"JUGOVZHODNA SLOVENIJA","Miscellaneous Waste",25.26,0,25.26,0,0,0,0
2016,"JUGOVZHODNA SLOVENIJA","Paper/Cardboard Packaging",5676.353999999999,418.572,4613.048,283.289,0,361.445,0
2016,"JUGOVZHODNA SLOVENIJA","Sawdust/Chips/Wood, not specified in 03 01 04",1484.479,0,1484.479,0,0,0,0
2016,"JUGOVZHODNA SLOVENIJA","Wood",29.719,0,29.719,0,0,0,0
2016,"JUGOVZHODNA SLOVENIJA","Wood, not specified in 20 01 37",305.986,62.185,139.281,0,0,104.52,0
2016,"JUGOVZHODNA SLOVENIJA","Wooden packaging",2282.577,45.75,2232.097,0,0,4.73,0
2016,"KOROŠKA","Paper/Cardboard Packaging",1212.91,177.77,983.674,3.9,0,47.566,0
2016,"KOROŠKA","Sawdust/Chips/Wood, not specified in 03 01 04",17.67,0,17.67,0,0,0,0
2016,"KOROŠKA","Wooden packaging",167.485,0,167.485,0,0,0,0
2016,"OBALNO-KRAŠKA","Paper/Cardboard Packaging",4589.284,565.457,3037.802,986.025,0,0,0
2016,"OBALNO-KRAŠKA","Sawdust/Chips/Wood, not specified in 03 01 04",1531.8,0,1531.8,0,0,0,0
2016,"OBALNO-KRAŠKA","Wood",14.806,0,14.806,0,0,0,0
2016,"OBALNO-KRAŠKA","Wood, not specified in 20 01 37",2377.116,1402.989,974.127,0,0,0,0
2016,"OBALNO-KRAŠKA","Wooden packaging",2564.014,0,990.535,1573.479,0,0,0
2016,"OSREDNJESLOVENSKA","Paper/Cardboard Packaging",53642.996999999996,17394.35,20830.37,9021.915,5005.207,1312.015,79.14
2016,"OSREDNJESLOVENSKA","Sawdust/Chips/Wood, not specified in 03 01 04",324.725,38.54,278.005,0,0,8.18,0
2016,"OSREDNJESLOVENSKA","Wood",1539.2649999999999,165.85,1373.415,0,0,0,0
2016,"OSREDNJESLOVENSKA","Wood, not specified in 20 01 37",12591.501,10154.222,1418.707,979.92,0,38.652,0
2016,"OSREDNJESLOVENSKA","Wooden packaging",9299.84,1250.673,4554.416,2749.44,6.587,738.724,0
2016,"PODRAVSKA","Paper/Cardboard Packaging",13195.221,2810.228,7309.054,1074.622,335.237,1656.6,9.48
2016,"PODRAVSKA","Sawdust/Chips/Wood, not specified in 03 01 04",327.83,0,0,327.83,0,0,0
2016,"PODRAVSKA","Wood",373.025,0.635,367.81,4.58,0,0,0
2016,"PODRAVSKA","Wood, not specified in 20 01 37",1276.34,443.58,721.21,110.46,0,1.09,0
2016,"PODRAVSKA","Wooden packaging",2330.667,349.799,1844.818,135,0,1.05,0
2016,"POMURSKA","Paper/Cardboard Packaging",3593.3269999999998,197.708,2269.129,1126.49,0,0,0
2016,"POMURSKA","Sawdust/Chips/Wood, not specified in 03 01 04",1117.44,0,1117.44,0,0,0,0
2016,"POMURSKA","Wood",1.94,0,1.94,0,0,0,0
2016,"POMURSKA","Wood, not specified in 20 01 37",80.92,0,80.92,0,0,0,0
2016,"POMURSKA","Wooden packaging",382.627,0,382.627,0,0,0,0
2016,"POSAVSKA","Paper/Cardboard Packaging",2295.292,748.019,674.578,872.695,0,0,0
2016,"POSAVSKA","Waste Bark and Wood",23065,0,0,0,0,23065,0
2016,"POSAVSKA","Wood",10.34,0,10.34,0,0,0,0
2016,"POSAVSKA","Wood, not specified in 20 01 37",994.58,264.48,700.76,0,0,29.34,0
2016,"POSAVSKA","Wooden packaging",380.677,9.78,116.897,0,0,254,0
2016,"PRIMORSKO-NOTRANJSKA","Paper/Cardboard Packaging",187.02,0,187.02,0,0,0,0
2016,"PRIMORSKO-NOTRANJSKA","Sawdust/Chips/Wood, not specified in 03 01 04",7.15,0,7.15,0,0,0,0
2016,"PRIMORSKO-NOTRANJSKA","Wooden packaging",400.726,0,400.726,0,0,0,0
2016,"SAVINJSKA","Miscellaneous Waste",1014.61,0,1014.61,0,0,0,0
2016,"SAVINJSKA","Paper/Cardboard Packaging",12864.874,1129.355,10558.508,1089.144,87.867,0,0
2016,"SAVINJSKA","Sawdust/Chips/Wood, not specified in 03 01 04",1986.21,997.535,940.155,48.52,0,0,0
2016,"SAVINJSKA","Wood",273.277,156.623,116.654,0,0,0,0
2016,"SAVINJSKA","Wood, not specified in 20 01 37",1717.4850000000001,1577.557,139.928,0,0,0,0
2016,"SAVINJSKA","Wooden packaging",6843.974,1806.685,3728.498,1308.791,0,0,0
2016,"ZASAVSKA","Paper/Cardboard Packaging",52.776,0,52.776,0,0,0,0
2016,"ZASAVSKA","Wood, not specified in 20 01 37",323.22,0,323.22,0,0,0,0
2016,NA,"Paper/Cardboard Packaging",328.08500000000004,113.765,168.24,46.08,0,0,0
2016,NA,"Wood",0.915,0.915,0,0,0,0,0
2016,NA,"Wood, not specified in 20 01 37",351.717,69.297,282.42,0,0,0,0
