"statistical_region","type_of_waste","total_waste_2017","waste_stored_start_year","total_waste_generated","waste_stored_end_year"
"GORENJSKA","Paper/Cardboard Packaging",5937.285,25.681,5911.604,18.332
"GORENJSKA","Sawdust/Chips/Wood, not specified in 03 01 04",990.8510000000001,0.6499999999999999,990.201,0.6499999999999999
"GORENJSKA","Wood",721.4630000000001,0.52,720.943,0.317
"GORENJSKA","Wood, not specified in 20 01 37",3409.214,0.001,3409.2129999999997,0.001
"GORENJSKA","Wooden packaging",1939.4950000000001,2.65,1936.845,5.2
"GORIŠKA","Paper/Cardboard Packaging",4726.03,21.044,4704.986,6.738
"GORIŠKA","Sawdust/Chips/Wood, not specified in 03 01 04",8058.4400000000005,918.1999999999999,7140.24,1212.7
"GORIŠKA","Wood",109.633,1.533,108.1,0.52
"GORIŠKA","Wood, not specified in 20 01 37",3179.37,0,3179.37,0
"GORIŠKA","Wooden packaging",1086.522,1.82,1084.702,1.155
"JUGOVZHODNA SLOVENIJA","Miscellaneous Waste",69.468,0.407,69.06099999999999,0
"JUGOVZHODNA SLOVENIJA","Paper/Cardboard Packaging",6606.769,10.817,6595.952,41.201
"JUGOVZHODNA SLOVENIJA","Sawdust/Chips/Wood, not specified in 03 01 04",5613.736,114.7,5499.036,84.3
"JUGOVZHODNA SLOVENIJA","Waste Bark and Cork",0.267,0,0.267,0
"JUGOVZHODNA SLOVENIJA","Wood",307.29699999999997,0,307.29699999999997,1.38
"JUGOVZHODNA SLOVENIJA","Wood, not specified in 20 01 37",1348.366,0,1348.366,0
"JUGOVZHODNA SLOVENIJA","Wooden packaging",2937.7129999999997,3.23,2934.483,30.7
"KOROŠKA","Paper/Cardboard Packaging",2072.74,16.32,2056.42,1.49
"KOROŠKA","Sawdust/Chips/Wood, not specified in 03 01 04",52.665000000000006,0.5,52.165000000000006,0.5
"KOROŠKA","Wood",25.64,0,25.64,0
"KOROŠKA","Wood, not specified in 20 01 37",46.8,0,46.8,0
"KOROŠKA","Wooden packaging",676.291,6,670.291,0.5
"OBALNO-KRAŠKA","Paper/Cardboard Packaging",4094.628,29.343,4065.285,20.502
"OBALNO-KRAŠKA","Sawdust/Chips/Wood, not specified in 03 01 04",1937.7,0,1937.7,0
"OBALNO-KRAŠKA","Wood",104.146,35.81,68.336,35.81
"OBALNO-KRAŠKA","Wood, not specified in 20 01 37",3900.43,0,3900.43,0.34
"OBALNO-KRAŠKA","Wooden packaging",1210.427,1.1600000000000001,1209.267,1.84
"OSREDNJESLOVENSKA","Miscellaneous Waste",0.612,0,0.612,0
"OSREDNJESLOVENSKA","Paper/Cardboard Packaging",32922.53,265.728,32656.802,496.31699999999995
"OSREDNJESLOVENSKA","Sawdust/Chips/Wood, not specified in 03 01 04",1089.339,2.564,1086.775,1.514
"OSREDNJESLOVENSKA","Waste Bark and Wood",8.11,0.03,8.08,0.05
"OSREDNJESLOVENSKA","Wood",934.353,1.87,932.483,3.8
"OSREDNJESLOVENSKA","Wood, not specified in 20 01 37",7332.2750000000005,0.001,7332.274,2.7609999999999997
"OSREDNJESLOVENSKA","Wooden packaging",7169.662,29.36,7140.302,155.446
"PODRAVSKA","Paper/Cardboard Packaging",13310.277,19.363,13290.914,3.548
"PODRAVSKA","Sawdust/Chips/Wood, not specified in 03 01 04",350,0,350,0
"PODRAVSKA","Wood",495.132,0,495.132,0
"PODRAVSKA","Wood, not specified in 20 01 37",6833.329000000001,0.248,6833.081,0.5
"PODRAVSKA","Wooden packaging",2335.829,14.2,2321.629,2.25
"POMURSKA","Paper/Cardboard Packaging",3124.667,29.091,3095.576,12.968
"POMURSKA","Sawdust/Chips/Wood, not specified in 03 01 04",1630.5600000000002,1.72,1628.8400000000001,2
"POMURSKA","Wood",84.11999999999999,3.25,80.87,0.8
"POMURSKA","Wood, not specified in 20 01 37",363.69,7.001,356.689,2.01
"POMURSKA","Wooden packaging",626.086,2.904,623.182,0.708
"POSAVSKA","Paper/Cardboard Packaging",2064.253,3.958,2060.295,0.524
"POSAVSKA","Sawdust/Chips/Wood, not specified in 03 01 04",1487.715,52.8,1434.915,0
"POSAVSKA","Waste Bark and Wood",35703.307,2951.603,32751.704,9838.463
"POSAVSKA","Wood",6.82,0,6.82,0
"POSAVSKA","Wood, not specified in 20 01 37",561.68,0,561.68,0
"POSAVSKA","Wooden packaging",673.41,181.519,491.891,106
"PRIMORSKO-NOTRANJSKA","Paper/Cardboard Packaging",1421.499,5.027,1416.472,4.976999999999999
"PRIMORSKO-NOTRANJSKA","Sawdust/Chips/Wood, not specified in 03 01 04",1582.83,3.2,1579.6299999999999,0.15
"PRIMORSKO-NOTRANJSKA","Waste Bark and Wood",3.952,0,3.952,0
"PRIMORSKO-NOTRANJSKA","Wood",196.555,0,196.555,0
"PRIMORSKO-NOTRANJSKA","Wood, not specified in 20 01 37",453.12,0,453.12,0
"PRIMORSKO-NOTRANJSKA","Wooden packaging",732.624,0.2,732.424,0
"SAVINJSKA","Miscellaneous Waste",1422.46,0,1422.46,0
"SAVINJSKA","Paper/Cardboard Packaging",12726.295,48.345,12677.95,57.392
