"year","name_of_company","statistical_region","waste_code","type_of_waste","waste_category","total_waste_given_away","waste_handed_to_others_RS","waste_sent_to_EU","waste_treated_by_producer"
2017,"""BUČAR"" BRIGITA BUČAR S.P.; PROŽINSKA VAS 57, 3220 ŠTORE","SAVINJSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",0.4,0.4,0,0
2017,"""CAR IMPEX"" TRGOVINA, POSREDOVANJE CAR ALEKSANDER S.P.; LEVSTIKOVA ULICA 43, 9226 MORAVSKE TOPLICE","POMURSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",2.096,2.096,0,0
2017,"""KLAN METAL"" TRGOVINA NA DEBELO, POSREDNIŠTVO, RAZISKAVA TRGA, ZVONKO KLANČAR S.P.; ULICA DR. BABNIKA 12, 2314 ZGORNJA POLSKAVA","PODRAVSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",1.9,1.9,0,0
2017,"""KLAN METAL"" TRGOVINA NA DEBELO, POSREDNIŠTVO, RAZISKAVA TRGA, ZVONKO KLANČAR S.P.; ULICA DR. BABNIKA 12, 2314 ZGORNJA POLSKAVA","PODRAVSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",3.96,3.96,0,0
2017,"""PAHO"", POLAGANJE TALNIH OBLOG ROBERT HORVAT S.P.; PEČAROVCI 117, 9202 MAČKOVCI","POMURSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",0.03,0.03,0,0
2017,"""PROPOINT"" PRODAJA AVTOMOBILOV DANIJEL ZEMLJIČ S.P.; INDUSTRIJSKA ULICA 5, 2230 LENART V SLOV. GORICAH","PODRAVSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",0.175,0.175,0,0
2017,"""SLAP"" STROJNO KLJUČAVNIČARSTVO PETER SLATNAR S.P.; ULICA IGNACA BORŠTNIKA 16, 4207 CERKLJE NA GORENJSKEM","GORENJSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",0.77,0.77,0,0
2017,"123 HIŠKA, nepremičnine, d.o.o.; VELIKA POT 15, 5250 SOLKAN","GORIŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",0.104,0.104,0,0
2017,"2. OSNOVNA ŠOLA SLOVENSKA BISTRICA; ŠOLSKA ULICA 5, 2310 SLOVENSKA BISTRICA","PODRAVSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",28.64,28.64,0,0
2017,"2M STORITVE, storitve in logistika, d.o.o.; ZAGORICA PRI VELIKEM GABRU 54, 8213 VELIKI GABER","JUGOVZHODNA SLOVENIJA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",58.76,58.76,0,0
2017,"507 projektiranje in marketing d.o.o.; VILHARJEVA CESTA 3, 1000 LJUBLJANA","OSREDNJESLOVENSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",0.06,0.06,0,0
2017,"507 projektiranje in marketing d.o.o.; VILHARJEVA CESTA 3, 1000 LJUBLJANA","OSREDNJESLOVENSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",0.55,0.55,0,0
2017,"507 projektiranje in marketing d.o.o.; VILHARJEVA CESTA 3, 1000 LJUBLJANA","OSREDNJESLOVENSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",0.88,0.88,0,0
2017,"507 projektiranje in marketing d.o.o.; VILHARJEVA CESTA 3, 1000 LJUBLJANA","OSREDNJESLOVENSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",20.799999999999997,20.799999999999997,0,0
2017,"5print, tisk, oglaševanje in druge storitve, d.o.o.; TRŽAŠKA CESTA 37C, 2000 MARIBOR","PODRAVSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",1.8,1.8,0,0
2017,"5print, tisk, oglaševanje in druge storitve, d.o.o.; TRŽAŠKA CESTA 37C, 2000 MARIBOR","PODRAVSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",1.26,1.26,0,0
2017,"5print, tisk, oglaševanje in druge storitve, d.o.o.; TRŽAŠKA CESTA 37C, 2000 MARIBOR","PODRAVSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",3.6,3.6,0,0
