"name_of_company","landfill","volume_filled_start_year","area_filled_start_year","free_capacity_volume_end_year","free_capacity_area_end_year","total_capacity","remaining_capacity","start_date","end_date"
"CENTER ZA RAVNANJE Z ODPADKI ZASAVJE, d.o.o.; BRDCE 41B, 1431 DOL PRI HRASTNIKU","UNIČNO - novo",124686,0,127252,0,127252,0,"01.01.2017","30.06.2017"
"CENTER ZA RAVNANJE Z ODPADKI ZASAVJE, d.o.o.; BRDCE 41B, 1431 DOL PRI HRASTNIKU","UNIČNO - novo",0,0,195693,0,200000,0,"01.07.2017","31.12.2017"
"CEROD, center za ravnanje z odpadki, d.o.o., javno podjetje; KETTEJEV DREVORED 3, 8000 NOVO MESTO","LESKOVEC - novo",518012,37854,754959,26955,1355000,691946,"1.2.2007","31.12.2032"
"ETA CERKNO d.o.o. Tovarna elektrotermičnih aparatov; GORIŠKA CESTA 19, 5282 CERKNO","NOVAKI",18731,4300,96724,9000,213000,168392,"1.2.2005","1.1.2100"
"HALDA okoljski inženiring d.o.o.; TOVARNIŠKA CESTA 51, 2342 RUŠE","HALDA TDR",23224,6753,21225,6186,49000,40241,"01.04.2016","24.09.2027"
"Javne službe Ptuj, podjetje za izvajanje gospodarskih javnih služb in drugih dejavnosti, d.o.o.; ULICA HEROJA LACKA 3, 2250 PTUJ","CERO GAJKE",174369,26800,174278,26800,456114,218329,"1.7.2003","1.1.2037"
"JAVNO KOMUNALNO PODJETJE GROSUPLJE d.o.o.; CESTA NA KRKO 7, 1290 GROSUPLJE","ŠPAJA DOLINA",152309,19125,4429,0,166381,8993,"1.4.2001","31.12.2020"
"Javno podjetje center za ravnanje z odpadki Puconci d.o.o.; VANEČA 81B, 9201 PUCONCI","PUCONCI - novo",117599,13787,34132,13787,155990,25473,"3.5.2010","31.12.2019"
"JEKO, javno komunalno podjetje, d.o.o., Jesenice; CESTA MARŠALA TITA 51, 4270 JESENICE","MALA MEŽAKLA",442346,33795,192500,33795,713957,201237,"26.10.1997","31.12.2026"
"KOCEROD, družba za ravnanje z odpadki d.o.o.; MISLINJSKA DOBRAVA 108A, 2383 ŠMARTNO PRI SLOVENJ GRADCU","ZMES",8358,0,92546,0,84240,71954,"01.08.2015","31.12.2030"
"KOMUNALA SLOVENSKA BISTRICA podjetje za komunalne in druge storitve d.o.o.; ULICA POHORSKEGA BATALJONA 12, 2310 SLOVENSKA BISTRICA","PRAGERSKO",48323,19100,84000,16950,84000,44233,"01.01.2012","31.12.2030"
"KOMUNALA TREBNJE d.o.o.; GOLIEV TRG 9, 8210 TREBNJE","GLOBOKO",19203,9658,45927,9658,85185,55112,"10.12.2014","30.12.2021"
"KOMUNALA TREBNJE d.o.o.; GOLIEV TRG 9, 8210 TREBNJE","GLOBOKO",335,977,11582,977,5700,5391,"01.12.2015","30.12.2021"
"LF, skladiščenje in upravljanje z odpadki, d.o.o.; STRMA CESTA 1A, 3250 ROGAŠKA SLATINA","TUNCOVEC - novo",28111,4406,25685,3712,66500,30822,"01.10.2012","01.10.2021"
"LIVAR, Proizvodnja in obdelava ulitkov, d.d.; LJUBLJANSKA CESTA 43, 1295 IVANČNA GORICA","SUHI MOST",0,0,0,0,0,0,"01.01.2007","31.12.2014"
"MPI-RECIKLAŽA metalurgija, plastika in inženiring d.o.o.; ŽERJAV 79, 2393 ČRNA NA KOROŠKEM","NOMO MEŽICA",49599,1680,28259,1600,105320,16623,"27.03.2017","03.11.2017"
"SALONIT ANHOVO Gradbeni materiali, d.d.; ANHOVO 1, 5210 DESKLE","DESKLE",48707,1090,10393,11608,118200,9534,"26.05.1988","31.12.2021"
"SIJ ACRONI podjetje za proizvodnjo jekla in jeklenih izdelkov d.o.o.; CESTA BORISA KIDRIČA 44, 4270 JESENICE","JAVORNIK",244394,33683,145952,22000,936831,350286,"01.01.1983","03.01.2017"
"SIMBIO, družba za ravnanje z odpadki d.o.o.; TEHARSKA CESTA 49, 3000 CELJE","RCERO CELJE (Bukovžlak)",2114152,67665,1437097,111456,3723000,1563156,"1.01.2017","31.12.2017"
"SNAGA Javno podjetje d.o.o.; POVŠETOVA ULICA 6, 1000 LJUBLJANA","BARJE (polji IV in V)",1763128,126155,312565,0,2373406,383517,"1.1.2003","31.12.2044"
"STORKOM ŠTORE trgovina in poslovne storitve, d.o.o.; ŽELEZARSKA CESTA 1, 3220 ŠTORE","VRHE",312614,1650,119163,1500,677008,185736,"02.10.2015","01.04.2038"
