"year","statistical_region","waste_code","type_of_waste","waste_category","total_waste_generated","waste_generated_collector_RS","waste_generated_processing_operator_RS","waste_generated_other_EU_country","waste_generated_other_country_outside_EU"
2017,"GORENJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",3125.918,3125.918,6251.836,6251.836,0
2017,"GORENJSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",1371.6989999999998,1371.6989999999998,2743.3979999999997,0,0
2017,"GORENJSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",19.2,0,19.2,0,0
2017,"GORENJSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",3426.3309999999997,3426.3309999999997,6852.661999999999,0,0
2017,"GORENJSKA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues",181.989,0,181.989,0,0
2017,"GORENJSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",2544.975,2544.975,5089.95,2544.975,0
2017,"GORENJSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",1092.809,1092.809,2185.618,0,0
2017,"GORENJSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",5.02,0,5.02,0,0
2017,"GORIŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",562.796,0,0,562.796,0
2017,"GORIŠKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",481.25,0,481.25,962.5,0
2017,"GORIŠKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",837.369,837.369,1674.738,837.369,0
2017,"GORIŠKA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues",119.18,0,0,119.18,0
2017,"GORIŠKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",285.376,0,0,285.376,0
2017,"GORIŠKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",216.236,0,216.236,0,0
2017,"JUGOVZHODNA SLOVENIJA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",3610.313,3610.313,7220.626,0,0
2017,"JUGOVZHODNA SLOVENIJA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",7360.398,7360.398,14720.796,22081.194,0
2017,"JUGOVZHODNA SLOVENIJA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",3343.651,3343.651,13374.604,0,0
2017,"JUGOVZHODNA SLOVENIJA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",897.848,0,1795.696,897.848,0
2017,"JUGOVZHODNA SLOVENIJA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues",1714.923,1714.923,6859.692,1714.923,0
2017,"JUGOVZHODNA SLOVENIJA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",2873.58,2873.58,5747.16,2873.58,0
2017,"JUGOVZHODNA SLOVENIJA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",334.51,669.02,669.02,0,0
2017,"JUGOVZHODNA SLOVENIJA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",141.04,141.04,141.04,0,0
2017,"KOROŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",943.536,1887.072,943.536,943.536,0
2017,"KOROŠKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",143.42,0,286.84,0,0
2017,"KOROŠKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",2745.755,0,2745.755,0,0
2017,"KOROŠKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",303.88,0,303.88,0,0
2017,"OBALNO-KRAŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",1181.346,1181.346,1181.346,0,0
2017,"OBALNO-KRAŠKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",2302.897,4605.794,6908.691,2302.897,0
2017,"OBALNO-KRAŠKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",118.84,0,118.84,0,0
2017,"OBALNO-KRAŠKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",913.35,0,0,913.35,0
2017,"OBALNO-KRAŠKA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues",32.11,0,0,32.11,0
2017,"OBALNO-KRAŠKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",701.5,701.5,1403,701.5,0
2017,"OBALNO-KRAŠKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",2.24,0,2.24,0,0
2017,"OSREDNJESLOVENSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",3.38,3.38,0,0,0
2017,"OSREDNJESLOVENSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",40981.302,327850.416,368831.71800000005,204906.51,0
2017,"OSREDNJESLOVENSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",3788.181,22729.086,15152.724,0,0
2017,"OSREDNJESLOVENSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",4.44,0,4.44,0,0
2017,"OSREDNJESLOVENSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",27133.702,135668.51,135668.51,135668.51,0
2017,"OSREDNJESLOVENSKA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues",10636.9,10636.9,53184.5,10636.9,0
2017,"OSREDNJESLOVENSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",42001.319,210006.59500000003,336010.552,168005.276,42001.319
2017,"OSREDNJESLOVENSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",3147.893,0,9443.679,0,0
2017,"OSREDNJESLOVENSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",512.01,0,1024.02,0,0
2017,"PODRAVSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",14687.809,44063.426999999996,58751.236,88126.85399999999,14687.809
2017,"PODRAVSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",260.82,0,521.64,0,0
2017,"PODRAVSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",5375.794,16127.382,16127.382,5375.794,0
2017,"PODRAVSKA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues",1190.3799999999999,0,1190.3799999999999,1190.3799999999999,0
2017,"PODRAVSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",7897.4749999999995,31589.899999999998,31589.899999999998,47384.85,0
2017,"PODRAVSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",1791.955,0,5375.865,0,0
2017,"PODRAVSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",1579.086,1579.086,1579.086,0,0
2017,"POMURSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",322.8,0,322.8,0,0
2017,"POMURSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",389.864,0,779.728,0,0
2017,"POMURSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",1006.73,0,2013.46,0,0
2017,"POMURSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",930.706,1861.412,930.706,0,0
