"year","statistical_region","waste_code","type_of_waste","waste_category","total_waste_given_away","delivered_to_collector","delivered_to_processing_operator","delivered_to_other_eu_country"
2018,"GORENJSKA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste",5.66,0,5.66,0
2018,"GORENJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",1644.321,447.464,1196.857,0
2018,"GORENJSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",123.99,45.56,78.43,0
2018,"GORENJSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",510.21,0,510.21,0
2018,"GORENJSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",3.682,0,3.682,0
2018,"GORENJSKA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues",12.236,9.84,2.396,0
2018,"GORENJSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",6072.309,1465.087,4607.222,0
2018,"GORENJSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",3209.58,1570.8,1638.78,0
2018,"GORENJSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",4099.714,789.48,3310.234,0
2018,"GORIŠKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",16.74,16.74,0,0
2018,"GORIŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",1332.088,653.818,591.98,86.29
2018,"GORIŠKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",254.91,207.04,47.87,0
2018,"GORIŠKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",429.9,422.16,7.74,0
2018,"GORIŠKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",6.499,3.744,2.755,0
2018,"GORIŠKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",3304.66,2345.67,729.451,229.539
2018,"GORIŠKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",2294.4,1514.32,780.08,0
2018,"GORIŠKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",2768.218,1820.408,947.81,0
2018,"JUGOVZHODNA SLOVENIJA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",1.54,0,1.54,0
2018,"JUGOVZHODNA SLOVENIJA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",1202.419,147.44,1001.069,53.91
2018,"JUGOVZHODNA SLOVENIJA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",208.278,0,208.278,0
2018,"JUGOVZHODNA SLOVENIJA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",121.604,0,121.604,0
2018,"JUGOVZHODNA SLOVENIJA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",778.825,69.7,709.125,0
2018,"JUGOVZHODNA SLOVENIJA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",2379.694,1017.42,1362.274,0
2018,"JUGOVZHODNA SLOVENIJA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",2512.37,213.86,2298.51,0
2018,"KOROŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",1402.57,122.792,1279.778,0
2018,"KOROŠKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",414.76,0,414.76,0
2018,"KOROŠKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",25.02,0,25.02,0
2018,"KOROŠKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",26.506,0,4.389,22.117
2018,"KOROŠKA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues",154.84,0,154.84,0
2018,"KOROŠKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",509.968,61.678,285.313,162.977
2018,"KOROŠKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",2.28,0,2.28,0
2018,"KOROŠKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",1823.11,0,1823.11,0
2018,"OBALNO-KRAŠKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",1695.1,0,1695.1,0
2018,"OBALNO-KRAŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",1407.34,379.742,1027.598,0
2018,"OBALNO-KRAŠKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",501.43,3.36,498.07,0
2018,"OBALNO-KRAŠKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",2914.963,1062.43,1852.533,0
2018,"OBALNO-KRAŠKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",3485.09,1012.41,2472.68,0
2018,"OBALNO-KRAŠKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",1227.66,41.76,1185.9,0
2018,"OSREDNJESLOVENSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",630.38,0,630.38,0
2018,"OSREDNJESLOVENSKA","03 03 01","Bark and Wood Waste from Pulp/Paper Production (03 03 01)","Wood/Paper Production Waste",6.52,0,6.52,0
2018,"OSREDNJESLOVENSKA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste",3949.853,0,3949.853,0
2018,"OSREDNJESLOVENSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",26584.24,1949.724,23657.4,977.116
2018,"OSREDNJESLOVENSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",8922.184,146.87,5395.914,3379.4
