"year","name_of_company","statistical_region","waste_code","type_of_waste","waste_category","waste_stored_start_year","waste_generated","waste_stored_end_year"
2018,""" CEMENTNI IZDELKI JARC "" FRANC JARC S.P.","OSREDNJESLOVENSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",0,0.903,0
2018,""" CEMENTNI IZDELKI JARC "" FRANC JARC S.P.","OSREDNJESLOVENSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",0,0.66,0
2018,"""BIROSERVIS SLUGA"" ALEŠ SLUGA S.P.","SAVINJSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",0,1.04,0
2018,"""CAR IMPEX"" TRGOVINA, POSREDOVANJE CAR ALEKSANDER S.P.","POMURSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",0,1.102,0
2018,"""DOLOMITI COMMERCE"" trgovsko podjetje, d.o.o.","OSREDNJESLOVENSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",0,0.21,0
2018,"""DOLOMITI COMMERCE"" trgovsko podjetje, d.o.o.","OSREDNJESLOVENSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",0,0.17,0
2018,"""ELIA"" VZDRŽEVANJE IN POPRAVILO MOTORNIH VOZIL BORISLAV KOSTIĆ, S.P.","OBALNO-KRAŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",0,0.012,0
2018,"""ELIA"" VZDRŽEVANJE IN POPRAVILO MOTORNIH VOZIL BORISLAV KOSTIĆ, S.P.","OBALNO-KRAŠKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",0,0.153,0
2018,"""KLAN METAL"" TRGOVINA NA DEBELO, POSREDNIŠTVO, RAZISKAVA TRGA, ZVONKO KLANČAR S.P.","PODRAVSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",0,1.96,0
2018,"""PAHO"", POLAGANJE TALNIH OBLOG ROBERT HORVAT S.P.","POMURSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",0,0.64,0
2018,"""PROPOINT"" PRODAJA AVTOMOBILOV DANIJEL ZEMLJIČ S.P.","PODRAVSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",0,0.64,0
2018,"""SLAP"" STROJNO KLJUČAVNIČARSTVO PETER SLATNAR S.P.","GORENJSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",0,0.06,0
2018,"""TOP CARBON"", PROIZVODNJA POLIESTERSKIH DELOV IN SPLETNA TRGOVINA, D.O.O.","GORENJSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",0,1.72,0
2018,"123 HIŠKA, nepremičnine, d.o.o.","GORIŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",0,0.21,0
2018,"123 HIŠKA, nepremičnine, d.o.o.","GORIŠKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",0,1.56,0
2018,"1A DIZAJN popravilo motornih vozil d.o.o.","OSREDNJESLOVENSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",0,0.03,0
2018,"1NA 2VA 3RI DESIGN d.o.o.","GORIŠKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",0,2.26,0
2018,"2. OSNOVNA ŠOLA SLOVENSKA BISTRICA","PODRAVSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",0,27.7,0
2018,"2M STORITVE, storitve in logistika, d.o.o.","JUGOVZHODNA SLOVENIJA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",0,60.53,0
2018,"360LINE,športna oprema, d.o.o.","PRIMORSKO-NOTRANJSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",0,13.84,0
2018,"3M MAJ, poslovne storitve in zaključna dela v gradbeništvu, d.o.o.","KOROŠKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",0,0.22,0
2018,"4 DESIGN, oblikovanje interierjev in vizualna komunikacija, d.o.o.","GORIŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",0,0.066,0
2018,"4-N TECH proizvodnja in storitve d.o.o.","OSREDNJESLOVENSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",0,0.7,0
2018,"507 projektiranje in marketing d.o.o.","OSREDNJESLOVENSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",0,1.42,0
2018,"507 projektiranje in marketing d.o.o.","OSREDNJESLOVENSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",0,9.26,0
2018,"507 projektiranje in marketing d.o.o.","OSREDNJESLOVENSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",0,7.58,0
2018,"507 projektiranje in marketing d.o.o.","OSREDNJESLOVENSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",0,2.96,0
2018,"5print, tisk, oglaševanje in druge storitve, d.o.o.","PODRAVSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",0,2.75,0
2018,"5print, tisk, oglaševanje in druge storitve, d.o.o.","PODRAVSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",0,1.15,0
2018,"5print, tisk, oglaševanje in druge storitve, d.o.o.","PODRAVSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",0,1.91,0
2018,"A & V LEŠNIK podjetje za proizvodnjo, storitve in trgovino uvoz-izvoz d.o.o.","PODRAVSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",0,4.94,0
