"statistical_region","type_of_waste","delivered_to","total_waste_given_away"
"GORENJSKA","Paper/Cardboard Packaging","processing operator in RS",4414.724
"GORENJSKA","Sawdust/Chips/Wood, not specified in 03 01 04","processing operator in RS",1762.147
"GORENJSKA","Wood","processing operator in RS",301.83
"GORENJSKA","Wood, not specified in 20 01 37","processing operator in RS",705.29
"GORENJSKA","Wooden packaging","processing operator in RS",2476.079
"GORIŠKA","Paper/Cardboard Packaging","processing operator in RS",3906.988
"GORIŠKA","Sawdust/Chips/Wood, not specified in 03 01 04","other EU country",1466.093
"GORIŠKA","Sawdust/Chips/Wood, not specified in 03 01 04","processed the waste themselves",400
"GORIŠKA","Sawdust/Chips/Wood, not specified in 03 01 04","processing operator in RS",7
"GORIŠKA","Wood","processing operator in RS",239.02
"GORIŠKA","Wood, not specified in 20 01 37","processing operator in RS",209.165
"GORIŠKA","Wooden packaging","processing operator in RS",1490.792
"JUGOVZHODNA SLOVENIJA","Miscellaneous Waste","processing operator in RS",53.04
"JUGOVZHODNA SLOVENIJA","Paper/Cardboard Packaging","processing operator in RS",5198.407
"JUGOVZHODNA SLOVENIJA","Sawdust/Chips/Wood, not specified in 03 01 04","processing operator in RS",3131.024
"JUGOVZHODNA SLOVENIJA","Waste Bark and Cork","processing operator in RS",0.012
"JUGOVZHODNA SLOVENIJA","Wood","processing operator in RS",283.894
"JUGOVZHODNA SLOVENIJA","Wood, not specified in 20 01 37","processing operator in RS",106.685
"JUGOVZHODNA SLOVENIJA","Wooden packaging","processing operator in RS",3171.274
"KOROŠKA","Paper/Cardboard Packaging","processing operator in RS",1849.977
"KOROŠKA","Sawdust/Chips/Wood, not specified in 03 01 04","processing operator in RS",40.9
"KOROŠKA","Wood","processing operator in RS",75.24
"KOROŠKA","Wood, not specified in 20 01 37","processing operator in RS",124.72
"KOROŠKA","Wooden packaging","processing operator in RS",402.954
"NEOPREDELJENO","Paper/Cardboard Packaging","processing operator in RS",1.865
"NEOPREDELJENO","Wood","processing operator in RS",107.375
"NEOPREDELJENO","Wood, not specified in 20 01 37","processing operator in RS",13.63
