"name_of_company","landfill","filled_volume_start_year","filled_area_start_year","free_volume_end_year","free_area_end_year","total_capacity","remaining_capacity","start_date","end_date"
"CENTER ZA RAVNANJE Z ODPADKI ZASAVJE, d.o.o.; BRDCE 41B, 1431 DOL PRI HRASTNIKU","UNIČNO - novo",9900,0,54475,0,0,0,"01.01.2018","31.12.2018"
"CEROD, center za ravnanje z odpadki, d.o.o., javno podjetje; KETTEJEV DREVORED 3, 8000 NOVO MESTO","LESKOVEC - novo",551041,38889,731320,25920,1355000,663260,"1.2.2007","31.12.2032"
"ETA CERKNO d.o.o. Tovarna elektrotermičnih aparatov; GORIŠKA CESTA 19, 5282 CERKNO","NOVAKI",18900,4300,96684,9000,213000,168186,"1.2.2005","1.1.2100"
"HALDA okoljski inženiring d.o.o.; TOVARNIŠKA CESTA 51, 2342 RUŠE","HALDA TDR",21225,6186,18622,5439,49000,35264,"01.04.2016","24.09.2027"
"Javne službe Ptuj, podjetje za izvajanje gospodarskih javnih služb in drugih dejavnosti, d.o.o.; ULICA HEROJA LACKA 3, 2250 PTUJ","CERO GAJKE",174278,26800,174214,26800,456114,218265,"1.7.2003","1.1.2037"
"JAVNO KOMUNALNO PODJETJE GROSUPLJE d.o.o.; CESTA NA KRKO 7, 1290 GROSUPLJE","ŠPAJA DOLINA",4429,19125,3371,0,166381,6040,"1. 4. 2001","31.12.2020"
"Javno podjetje center za ravnanje z odpadki Puconci d.o.o.; VANEČA 81B, 9201 PUCONCI","PUCONCI - novo",127635,13787,56735,13787,155990,41513,"03.05.2010","01.01.2022"
"JEKO, javno komunalno podjetje, d.o.o., Jesenice; CESTA MARŠALA TITA 51, 4270 JESENICE","MALA MEŽAKLA",484623,33795,181077,33795,713957,188535,"26.10.1997","31.12.2025"
"KOCEROD, družba za ravnanje z odpadki d.o.o.; MISLINJSKA DOBRAVA 108A, 2383 ŠMARTNO PRI SLOVENJ GRADCU","ZMES",15453,0,86600,0,84240,66656,"01.08.2015","31.12.2030"
"KOMUNALA SLOVENSKA BISTRICA podjetje za komunalne in druge storitve d.o.o.; ULICA POHORSKEGA BATALJONA 12, 2310 SLOVENSKA BISTRICA","PRAGERSKO",56743,16950,75580,15030,84000,38133,"01.01.2012","31.12.2030"
"KOMUNALA TREBNJE d.o.o.; GOLIEV TRG 9, 8210 TREBNJE","GLOBOKO",45927,9658,33719,9658,85200,40463,"10.12.2014","30.12.2021"
"KOMUNALA TREBNJE d.o.o.; GOLIEV TRG 9, 8210 TREBNJE","GLOBOKO",1375,977,8485,977,5700,4904,"01.12.2015","30.12.2021"
"LIVAR, Proizvodnja in obdelava ulitkov, d.d.; LJUBLJANSKA CESTA 43, 1295 IVANČNA GORICA","SUHI MOST",0,0,0,0,0,0,"01.01.2007","31.12.2014"
"MPI-RECIKLAŽA metalurgija, plastika in inženiring d.o.o.; ŽERJAV 79, 2393 ČRNA NA KOROŠKEM","NOMO MEŽICA",59357,1680,17374,1200,105320,10880,"17.03.2018","15.11.2018"
"SALONIT ANHOVO Gradbeni materiali, d.d.; ANHOVO 1, 5210 DESKLE","DESKLE",48707,1090,10368,11608,118200,9484,"26.05.1988","31.12.2022"
"SIJ ACRONI podjetje za proizvodnjo jekla in jeklenih izdelkov d.o.o.; CESTA BORISA KIDRIČA 44, 4270 JESENICE","JAVORNIK",244394,33683,145952,22000,936831,350286,"01.01.1983","03.01.2017"
"SIMBIO, družba za ravnanje z odpadki d.o.o.; TEHARSKA CESTA 49, 3000 CELJE","RCERO CELJE (Bukovžlak)",2165780,67665,1382554,111456,3723000,1519459,"1.01.2018","31.12.2018"
"SNAGA Javno podjetje d.o.o.; POVŠETOVA ULICA 6, 1000 LJUBLJANA","BARJE (polji IV in V)",1787435,126155,299535,0,2365823,372617,"1.1.2013","31.12.2044"
"STORKOM ŠTORE trgovina in poslovne storitve, d.o.o.; ŽELEZARSKA CESTA 1, 3220 ŠTORE","VRHE",315932,1650,118413,1500,675026,184603,"2.10.2015","1.4.2038"
