"year","name_of_company","statistical_region","waste_code","type_of_waste","waste_category","waste_received","waste_from_producers_no_list","waste_from_producers_with_list","waste_from_other_collectors","waste_from_processors"
2019,"AURENIS, podjetje za proizvodnjo, reciklažo in storitve d.o.o.","GORIŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",2.183,0,2.183,0,0
2019,"AURENIS, podjetje za proizvodnjo, reciklažo in storitve d.o.o.","GORIŠKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",9.124,0,0,0,9.124
2019,"AVTOPREVOZNIŠTVO - PREVOZ BLAGA IN OSEB MARTIN - VALENTINA FRELIH S.P.","GORENJSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",167.105,0,167.105,0,0
2019,"AVTOPREVOZNIŠTVO ROBERT ŽAGAR S.P.","GORIŠKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",135,0.375,134.625,0,0
2019,"BAKI-LIM, storitve in trgovina, d.o.o.","SAVINJSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",21.74,21.74,0,0,0
2019,"BELES, predelava lesa d.o.o..","JUGOVZHODNA SLOVENIJA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",4168.5,0,83.02,252.16,3833.32
2019,"BELES, predelava lesa d.o.o..","JUGOVZHODNA SLOVENIJA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues",1212.81,0,151.61,0,1061.2
2019,"BRDO storitve in trgovina d.o.o.","OSREDNJESLOVENSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",147.43,0,147.43,0,0
2019,"BRDO storitve in trgovina d.o.o.","OSREDNJESLOVENSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",222.66,0,179.28,0,43.38
2019,"BRDO storitve in trgovina d.o.o.","OSREDNJESLOVENSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",7.92,0,7.92,0,0
2019,"BREZOVNIK PREVOZI&GRADBENIŠTVO storitve d.o.o.","KOROŠKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",13.36,0,13.36,0,0
2019,"CEP, proizvodnja, trgovina, storitve, d.o.o.","SAVINJSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",12.4,0,0,12.4,0
2019,"CEP, proizvodnja, trgovina, storitve, d.o.o.","SAVINJSKA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste",194.78,0,194.78,0,0
2019,"CEP, proizvodnja, trgovina, storitve, d.o.o.","SAVINJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",46.318,0,46.318,0,0
2019,"CEP, proizvodnja, trgovina, storitve, d.o.o.","SAVINJSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",772.84,0,0,0,772.84
2019,"CEP, proizvodnja, trgovina, storitve, d.o.o.","SAVINJSKA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues",2079.14,0,0,60.68,2018.46
2019,"DARKO, prevozništvo, d.o.o.","OSREDNJESLOVENSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",151.76,0,131.76,0,20
2019,"DARKO, prevozništvo, d.o.o.","OSREDNJESLOVENSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",678.585,0,678.585,0,0
2019,"DESERTA, nespecializirana trgovina na debelo, d.o.o.","SAVINJSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",838.413,555.173,212.48,0,70.76
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","GORENJSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",361.79,361.79,0,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","GORIŠKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",182.669,182.669,0,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","JUGOVZHODNA SLOVENIJA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",36.079,0,36.079,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","JUGOVZHODNA SLOVENIJA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",1078.079,1078.079,0,0,0
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","KOROŠKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",21.94,0,0,0,21.94
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","KOROŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",1209.009,0,897.11,34.379999999999995,277.519
2019,"DINOS, družba za pripravo sekundarnih surovin, d.o.o.","KOROŠKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",486.24,0,300.3,0,185.94
