"year","name_of_company","waste_code","type_of_waste","waste_category","total_waste_collected","municipal_waste_collected","waste_collected_from_activities","pct_municipal"
2019,"EKO-PARK d.o.o. Lendava, javno podjetje OKO-PARK Kft. Lendva, kozhasznu vallalat","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",89.849,89.849,0,100
2019,"EKO-PARK d.o.o. Lendava, javno podjetje OKO-PARK Kft. Lendva, kozhasznu vallalat","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",135.06,135.06,0,100
2019,"EKO-PARK d.o.o. Lendava, javno podjetje OKO-PARK Kft. Lendva, kozhasznu vallalat","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",158.5,156.26,2.24,98.58675078864353
2019,"INFRASTRUKTURA BLED d.o.o.","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",127.947,62.694,65.253,48.99997655279139
2019,"INFRASTRUKTURA BLED d.o.o.","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",258.87,126.846,132.024,48.999884111716305
2019,"INFRASTRUKTURA BLED d.o.o.","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",540.58,486.522,54.058,89.99999999999999
2019,"INFRASTRUKTURA BLED d.o.o.","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",245.09,191.17,53.92,77.99991839732343
2019,"JAVNO KOMUNALNO PODJETJE DRAVOGRAD d.o.o.","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",119.63,119.63,0,100
2019,"JAVNO KOMUNALNO PODJETJE DRAVOGRAD d.o.o.","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",30.526,30.526,0,100
2019,"JAVNO KOMUNALNO PODJETJE DRAVOGRAD d.o.o.","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",272.14,198.825,73.315,73.05982215036379
2019,"JAVNO KOMUNALNO PODJETJE GROSUPLJE d.o.o.","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",295.266,206.686,88.58,69.99993226446661
2019,"JAVNO KOMUNALNO PODJETJE GROSUPLJE d.o.o.","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",59.92,59.92,0,100
2019,"JAVNO KOMUNALNO PODJETJE GROSUPLJE d.o.o.","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",949.8,664.86,284.94,70
2019,"JAVNO KOMUNALNO PODJETJE GROSUPLJE d.o.o.","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",608.83,591.68,17.15,97.18312172527634
2019,"JAVNO KOMUNALNO PODJETJE GROSUPLJE d.o.o.","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",543.8,543.8,0,100
2019,"JAVNO KOMUNALNO PODJETJE KOMUNALA KOČEVJE d.o.o.","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",196.26,170.34,25.92,86.7930296545399
2019,"JAVNO KOMUNALNO PODJETJE KOMUNALA KOČEVJE d.o.o.","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",97.786,63.566,34.22,65.00521547051726
2019,"JAVNO KOMUNALNO PODJETJE KOMUNALA KOČEVJE d.o.o.","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",533.01,513.79,19.22,96.39406390124012
2019,"JAVNO KOMUNALNO PODJETJE KOMUNALA KOČEVJE d.o.o.","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",523.9,502.94,20.96,95.99923649551442
2019,"JAVNO KOMUNALNO PODJETJE KOMUNALA RIBNICA d.o.o.","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",88.965,88.965,0,100
2019,"JAVNO KOMUNALNO PODJETJE KOMUNALA RIBNICA d.o.o.","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",92.053,82.848,9.205,90.00032589921024
2019,"JAVNO KOMUNALNO PODJETJE KOMUNALA RIBNICA d.o.o.","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",293.3,258.104,35.196,87.99999999999999
2019,"JAVNO KOMUNALNO PODJETJE KOMUNALA RIBNICA d.o.o.","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",409.82,348.347,61.473,85
2019,"JAVNO KOMUNALNO PODJETJE LOG d.o.o.","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",47.682,47.682,0,100
2019,"JAVNO KOMUNALNO PODJETJE LOG d.o.o.","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",235.067,235.067,0,100
2019,"JAVNO KOMUNALNO PODJETJE LOG d.o.o.","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",706.7,706.7,0,100
2019,"JAVNO KOMUNALNO PODJETJE PRODNIK d.o.o.","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",607.03,607.03,0,100
2019,"JAVNO KOMUNALNO PODJETJE PRODNIK d.o.o.","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",1154.892,1154.892,0,100
2019,"JAVNO KOMUNALNO PODJETJE PRODNIK d.o.o.","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",1394.163,1394.163,0,100
2019,"JAVNO KOMUNALNO PODJETJE PRODNIK d.o.o.","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",1683.26,1683.26,0,100
2019,"JAVNO KOMUNALNO PODJETJE RADLJE OB DRAVI d.o.o.","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",46.752,46.752,0,100
2019,"JAVNO KOMUNALNO PODJETJE RADLJE OB DRAVI d.o.o.","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",104.208,104.208,0,100
2019,"JAVNO KOMUNALNO PODJETJE RADLJE OB DRAVI d.o.o.","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",318.58,318.58,0,100
