"year","name_of_company","statistical_region","type_of_waste","waste_category","treatment_process","treatment_according_to_8th_article","total_waste_for_processing"
2019,"ADRIA TERMINALI, logistične storitve, d.o.o.","OBALNO-KRAŠKA","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste","R_13","NO",545.58
2019,"AVTOPREVOZNIŠTVO JANEZ LAVRIČ S.P.","OSREDNJESLOVENSKA","Construction Wood Waste (17 02 01)","Construction/Demolition Waste","R_05","NO",507.765
2019,"AVTOPREVOZNIŠTVO JANEZ LAVRIČ S.P.","OSREDNJESLOVENSKA","Wooden Packaging (15 01 03)","Packaging Waste","R_05","NO",281.2
2019,"AVTOPREVOZNIŠTVO ROBERT ŽAGAR S.P.","GORIŠKA","Construction Wood Waste (17 02 01)","Construction/Demolition Waste","R_05","NO",605
2019,"Albaugh tovarna kemičnih izdelkov d.o.o.","PODRAVSKA","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","D_10","NO",2.42
2019,"Albaugh tovarna kemičnih izdelkov d.o.o.","PODRAVSKA","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste","D_10","NO",34.4
2019,"Albaugh tovarna kemičnih izdelkov d.o.o.","PODRAVSKA","Wooden Packaging (15 01 03)","Packaging Waste","D_10","NO",3.29
2019,"BARKO, trgovanje z odpadnimi surovinami, d.o.o.","OSREDNJESLOVENSKA","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","R_12, R_13","NO",3.78
2019,"BIOMASA & MIZARSTVO OVSENIK, proizvodnja in storitve d.o.o.","GORENJSKA","Bark and Wood Waste from Pulp/Paper Production (03 03 01)","Wood/Paper Production Waste","R_12, R_13","NO",20.8
2019,"BIOMASA & MIZARSTVO OVSENIK, proizvodnja in storitve d.o.o.","GORENJSKA","Construction Wood Waste (17 02 01)","Construction/Demolition Waste","R_12, R_13","NO",137.2
2019,"BIOMASA & MIZARSTVO OVSENIK, proizvodnja in storitve d.o.o.","GORENJSKA","Forestry Waste (02 01 07)","Agricultural/Forestry Waste","R_12, R_13","NO",0.1
2019,"BIOMASA & MIZARSTVO OVSENIK, proizvodnja in storitve d.o.o.","GORENJSKA","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste","R_12, R_13","NO",1594.448
2019,"BIOMASA & MIZARSTVO OVSENIK, proizvodnja in storitve d.o.o.","GORENJSKA","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste","R_12, R_13","NO",1513.387
2019,"BIOMASA & MIZARSTVO OVSENIK, proizvodnja in storitve d.o.o.","GORENJSKA","Wooden Packaging (15 01 03)","Packaging Waste","R_12, R_13","NO",2603.654
2019,"BLOK reciklaža odpadne elektronike in zbiranje odpadnih barvnih kovin d.o.o.","OSREDNJESLOVENSKA","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","R_12, R_13","NO",1.969
2019,"BREST-POHIŠTVO d.o.o. Cerknica, podjetje za proizvodnjo in promet pohištva ter opreme","PRIMORSKO-NOTRANJSKA","Wooden Packaging (15 01 03)","Packaging Waste","R_01","NO",513.25
