"year","name_of_company","statistical_region","waste_code","type_of_waste","waste_category","total_waste_received","waste_received_from_producer","waste_received_from_other_producer","waste_received_from_collector","waste_received_from_processing_operator","waste_received_from_other_EU_country","waste_received_from_other_country_outside_EU"
2019,"ADRIA TERMINALI, logistične storitve, d.o.o.","OBALNO-KRAŠKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",578.06,0,0,0,0,578.06,0
2019,"AVTOPREVOZNIŠTVO JANEZ LAVRIČ S.P.","OSREDNJESLOVENSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",281.2,0,281.2,0,0,0,0
2019,"AVTOPREVOZNIŠTVO JANEZ LAVRIČ S.P.","OSREDNJESLOVENSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",507.765,0,507.765,0,0,0,0
2019,"AVTOPREVOZNIŠTVO ROBERT ŽAGAR S.P.","GORIŠKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",605,0,0,605,0,0,0
2019,"Albaugh tovarna kemičnih izdelkov d.o.o.","PODRAVSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",2.42,2.42,0,0,0,0,0
2019,"Albaugh tovarna kemičnih izdelkov d.o.o.","PODRAVSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",3.29,3.29,0,0,0,0,0
2019,"Albaugh tovarna kemičnih izdelkov d.o.o.","PODRAVSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",33.28,0,33.28,0,0,0,0
2019,"BARKO, trgovanje z odpadnimi surovinami, d.o.o.","OSREDNJESLOVENSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",3.78,0,3.78,0,0,0,0
2019,"BIOMASA & MIZARSTVO OVSENIK, proizvodnja in storitve d.o.o.","GORENJSKA","02 01 07","Forestry Waste (02 01 07)","Agricultural/Forestry Waste",0.1,0,0.1,0,0,0,0
2019,"BIOMASA & MIZARSTVO OVSENIK, proizvodnja in storitve d.o.o.","GORENJSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",7408.296,5894.909,1513.387,0,0,0,0
2019,"BIOMASA & MIZARSTVO OVSENIK, proizvodnja in storitve d.o.o.","GORENJSKA","03 03 01","Bark and Wood Waste from Pulp/Paper Production (03 03 01)","Wood/Paper Production Waste",20.8,0,20.8,0,0,0,0
2019,"BIOMASA & MIZARSTVO OVSENIK, proizvodnja in storitve d.o.o.","GORENJSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",2603.654,0,1078.35,27.46,1497.844,0,0
2019,"BIOMASA & MIZARSTVO OVSENIK, proizvodnja in storitve d.o.o.","GORENJSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",137.2,0,137.2,0,0,0,0
