"MATIČNA ŠTEVILKA","NAZIV","SKD","STATISTIČNA REGIJA","ŠT. ODPADKA","PO OBDELAVI NASTALI ODPADKI IN ODPADKI ODDANI DRUGIM BREZ OBDELAVE  (kg)","ODDANO KOMU","POSTOPEK OBDELAVE, ČE SO ODPADKI POSLANI V OBDELAVO V TUJINO","PRIDOBLJENI PODATKI                 ( 1-poročilo oddano,                    2-podatki ARSO)"
"2371162000","ACŠ AVTOMOBILI, družba za prodajo avtomobilov in rezervnih delov, d.o.o.","45.320","PODRAVSKA","13 02 05*",440,"2.drug izvajalec obdelave v RS",NA,1
"2371162000","ACŠ AVTOMOBILI, družba za prodajo avtomobilov in rezervnih delov, d.o.o.","45.320","PODRAVSKA","16 01 03",3600,"1-drug zbiralec v RS",NA,1
"2371162000","ACŠ AVTOMOBILI, družba za prodajo avtomobilov in rezervnih delov, d.o.o.","45.320","PODRAVSKA","16 01 06",58660,"2.drug izvajalec obdelave v RS",NA,1
"2371162000","ACŠ AVTOMOBILI, družba za prodajo avtomobilov in rezervnih delov, d.o.o.","45.320","PODRAVSKA","16 01 17",19060,"2.drug izvajalec obdelave v RS",NA,1
"2371162000","ACŠ AVTOMOBILI, družba za prodajo avtomobilov in rezervnih delov, d.o.o.","45.320","PODRAVSKA","16 01 18",3000,"2.drug izvajalec obdelave v RS",NA,1
"2371162000","ACŠ AVTOMOBILI, družba za prodajo avtomobilov in rezervnih delov, d.o.o.","45.320","PODRAVSKA","16 06 01*",700,"2.drug izvajalec obdelave v RS",NA,1
"2272598000","ADRIA TERMINALI, logistične storitve, d.o.o.","52.100","OBALNO-KRAŠKA","15 01 02",159900,"2.drug izvajalec obdelave v RS",NA,1
"2272598000","ADRIA TERMINALI, logistične storitve, d.o.o.","52.100","OBALNO-KRAŠKA","15 01 02",65740,"2.drug izvajalec obdelave v RS",NA,1
"2272598000","ADRIA TERMINALI, logistične storitve, d.o.o.","52.100","OBALNO-KRAŠKA","15 01 02",12995800,"4-tretja država (izven EU)","R_13",1
"2272598000","ADRIA TERMINALI, logistične storitve, d.o.o.","52.100","OBALNO-KRAŠKA","15 01 02",989080,"3-druga država clanica EU","R_13",1
"2272598000","ADRIA TERMINALI, logistične storitve, d.o.o.","52.100","OBALNO-KRAŠKA","19 12 04",158680,"3-druga država clanica EU","R_13",1
"2272598000","ADRIA TERMINALI, logistične storitve, d.o.o.","52.100","OBALNO-KRAŠKA","19 12 04",16840,"1-drug zbiralec v RS",NA,1
"2272598000","ADRIA TERMINALI, logistične storitve, d.o.o.","52.100","OBALNO-KRAŠKA","19 12 04",746670,"4-tretja država (izven EU)","R_13",1
"2272598000","ADRIA TERMINALI, logistične storitve, d.o.o.","52.100","OBALNO-KRAŠKA","19 12 04",25940,"2.drug izvajalec obdelave v RS",NA,1
"2272598000","ADRIA TERMINALI, logistične storitve, d.o.o.","52.100","OBALNO-KRAŠKA","19 12 04",306540,"2.drug izvajalec obdelave v RS",NA,1
"2272598000","ADRIA TERMINALI, logistične storitve, d.o.o.","52.100","OBALNO-KRAŠKA","19 12 04",21440,"2.drug izvajalec obdelave v RS",NA,1
"2272598000","ADRIA TERMINALI, logistične storitve, d.o.o.","52.100","OBALNO-KRAŠKA","19 12 04",586970,"2.drug izvajalec obdelave v RS",NA,1
"2272598000","ADRIA TERMINALI, logistične storitve, d.o.o.","52.100","OBALNO-KRAŠKA","20 01 01",545580,"4-tretja država (izven EU)","R_13",1
"1387570000","AKRAPOVIČ, podjetje za proizvodnjo, trgovino in storitve, d.d.","29.320","OSREDNJESLOVENSKA","12 01 04",7822,"1-drug zbiralec v RS",NA,1
"1387570000","AKRAPOVIČ, podjetje za proizvodnjo, trgovino in storitve, d.d.","29.320","OSREDNJESLOVENSKA","12 01 04",42165,"2.drug izvajalec obdelave v RS",NA,1
"1387570000","AKRAPOVIČ, podjetje za proizvodnjo, trgovino in storitve, d.d.","29.320","OSREDNJESLOVENSKA","12 01 04",6095,"1-drug zbiralec v RS",NA,1
"6219357000","AKTERA PLUS, storitve in trgovina, d.o.o.","70.220","OSREDNJESLOVENSKA","11 05 01",4920,"2.drug izvajalec obdelave v RS",NA,2
"6219357000","AKTERA PLUS, storitve in trgovina, d.o.o.","70.220","OSREDNJESLOVENSKA","11 05 02",8152,"2.drug izvajalec obdelave v RS",NA,2
