"year","statistical_region","name_of_municipality","waste_code","type_of_waste","waste_category","municipal_waste_collected_by_municipality"
2020,"SAVINJSKA","CELJE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",353.035
2020,"POMURSKA","PUCONCI","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",30.94
2020,"GORIŠKA","AJDOVŠČINA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",293.942
2020,"POMURSKA","TIŠINA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",18.72
2020,"POMURSKA","RADENCI","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",0.08
2020,"KOROŠKA","RADLJE OB DRAVI","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",149.845
2020,"GORENJSKA","RADOVLJICA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",201.727
2020,"KOROŠKA","RAVNE NA KOROŠKEM","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",154.041
2020,"JUGOVZHODNA SLOVENIJA","RIBNICA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",110.893
2020,"POMURSKA","ROGAŠOVCI","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",15.92
2020,"SAVINJSKA","ROGAŠKA SLATINA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",126.319
2020,"SAVINJSKA","ROGATEC","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",13.055
2020,"PODRAVSKA","RUŠE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",38.588
2020,"JUGOVZHODNA SLOVENIJA","SEMIČ","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",61.467
2020,"SAVINJSKA","CELJE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",499.99
2020,"POSAVSKA","SEVNICA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",367.135
2020,"OBALNOKRAŠKA","SEŽANA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",244.389
2020,"KOROŠKA","SLOVENJ GRADEC","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",388.394
2020,"PODRAVSKA","SLOVENSKA BISTRICA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",277.959
2020,"SAVINJSKA","SLOVENSKE KONJICE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",166.92
2020,"PODRAVSKA","STARŠE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",23.32
2020,"GORENJSKA","ŠENČUR","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",70.108
2020,"JUGOVZHODNA SLOVENIJA","ŠENTJERNEJ","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",109.745
2020,"GORENJSKA","CERKLJE NA GORENJSKEM","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",28.643
2020,"SAVINJSKA","ŠENTJUR","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",174.444
2020,"JUGOVZHODNA SLOVENIJA","ŠKOCJAN","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",46.298
2020,"GORENJSKA","ŠKOFJA LOKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",294.083
2020,"OSREDNJESLOVENSKA","ŠKOFLJICA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",40.203
2020,"SAVINJSKA","ŠMARJE PRI JELŠAH","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",87.61
2020,"SAVINJSKA","ŠMARTNO OB PAKI","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",23.61
2020,"SAVINJSKA","ŠOŠTANJ","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",56.662
2020,"SAVINJSKA","ŠTORE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",27.429
2020,"GORIŠKA","TOLMIN","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",228.166
2020,"ZASAVSKA","TRBOVLJE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",240.501
2020,"PRIMORSKONOTRANJSKA","CERKNICA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",84.267
2020,"JUGOVZHODNA SLOVENIJA","TREBNJE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",117.413
2020,"GORENJSKA","TRŽIČ","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",203.653
2020,"POMURSKA","TURNIŠČE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",5.842
2020,"SAVINJSKA","VELENJE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",2498.269
2020,"OSREDNJESLOVENSKA","VELIKE LAŠČE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",12.189
2020,"PODRAVSKA","VIDEM","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",31.551
2020,"GORIŠKA","VIPAVA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",61.949
2020,"OSREDNJESLOVENSKA","VODICE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",14.395
2020,"SAVINJSKA","VOJNIK","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",50.579
2020,"GORIŠKA","CERKNO","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",68.274
2020,"OSREDNJESLOVENSKA","VRHNIKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",271.774
2020,"KOROŠKA","VUZENICA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",6.417
2020,"ZASAVSKA","ZAGORJE OB SAVI","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",381.86
2020,"PODRAVSKA","ZAVRČ","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",5.267
2020,"GORENJSKA","ŽELEZNIKI","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",58.135
2020,"GORENJSKA","ŽIRI","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",12.886
2020,"POSAVSKA","BISTRICA OB SOTLI","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",6.8
2020,"POMURSKA","ČRENŠOVCI","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",0.352
2020,"PRIMORSKONOTRANJSKA","BLOKE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",22.427
2020,"SAVINJSKA","BRASLOVČE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",21.398
2020,"POMURSKA","CANKOVA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",1.007
2020,"SAVINJSKA","DOBJE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",30.255
2020,"SAVINJSKA","DOBRNA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",11.218
2020,"POMURSKA","DOBROVNIK","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",0.905
2020,"JUGOVZHODNA SLOVENIJA","DOLENJSKE TOPLICE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",49.62
2020,"POMURSKA","GRAD","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",0.762
2020,"PODRAVSKA","HAJDINA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",34.614
2020,"KOROŠKA","ČRNA NA KOROŠKEM","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",382.683
2020,"PODRAVSKA","HOČE-SLIVNICA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",6.22
2020,"POMURSKA","HODOŠ","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",0.03
2020,"OSREDNJESLOVENSKA","HORJUL","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",25.604
2020,"GORENJSKA","JEZERSKO","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",4.098
2020,"OSREDNJESLOVENSKA","KOMENDA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",105.716
2020,"JUGOVZHODNA SLOVENIJA","KOSTEL","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",15.2
