"year","statistical_region","waste_code","type_of_waste","waste_category","waste_received_from_producers_no_list","waste_received_from_producers_with_list","waste_received_from_collectors_RS","waste_received_from_processors_RS","total_waste_collected"
2020,"GORENJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",1829.755,0.12,0,0,1829.875
2020,"GORENJSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",67.88,0,0,0,67.88
2020,"GORENJSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",570.22,11.9,0,0,582.12
2020,"GORENJSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",0,14.72,0,0,14.72
2020,"GORENJSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",2915.207,258.84,206.93,0,3380.977
2020,"GORENJSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",3738.65,9.73,0,0,3748.38
2020,"GORENJSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",4554.813,48.608,0,0,4603.421
2020,"GORIŠKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",0,30,0,0,30
2020,"GORIŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",1244.382,395.864,0,0,1640.246
2020,"GORIŠKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",54.806,101.38,0,0,156.18599999999998
2020,"GORIŠKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",2.59,180.118,0,0,182.708
2020,"GORIŠKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",0,12,0,0,12
2020,"GORIŠKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",2832.229,0,0,0,2832.229
2020,"GORIŠKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",2758.42,90.715,0,0,2849.135
2020,"GORIŠKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",3230.863,0,0,0,3230.863
2020,"JUGOVZHODNA SLOVENIJA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",2.4,122.153,65.9,3892.8,4083.253
2020,"JUGOVZHODNA SLOVENIJA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",1743.343,66.919,0,17.6,1827.862
2020,"JUGOVZHODNA SLOVENIJA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",0,3.33,0,83.51,86.84
2020,"JUGOVZHODNA SLOVENIJA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",1.098,21.245,0,0,22.343
2020,"JUGOVZHODNA SLOVENIJA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues",0,25.37,0,528.74,554.11
2020,"JUGOVZHODNA SLOVENIJA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",866.414,1.84,0,0.88,869.134
2020,"JUGOVZHODNA SLOVENIJA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",2706.21,0,0,0,2706.21
2020,"JUGOVZHODNA SLOVENIJA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",2838.75,0,5.9,0,2844.65
2020,"KOROŠKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",0,0,53.12,0,53.12
