"year","statistical_region","waste_code","type_of_waste","waste_category","total_waste_generated","temporary_stored_start_year","waste_generated_2020","temporary_stored_end_year","total_waste_given_away","waste_treated_by_producer","waste_handed_to_others_RS","waste_sent_for_treatment_EU","waste_sent_for_treatment_outside_EU"
2020,"GORENJSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",1575.183,0,1575.183,0,1575.183,0,1575.183,0,0
2020,"GORENJSKA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste",783.383,0,783.383,0,783.383,0,783.383,0,0
2020,"GORENJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",3846.961,10.36,3836.601,6.03,3840.931,0,3840.931,0,0
2020,"GORENJSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",2163.305,3.9,2159.405,6.37,2156.935,0,2156.935,0,0
2020,"GORENJSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",327.581,0,327.581,0,327.581,0,327.581,0,0
2020,"GORENJSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",441.806,0,441.806,0,441.806,0,441.806,0,0
2020,"GORENJSKA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues",1.84,0,1.84,0,1.84,0,1.84,0,0
2020,"GORENJSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",3019.637,5.272,3014.365,3.272,3016.26,0.105,3016.26,0,0
2020,"GORENJSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",353.96,0,353.96,0.3,353.66,0,353.66,0,0
2020,"GORENJSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",292.492,0,292.492,0,292.492,0,292.492,0,0
2020,"GORIŠKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",5.04,0.1,4.94,0.14,4.9,0,4.9,0,0
2020,"GORIŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",4490.416,9.59,4480.826,16.27,4474.146,0,4474.146,0,0
2020,"GORIŠKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",1362.053,1.68,1360.373,9.092,1352.961,0,1352.961,0,0
2020,"GORIŠKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",79.24,0,79.24,0,79.24,0,79.24,0,0
2020,"GORIŠKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",16.375,0,16.375,0,16.375,0,16.375,0,0
2020,"GORIŠKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",472.645,1.284,471.361,1.879,462.106,8.66,462.106,0,0
