"year","landfill_site","volume_filled_start_year","area_filled_start_year","volume_free_end_year","area_free_end_year","total_disposal_capacity","remaining_capacity_start_year","remaining_capacity_end_year","start_date_disposal","end_date_disposal"
2020,"Landfill 1",1812110,126155,237076,0,2365823,362080,289379,"1.1.2013","31.12.2044"
2020,"Landfill 2",174161,26800,174135,26800,456114,218199,218173,"1.7.2003","1.1.2037"
2020,"Landfill 3",48732,1090,10368,11608,118200,9484,9484,"26.05.1988","31.12.2022"
2020,"Landfill 4a",7448,977,7374,977,5700,4651,4605,"01.12.2015","31.12.2023"
2020,"Landfill 4b",29034,9658,20549,9658,85185,33262,24658,"10.12.2014","31.12.2024"
2020,"Landfill 5a",13996,4690,5099,21193,49000,30273,25283,"1.4.2016","24.9.2027"
2020,"Landfill 5b",14944,4690,11627,4010,49000,30273,25283,"01.04.2016","24.09.2027"
2020,"Landfill 6",706513,21958,684674,20676,1355000,633191,607083,"1.2.2007","31.12.2032"
2020,"Landfill 7",556230,33795,92329,33795,713957,139336,94597,"26.10.1996","31.12.2025"
2020,"Landfill 8",58109,4130,16694,0,105320,6933,3147,"17.03.2020","25.11.2020"
2020,"Landfill 9",56743,13110,48490,11190,84000,32835,27711,"01.01.2012","31.12.2030"
2020,"Landfill 10",6891,16972,186453,16972,188510,143226,130822,"3.5.2010","31.12.2035"
2020,"Landfill 11",2287534,67665,1272445,111456,3723000,1420759,1377381,"1.01.2020","31.12.2020"
2020,"Landfill 12",36900,2200,18800,780,35000,15617,9891,"11.1.20212","31.12.2025"
2020,"Landfill 13",0,19393,0,0,166381,3103,681,"01.04.2001","31.12.2020"
2020,"Landfill 14",36100,0,29061,0,103600,53060,39170,"01.07.2017","31.12.2024"
2020,"Landfill 15",116546,1500,113888,1650,668883,181761,177366,"02.10.2015","01.04.2038"
2020,"Landfill 16",34660,0,40286,7890,108000,79000,73340,"03.08.2015","31.12.2031"
