"year","statistical_region","treatment_inlet_delivered_waste_code","input_waste_name","waste_category","treatment_outlet_delivered_waste_code","output_waste_name","waste_category_1","waste_handed_to_collectors_RS","waste_delivered_to_operators_RS","waste_sent_to_EU","waste_sent_to_non_EU"
2020,"GORENJSKA",NA,NA,"Other Waste","07 02 13","Waste Plastics (07 02 13)","Organic Chemical Waste",0,55.679,0,0
2020,"GORENJSKA",NA,NA,"Other Waste","10 02 07*",NA,"Thermal Process Waste",0,0,6060.44,0
2020,"GORENJSKA",NA,NA,"Other Waste","10 03 16",NA,"Thermal Process Waste",0,0,2142.45,0
2020,"GORENJSKA",NA,NA,"Other Waste","10 10 03",NA,"Thermal Process Waste",12.7,137.09,76.748,0
2020,"GORENJSKA",NA,NA,"Other Waste","10 12 99",NA,"Thermal Process Waste",0,305,0,0
2020,"GORENJSKA",NA,NA,"Other Waste","12 01 01",NA,"Metal/Plastic Processing Waste",12.29,1025.798,3014.04,0
2020,"GORENJSKA",NA,NA,"Other Waste","12 01 02","Iron Dust and Particles (12 01 02)","Metal/Plastic Processing Waste",5.96,237.41,2.669,0
2020,"GORENJSKA",NA,NA,"Other Waste","12 01 03","Non-Ferrous Metal Turnings (12 01 03)","Metal/Plastic Processing Waste",32.732,284.329,136.1,0
2020,"GORENJSKA",NA,NA,"Other Waste","12 01 04","Non-Ferrous Metal Dust and Particles (12 01 04)","Metal/Plastic Processing Waste",43.659,75.492,0,0
2020,"GORENJSKA",NA,NA,"Other Waste","12 01 05",NA,"Metal/Plastic Processing Waste",0,15.79,0,0
2020,"GORENJSKA",NA,NA,"Other Waste","13 02 08*",NA,"Other Waste",2.5,0,0,0
2020,"GORENJSKA",NA,NA,"Other Waste","13 05 07*",NA,"Other Waste",1.2,0,0,0
2020,"GORENJSKA",NA,NA,"Other Waste","14 06 03*","Other Solvents and Solvent Mixtures (14 06 03*)","Solvent/Refrigerant Waste",16.336,0,0,0
2020,"GORENJSKA",NA,NA,"Other Waste","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",0,2762.391,1656.352,0
2020,"GORENJSKA",NA,NA,"Other Waste","15 01 02","Plastic Packaging (15 01 02)","Packaging Waste",0,705.066,24.16,37.02
2020,"GORENJSKA",NA,NA,"Other Waste","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",0,1917.055,0,0
2020,"GORENJSKA",NA,NA,"Other Waste","15 01 06","Mixed Packaging (15 01 06)","Packaging Waste",0,1719.38,0,0
2020,"GORENJSKA",NA,NA,"Other Waste","15 01 07","Glass Packaging (15 01 07)","Packaging Waste",357.66,29.999,45.96,0
2020,"GORENJSKA",NA,NA,"Other Waste","16 01 03","End-of-Life Tyres (16 01 03)","Miscellaneous Waste",18.04,0,0,0
2020,"GORENJSKA",NA,NA,"Other Waste","16 01 17",NA,"Miscellaneous Waste",0,761.09,0,0
2020,"GORENJSKA",NA,NA,"Other Waste","16 01 18","Non-ferrous Metals (16 01 18)","Miscellaneous Waste",20.381,1.059,0,0
2020,"GORENJSKA",NA,NA,"Other Waste","16 02 16","Components Removed from Discarded Equipment (16 02 16)","Miscellaneous Waste",1.441,0,0,0
2020,"GORENJSKA",NA,NA,"Other Waste","16 10 01*",NA,"Miscellaneous Waste",0,750.13,0,0
2020,"GORENJSKA",NA,NA,"Other Waste","17 01 07","Non-Hazardous Concrete/Brick/Ceramic Mixtures (17 01 07)","Construction/Demolition Waste",0,20.64,0,0
2020,"GORENJSKA",NA,NA,"Other Waste","17 04 01",NA,"Construction/Demolition Waste",6.386,0.124,319.62,0
2020,"GORENJSKA",NA,NA,"Other Waste","17 04 02",NA,"Construction/Demolition Waste",118.16,35.107,23.86,0
2020,"GORENJSKA",NA,NA,"Other Waste","17 04 03",NA,"Construction/Demolition Waste",0.858,18.152,0,0
2020,"GORENJSKA",NA,NA,"Other Waste","17 04 04",NA,"Construction/Demolition Waste",0.778,0,0,0
2020,"GORENJSKA",NA,NA,"Other Waste","17 04 05","Iron and Steel Waste (17 04 05)","Construction/Demolition Waste",13.483,2.71,4596.2,0
