"year","statistical_region","type_of_waste","total_waste_received","waste_received_own_waste","waste_received_from_producers_RS","waste_received_from_collectors_RS","waste_received_from_processors_RS","waste_received_from_EU","waste_received_from_non_EU"
2020,"GORENJSKA","Paper/Cardboard Packaging",4525.239,0,4214,259.781,51.458,0,0
2020,"GORENJSKA","Sawdust/Chips/Wood, not specified in 03 01 04",2300.906,0,2300.906,0,0,0,0
2020,"GORENJSKA","Wood",892.741,0,310.621,582.12,0,0,0
2020,"GORENJSKA","Wood, not specified in 20 01 37",793.543,0,188.603,170.35,434.59,0,0
2020,"GORENJSKA","Wooden packaging",4511.39,0,2377.895,51.76,2081.735,0,0
2020,"GORIŠKA","Paper/Cardboard Packaging",2135.463,9.79,1410.219,715.454,0,0,0
2020,"GORIŠKA","Wood",341.95,0,215.9,126.05,0,0,0
2020,"GORIŠKA","Wood, not specified in 20 01 37",5.4,0,5.4,0,0,0,0
2020,"GORIŠKA","Wooden packaging",492.765,0,480.835,10.37,1.56,0,0
2020,"JUGOVZHODNA SLOVENIJA","Paper/Cardboard Packaging",6010.348,0,5758.529,247.454,4.365,0,0
2020,"JUGOVZHODNA SLOVENIJA","Sawdust/Chips/Wood, not specified in 03 01 04",3869.78,0,3207.34,662.44,0,0,0
2020,"JUGOVZHODNA SLOVENIJA","Wood",69.49,0,69.49,0,0,0,0
2020,"JUGOVZHODNA SLOVENIJA","Wood, not specified in 20 01 37",122.78,0,122.78,0,0,0,0
2020,"JUGOVZHODNA SLOVENIJA","Wooden packaging",2498.19,0,2497.578,0.612,0,0,0
2020,"KOROŠKA","Paper/Cardboard Packaging",1367.04,0,1130.348,236.692,0,0,0
2020,"KOROŠKA","Sawdust/Chips/Wood, not specified in 03 01 04",450,450,0,0,0,0,0
2020,"KOROŠKA","Wood",6,0,6,0,0,0,0
2020,"KOROŠKA","Wooden packaging",160.84,0,160.84,0,0,0,0
2020,"OBALNO-KRAŠKA","Paper/Cardboard Packaging",3678.692,0,3008.876,473.684,196.032,0.1,0
2020,"OBALNO-KRAŠKA","Wood",105.384,0,105.384,0,0,0,0
2020,"OBALNO-KRAŠKA","Wood, not specified in 20 01 37",395.18,0,395.18,0,0,0,0
2020,"OBALNO-KRAŠKA","Wooden packaging",854.185,0,853.985,0,0,0.2,0
2020,"OSREDNJESLOVENSKA","Paper/Cardboard Packaging",47103.403,0.307,27066.688,16514.346,3516.722,5.34,0
2020,"OSREDNJESLOVENSKA","Sawdust/Chips/Wood, not specified in 03 01 04",1417.56,0,807.24,610.32,0,0,0
2020,"OSREDNJESLOVENSKA","Wood",3979.076,0,2325.425,1522.631,121.88,9.14,0
2020,"OSREDNJESLOVENSKA","Wood, not specified in 20 01 37",43615.599,6270.04,6458.151,22131.976,8755.432,0,0
2020,"OSREDNJESLOVENSKA","Wooden packaging",20245.846,13.5,4722.284,6152.771,9356.771,0.52,0
2020,"PODRAVSKA","Paper/Cardboard Packaging",13122.671,1.156,10666.398,1399.18,1053.777,2.16,0
2020,"PODRAVSKA","Sawdust/Chips/Wood, not specified in 03 01 04",88.54,0,88.54,0,0,0,0
2020,"PODRAVSKA","Wood",387.14,0,373.68,13.46,0,0,0
2020,"PODRAVSKA","Wood, not specified in 20 01 37",3366.074,0,3046.906,180.908,138.26,0,0
2020,"PODRAVSKA","Wooden packaging",3289.827,0,2152.868,1136.959,0,0,0
2020,"POMURSKA","Paper/Cardboard Packaging",3282.14,30.94,2335.352,437.4,478.448,0,0
2020,"POMURSKA","Sawdust/Chips/Wood, not specified in 03 01 04",2071.24,0,2071.24,0,0,0,0
2020,"POMURSKA","Wood",34.94,0,34.94,0,0,0,0
2020,"POMURSKA","Wood, not specified in 20 01 37",856.06,5.02,680.68,170.36,0,0,0
2020,"POMURSKA","Wooden packaging",659.945,0,565.026,94.919,0,0,0
2020,"POSAVSKA","Paper/Cardboard Packaging",8864.001,0,1488.344,2571.417,4804.24,0,0
2020,"POSAVSKA","Wood",0.4,0,0.4,0,0,0,0
2020,"POSAVSKA","Wood, not specified in 20 01 37",931.32,0,4.32,927,0,0,0
2020,"POSAVSKA","Wooden packaging",566.429,386.599,176.67,3.16,0,0,0
2020,"PRIMORSKO-NOTRANJSKA","Paper/Cardboard Packaging",159.02,0,159.02,0,0,0,0
2020,"PRIMORSKO-NOTRANJSKA","Wooden packaging",394.25,0,394.25,0,0,0,0
2020,"SAVINJSKA","Bark and Cork Waste",1.855,0,1.855,0,0,0,0
2020,"SAVINJSKA","Miscellaneous Waste",1233.88,0,1233.88,0,0,0,0
2020,"SAVINJSKA","Paper/Cardboard Packaging",16893.315,0,11233.076,4391.902,1254.267,14.07,0
2020,"SAVINJSKA","Sawdust/Chips/Wood, not specified in 03 01 04",47.01,0,42.81,4.2,0,0,0
2020,"SAVINJSKA","Wood",299.442,0,136.222,163.22,0,0,0
2020,"SAVINJSKA","Wood, not specified in 20 01 37",3244.277,0,103.922,2971.375,168.98,0,0
2020,"SAVINJSKA","Wooden packaging",8651.482,0,1889.164,2920.884,3841.434,0,0
2020,"ZASAVSKA","Wood, not specified in 20 01 37",126.58,0,126.58,0,0,0,0
