"year","statistical_region","name_of_municipality","number_of_households","number_of_households_composting","percentage_of_households_composting"
2021,"GORIŠKA","AJDOVŠČINA",7035,5784,82.22
2021,"OBALNOKRAŠKA","ANKARAN",1409,149,10.57
2021,"POMURSKA","APAČE",1363,950,69.7
2021,"POMURSKA","BELTINCI",2942,2265,76.99
2021,"PODRAVSKA","BENEDIKT",867,766,88.35
2021,"POSAVSKA","BISTRICA OB SOTLI",506,464,91.7
2021,"GORENJSKA","BLED",3233,465,14.38
2021,"PRIMORSKONOTRANJSKA","BLOKE",597,556,93.13
2021,"GORENJSKA","BOHINJ",2099,1644,78.32
2021,"OSREDNJESLOVENSKA","BOROVNICA",1597,402,25.17
2021,"GORIŠKA","BOVEC",1465,37,2.53
2021,"SAVINJSKA","BRASLOVČE",2048,4287,209.33
2021,"GORIŠKA","BRDA",2040,229,11.23
2021,"OSREDNJESLOVENSKA","BREZOVICA",4217,1765,41.85
2021,"POSAVSKA","BREŽICE",9797,7205,73.54
2021,"POMURSKA","CANKOVA",655,649,99.08
2021,"SAVINJSKA","CELJE",22710,7083,31.19
2021,"GORENJSKA","CERKLJE NA GORENJSKEM",2450,1474,60.16
2021,"PRIMORSKONOTRANJSKA","CERKNICA",4378,3507,80.11
2021,"GORIŠKA","CERKNO",1682,979,58.2
2021,"PODRAVSKA","CERKVENJAK",751,748,99.6
2021,"POMURSKA","ČRENŠOVCI",1368,1257,91.89
2021,"KOROŠKA","ČRNA NA KOROŠKEM",2658,1232,46.35
2021,"JUGOVZHODNA SLOVENIJA","ČRNOMELJ",5495,4904,89.24
2021,"OBALNOKRAŠKA","DIVAČA",1724,26,1.51
2021,"SAVINJSKA","DOBJE",352,949,269.6
2021,"OSREDNJESLOVENSKA","DOBREPOLJE",1333,1074,80.57
2021,"SAVINJSKA","DOBRNA",797,1754,220.08
2021,"OSREDNJESLOVENSKA","DOBROVA-POLHOV GRADEC",2517,2212,87.88
2021,"POMURSKA","DOBROVNIK",520,496,95.38
2021,"OSREDNJESLOVENSKA","DOL PRI LJUBLJANI",2092,1443,68.98
2021,"JUGOVZHODNA SLOVENIJA","DOLENJSKE TOPLICE",1254,1070,85.33
2021,"PODRAVSKA","DORNAVA",966,648,67.08
2021,"KOROŠKA","DRAVOGRAD",6726,4007,59.57
2021,"GORENJSKA","GORENJA VAS-POLJANE",2254,2158,95.74
2021,"PODRAVSKA","GORIŠNICA",1439,947,65.81
2021,"GORENJSKA","GORJE",1068,173,16.2
2021,"POMURSKA","GORNJA RADGONA",3350,2018,60.24
2021,"SAVINJSKA","GORNJI GRAD",908,586,64.54
2021,"POMURSKA","GORNJI PETROVCI",799,780,97.62
2021,"POMURSKA","GRAD",787,775,98.48
2021,"OSREDNJESLOVENSKA","GROSUPLJE",7542,2586,34.29
2021,"PODRAVSKA","HAJDINA",1487,817,54.94
2021,"PODRAVSKA","HOČE-SLIVNICA",4794,3222,67.21
2021,"POMURSKA","HODOŠ",105,104,99.05
2021,"OSREDNJESLOVENSKA","HORJUL",926,653,70.52
2021,"ZASAVSKA","HRASTNIK",4023,1780,44.25
2021,"OBALNOKRAŠKA","HRPELJE-KOZINA",1763,106,6.01
2021,"GORIŠKA","IDRIJA",4545,1422,31.29
2021,"OSREDNJESLOVENSKA","IG",2585,1909,73.85
2021,"PRIMORSKONOTRANJSKA","ILIRSKA BISTRICA",5330,3095,58.07
