"year","statistical_region","waste_code","type_of_waste","waste_by_municipality"
2021,"GORIŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)",263.233
2021,"GORIŠKA","15 01 03","Wooden Packaging (15 01 03)",7.22
2021,"GORIŠKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)",430.344
2021,"GORIŠKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)",376.298
2021,"GORIŠKA","20 03 07","Bulky Municipal Waste (20 03 07)",363.753
2021,"OBALNOKRAŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)",33.305
2021,"OBALNOKRAŠKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)",113.25
2021,"OBALNOKRAŠKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)",71.702
2021,"OBALNOKRAŠKA","20 03 07","Bulky Municipal Waste (20 03 07)",27.881
2021,"POMURSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)",72.62
2021,"POMURSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)",20.316
2021,"POMURSKA","20 03 07","Bulky Municipal Waste (20 03 07)",317.14
2021,"POMURSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)",54.107
2021,"POMURSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)",162.954
2021,"POMURSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)",151.06
2021,"POMURSKA","20 03 07","Bulky Municipal Waste (20 03 07)",308.544
2021,"PODRAVSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)",5.511
2021,"PODRAVSKA","20 03 07","Bulky Municipal Waste (20 03 07)",72.73
2021,"POSAVSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)",5.01
2021,"POSAVSKA","15 01 03","Wooden Packaging (15 01 03)",0.005
2021,"POSAVSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)",9.31
2021,"POSAVSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)",2.779
2021,"POSAVSKA","20 03 07","Bulky Municipal Waste (20 03 07)",50.902
2021,"GORENJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)",100.438
2021,"GORENJSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)",312.818
2021,"GORENJSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)",299.678
2021,"GORENJSKA","20 03 07","Bulky Municipal Waste (20 03 07)",182.1
2021,"PRIMORSKONOTRANJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)",27.994
2021,"PRIMORSKONOTRANJSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)",6.7
2021,"PRIMORSKONOTRANJSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)",39.72
2021,"PRIMORSKONOTRANJSKA","20 03 07","Bulky Municipal Waste (20 03 07)",71.41
2021,"GORENJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)",64
2021,"GORENJSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)",71.01
2021,"GORENJSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)",228.66
2021,"GORENJSKA","20 03 07","Bulky Municipal Waste (20 03 07)",222.46
2021,"OSREDNJESLOVENSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)",27.648
2021,"OSREDNJESLOVENSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)",158.388
2021,"OSREDNJESLOVENSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)",129.238
2021,"OSREDNJESLOVENSKA","20 03 07","Bulky Municipal Waste (20 03 07)",73.985
2021,"GORIŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)",92.124
2021,"GORIŠKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)",57.242
2021,"GORIŠKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)",141.359
