"year","statistical_region","waste_code","type_of_waste","waste_category","total_collected_waste","waste_from_producers_no_record","waste_from_producers_with_record","waste_from_collectors_RS","waste_from_processors_RS"
2021,"GORENJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",1962.702,1961.642,1.06,0,0
2021,"GORENJSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",77.01,77.01,0,0,0
2021,"GORENJSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",547.86,547.56,0.3,0,0
2021,"GORENJSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",37.03,0,37.03,0,0
2021,"GORENJSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",3355.703,2957.808,159.935,237.96,0
2021,"GORENJSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",4364.82,4306.67,58.15,0,0
2021,"GORENJSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",4871.098,4785.958,85.14,0,0
2021,"GORIŠKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",23.44,0,23.44,0,0
2021,"GORIŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",1852.956,1222.44,630.516,0,0
2021,"GORIŠKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",191.748,15.28,176.468,0,0
2021,"GORIŠKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",142.3,10.53,131.77,0,0
2021,"GORIŠKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",18.41,0,13.62,0,4.79
2021,"GORIŠKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",2938.164,2852.985,85.179,0,0
2021,"GORIŠKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",3305.712,3240.972,64.74,0,0
2021,"GORIŠKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",3073.095,3072.675,0.42,0,0
2021,"JUGOVZHODNA SLOVENIJA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",4793.136,0,95.556,20.12,4677.46
2021,"JUGOVZHODNA SLOVENIJA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",1395.503,1356.942,38.561,0,0
