"year","statistical_region","waste_code","type_of_waste","waste_category","total_waste_generated_stored","temporarily_stored_start_year","generated_in_the_year","temporarily_stored_end_year","waste_treated_by_original_generator","waste_transferred_for_treatment_in_RS","waste_sent_for_treatment_EU","waste_sent_for_treatment_outside_EU"
2021,"GORENJSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",1519.969,0,1519.969,0,0,1519.969,0,0
2021,"GORENJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",4397.061,11.064,4385.997,20.973,0,4365.655,0,0
2021,"GORENJSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",2499.245,4.37,2494.875,7.47,0,2491.775,0,0
2021,"GORENJSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",83.32,0,83.32,0,0,78.58,0,0
2021,"GORENJSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",154.94,0,154.94,0,0,154.94,0,0
2021,"GORENJSKA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues",0.298,0,0.298,0,0,0.298,0,0
2021,"GORENJSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",3659.086,16.605,3642.481,2.257,8.51,3612.456,0,0
2021,"GORENJSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",244.96,0.3,244.66,0.3,0,244.66,0,0
2021,"GORENJSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",454.256,0,454.256,0.74,0,452.396,0,0
2021,"GORIŠKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",539.81,0.14,539.67,1.7,0,315.12,224.49,0
2021,"GORIŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",4869.9598,23.147,4846.8128,11.3548,0,4809.81,0,0
2021,"GORIŠKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",1427.842,8.45,1419.392,4.83,0,1419.674,0,0
2021,"GORIŠKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",90.435,0.95,89.485,0.82,0,89.615,0,0
2021,"GORIŠKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",462.853,1.939,460.914,1.759,5.51,455.563,0,0
2021,"GORIŠKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",63.2,4.56,58.64,0.05,0,63.01,0,0
2021,"GORIŠKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",117.252,1.01,116.242,0.39,0,116.862,0,0
2021,"JUGOVZHODNA SLOVENIJA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",4080.593,2,4078.593,5.15,0,4075.443,0,0
2021,"JUGOVZHODNA SLOVENIJA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",5088.934,7.189,5081.745,11.814,0,5077.6,0,0
2021,"JUGOVZHODNA SLOVENIJA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",2254.343,14.954,2239.389,5.095,0,2249.248,0,0
2021,"JUGOVZHODNA SLOVENIJA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",252.95,0,252.95,0,0,252.95,0,0
2021,"JUGOVZHODNA SLOVENIJA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",2.343,0.001,2.342,0.001,0,2.342,0,0
