"Year","Report","Statistical Region of Waste Origin","Waste Code","Name of Waste","Total Waste: Generated and Stored","Temporarily Stored Waste on 1.1.2021","Waste Generated in 2021","Temporarily Stored Waste on 31.12.2021","Waste Treated by the Original Producer","Waste Transferred for Further Treatment in the Republic of Slovenia","Waste Sent for Treatment in Other EU Countries","Waste Sent for Treatment Outside the EU"
2021,"ODP-nastajanje","GORENJSKA","03 01 05","Sawdust, chips, cuttings, wood, particle board and veneer, not specified in 03 01 04",1519969,0,1519969,0,0,1519969,0,0
2021,"ODP-nastajanje","GORENJSKA","15 01 01","Paper and cardboard packaging and cardboard packaging",4397061,11064,4385997,20973,0,4365655,0,0
2021,"ODP-nastajanje","GORENJSKA","15 01 03","Wooden packaging",2499245,4370,2494875,7470,0,2491775,0,0
2021,"ODP-nastajanje","GORENJSKA","17 02 01","Wood",83320,0,83320,0,0,78580,0,0
2021,"ODP-nastajanje","GORENJSKA","20 01 38","Wood, not specified in 20 01 37",244960,300,244660,300,0,244660,0,0
2021,"ODP-nastajanje","GORIŠKA","03 01 05","Sawdust, chips, cuttings, wood, particle board and veneer, not specified in 03 01 04",539810,140,539670,1700,0,315120,224490,0
2021,"ODP-nastajanje","GORIŠKA","15 01 01","Paper and cardboard packaging and cardboard packaging",4869959.8,23147,4846812.8,11354.8,0,4809810,0,0
2021,"ODP-nastajanje","GORIŠKA","15 01 03","Wooden packaging",1427842,8450,1419392,4830,0,1419674,0,0
2021,"ODP-nastajanje","GORIŠKA","17 02 01","Wood",90435,950,89485,820,0,89615,0,0
2021,"ODP-nastajanje","GORIŠKA","20 01 38","Wood, not specified in 20 01 37",63200,4560,58640,50,0,63010,0,0
2021,"ODP-nastajanje","JUGOVZHODNA SLOVENIJA","03 01 05","Sawdust, chips, cuttings, wood, particle board and veneer, not specified in 03 01 04",4080593,2000,4078593,5150,0,4075443,0,0
2021,"ODP-nastajanje","JUGOVZHODNA SLOVENIJA","15 01 01","Paper and cardboard packaging and cardboard packaging",5088934,7189,5081745,11814,0,5077600,0,0
2021,"ODP-nastajanje","JUGOVZHODNA SLOVENIJA","15 01 03","Wooden packaging",2254343,14954,2239389,5095,0,2249248,0,0
2021,"ODP-nastajanje","JUGOVZHODNA SLOVENIJA","17 02 01","Wood",252950,0,252950,0,0,252950,0,0
2021,"ODP-nastajanje","JUGOVZHODNA SLOVENIJA","20 01 38","Wood, not specified in 20 01 37",79569,0,79569,0,0,79569,0,0
2021,"ODP-nastajanje","KOROŠKA","03 01 05","Sawdust, chips, cuttings, wood, particle board and veneer, not specified in 03 01 04",462260,0,462260,0,450000,12260,0,0
2021,"ODP-nastajanje","KOROŠKA","15 01 01","Paper and cardboard packaging and cardboard packaging",1729062,156726,1572336,500,0,1715782,0,0
2021,"ODP-nastajanje","KOROŠKA","15 01 03","Wooden packaging",545475,400,545075,0,0,545475,0,0
2021,"ODP-nastajanje","KOROŠKA","17 02 01","Wood",9090,0,9090,0,0,9090,0,0
2021,"ODP-nastajanje","KOROŠKA","20 01 38","Wood, not specified in 20 01 37",46200,0,46200,0,0,46200,0,0
2021,"ODP-nastajanje","OBALNO-KRAŠKA","03 01 05","Sawdust, chips, cuttings, wood, particle board and veneer, not specified in 03 01 04",99700,0,99700,0,0,99700,0,0
2021,"ODP-nastajanje","OBALNO-KRAŠKA","15 01 01","Paper and cardboard packaging and cardboard packaging",1925269,39429,1885840,5495,0,1907350,0,0
2021,"ODP-nastajanje","OBALNO-KRAŠKA","15 01 03","Wooden packaging",2004725,150,2004575,1730,0,1988605,13500,0
2021,"ODP-nastajanje","OBALNO-KRAŠKA","17 02 01","Wood",67942,0,67942,0,0,67942,0,0
2021,"ODP-nastajanje","OBALNO-KRAŠKA","20 01 38","Wood, not specified in 20 01 37",35245,0,35245,0,0,35245,0,0
2021,"ODP-nastajanje","OSREDNJESLOVENSKA","03 01 05","Sawdust, chips, cuttings, wood, particle board and veneer, not specified in 03 01 04",601620,0,601620,0,0,601620,0,0
2021,"ODP-nastajanje","OSREDNJESLOVENSKA","15 01 01","Paper and cardboard packaging and cardboard packaging",22160619,52595,22108024,13451,78341,21704747,272495,0
2021,"ODP-nastajanje","OSREDNJESLOVENSKA","15 01 03","Wooden packaging",5186000,8303,5177697,11259,27368,5108397,0,0
2021,"ODP-nastajanje","OSREDNJESLOVENSKA","17 02 01","Wood",660541,0,660541,0,65,653576,0,0
2021,"ODP-nastajanje","OSREDNJESLOVENSKA","20 01 38","Wood, not specified in 20 01 37",278067,0,278067,0,0,275147,0,0
2021,"ODP-nastajanje","PODRAVSKA","03 01 05","Sawdust, chips, cuttings, wood, particle board and veneer, not specified in 03 01 04",39880,0,39880,0,0,39880,0,0
2021,"ODP-nastajanje","PODRAVSKA","15 01 01","Paper and cardboard packaging and cardboard packaging",8289364,16063,8273301,1040,940,7938744,322780,0
2021,"ODP-nastajanje","PODRAVSKA","15 01 03","Wooden packaging",2768993,1500,2767493,1000,7090,2747903,0,0
2021,"ODP-nastajanje","PODRAVSKA","17 02 01","Wood",102640,0,102640,0,0,100910,0,0
2021,"ODP-nastajanje","PODRAVSKA","20 01 38","Wood, not specified in 20 01 37",721127,160,720967,0,0,721127,0,0
2021,"ODP-nastajanje","POMURSKA","03 01 01","Waste bark and cork",148,0,148,0,0,148,0,0
2021,"ODP-nastajanje","POMURSKA","03 01 05","Sawdust, chips, cuttings, wood, particle board and veneer, not specified in 03 01 04",2271270,50,2271220,0,0,2271270,0,0
2021,"ODP-nastajanje","POMURSKA","15 01 01","Paper and cardboard packaging and cardboard packaging",2535629,41677,2493952,2392,0,2500923,0,0
2021,"ODP-nastajanje","POMURSKA","15 01 03","Wooden packaging",735230,3920,731310,3750,0,694494,0,0
2021,"ODP-nastajanje","POMURSKA","17 02 01","Wood",163420,0,163420,0,0,163420,0,0
2021,"ODP-nastajanje","POMURSKA","20 01 38","Wood, not specified in 20 01 37",5180,700,4480,0,0,5180,0,0
2021,"ODP-nastajanje","POSAVSKA","03 01 05","Sawdust, chips, cuttings, wood, particle board and veneer, not specified in 03 01 04",110922,0,110922,0,0,110922,0,0
2021,"ODP-nastajanje","POSAVSKA","15 01 01","Paper and cardboard packaging and cardboard packaging",1063619,1593,1062026,1405,11040,1047754,0,0
2021,"ODP-nastajanje","POSAVSKA","15 01 03","Wooden packaging",291665,1695,289970,29000,1695,260970,0,0
2021,"ODP-nastajanje","POSAVSKA","17 02 01","Wood",5160,0,5160,0,0,5160,0,0
2021,"ODP-nastajanje","POSAVSKA","20 01 38","Wood, not specified in 20 01 37",550250,210,550040,210,0,550040,0,0
2021,"ODP-nastajanje","PRIMORSKO-NOTRANJSKA","03 01 05","Sawdust, chips, cuttings, wood, particle board and veneer, not specified in 03 01 04",38220,8280,29940,6500,0,38220,0,0
2021,"ODP-nastajanje","PRIMORSKO-NOTRANJSKA","15 01 01","Paper and cardboard packaging and cardboard packaging",1315147,4876,1310271,4886,0,1289656,0,0
2021,"ODP-nastajanje","PRIMORSKO-NOTRANJSKA","15 01 03","Wooden packaging",348176,150,348026,0,0,348176,0,0
2021,"ODP-nastajanje","PRIMORSKO-NOTRANJSKA","17 02 01","Wood",85120,0,85120,0,0,85120,0,0
2021,"ODP-nastajanje","PRIMORSKO-NOTRANJSKA","20 01 38","Wood, not specified in 20 01 37",13228,0,13228,0,0,13228,0,0
2021,"ODP-nastajanje","SAVINJSKA","03 01 05","Sawdust, chips, cuttings, wood, particle board and veneer, not specified in 03 01 04",22820,0,22820,0,0,22820,0,0
2021,"ODP-nastajanje","SAVINJSKA","03 01 99","Waste not specified elsewhere",1336540,0,1336540,0,0,1336540,0,0
2021,"ODP-nastajanje","SAVINJSKA","15 01 01","Paper and cardboard packaging and cardboard packaging",17642866,30957,17611909,6647,0,17639579,0,0
2021,"ODP-nastajanje","SAVINJSKA","15 01 03","Wooden packaging",6404186,3565,6400621,3200,0,6407071,0,0
2021,"ODP-nastajanje","SAVINJSKA","17 02 01","Wood",498440,0,498440,0,0,498440,0,0
2021,"ODP-nastajanje","SAVINJSKA","20 01 38","Wood, not specified in 20 01 37",79530,1120,78410,950,0,78580,0,0
2021,"ODP-nastajanje","ZASAVSKA","15 01 01","Paper and cardboard packaging and cardboard packaging",723404,1450,721954,2250,0,721044,0,0
2021,"ODP-nastajanje","ZASAVSKA","15 01 03","Wooden packaging",402790,1120,401670,2110,0,400680,0,0
2021,"ODP-nastajanje","ZASAVSKA","17 02 01","Wood",2240,0,2240,0,0,2240,0,0
2021,"ODP-nastajanje","ZASAVSKA","20 01 38","Wood, not specified in 20 01 37",5590,0,5590,0,0,5590,0,0
2021,"ODP-nastajanje","NEOPREDELJENO","15 01 01","Paper and cardboard packaging and cardboard packaging",56279,0,56279,0,0,56279,0,0
2021,"ODP-nastajanje","NEOPREDELJENO","15 01 03","Wooden packaging",7010,0,7010,0,0,7010,0,0
2021,"ODP-nastajanje","NEOPREDELJENO","20 01 38","Wood, not specified in 20 01 37",7084,0,7084,0,0,7084,0,0
