"year","statistical_region","name_of_municipality","type_of_waste","waste_collected_by_municipality"
2021,"GORENJSKA","BLED","Paper/Cardboard Packaging",0.22
2021,"GORENJSKA","CERKLJE NA GORENJSKEM","Wood, not specified in 20 01 37",239.64
2021,"GORENJSKA","JESENICE","Paper/Cardboard Packaging",5.717
2021,"GORENJSKA","JESENICE","Wood, not specified in 20 01 37",21.54
2021,"GORENJSKA","KRANJ","Paper/Cardboard Packaging",2808.879
2021,"GORENJSKA","KRANJ","Wood, not specified in 20 01 37",50.8
2021,"GORENJSKA","KRANJ","Wooden packaging",567.36
2021,"GORENJSKA","KRANJSKA GORA","Paper/Cardboard Packaging",4.884
2021,"GORENJSKA","RADOVLJICA","Paper/Cardboard Packaging",4.605
2021,"GORENJSKA","TRŽIČ","Paper/Cardboard Packaging",9.701
2021,"GORENJSKA","ŠKOFJA LOKA","Paper/Cardboard Packaging",5.521
2021,"GORENJSKA","ŽIRI","Paper/Cardboard Packaging",10.08
2021,"GORIŠKA","AJDOVŠČINA","Paper/Cardboard Packaging",1.14
2021,"GORIŠKA","BRDA","Paper/Cardboard Packaging",0.559
2021,"GORIŠKA","IDRIJA","Paper/Cardboard Packaging",28.546
2021,"GORIŠKA","NOVA GORICA","Paper/Cardboard Packaging",1239.845
2021,"GORIŠKA","NOVA GORICA","Wood, not specified in 20 01 37",1.56
2021,"GORIŠKA","NOVA GORICA","Wooden packaging",962.891
2021,"GORIŠKA","TOLMIN","Paper/Cardboard Packaging",6.399
2021,"GORIŠKA","ŠEMPETER-VRTOJBA","Paper/Cardboard Packaging",3.55
2021,"JUGOVZHODNA SLOVENIJA","KOČEVJE","Paper/Cardboard Packaging",5.475
2021,"JUGOVZHODNA SLOVENIJA","METLIKA","Paper/Cardboard Packaging",5.014
2021,"JUGOVZHODNA SLOVENIJA","NOVO MESTO","Paper/Cardboard Packaging",7.475
2021,"JUGOVZHODNA SLOVENIJA","RIBNICA","Paper/Cardboard Packaging",1.85
2021,"JUGOVZHODNA SLOVENIJA","TREBNJE","Paper/Cardboard Packaging",972.294
2021,"JUGOVZHODNA SLOVENIJA","TREBNJE","Wood, not specified in 20 01 37",27.78
2021,"JUGOVZHODNA SLOVENIJA","TREBNJE","Wooden packaging",889.733
2021,"JUGOVZHODNA SLOVENIJA","ČRNOMELJ","Paper/Cardboard Packaging",0.452
2021,"KOROŠKA","DRAVOGRAD","Paper/Cardboard Packaging",24.086
2021,"KOROŠKA","MEŽICA","Paper/Cardboard Packaging",7.813
2021,"KOROŠKA","MISLINJA","Paper/Cardboard Packaging",21.497
2021,"KOROŠKA","PREVALJE","Paper/Cardboard Packaging",25.793
2021,"KOROŠKA","PREVALJE","Wood, not specified in 20 01 37",4.96
2021,"KOROŠKA","RADLJE OB DRAVI","Paper/Cardboard Packaging",169.071
2021,"KOROŠKA","RADLJE OB DRAVI","Wood, not specified in 20 01 37",0.08
2021,"KOROŠKA","RADLJE OB DRAVI","Wooden packaging",18.805
2021,"KOROŠKA","RAVNE NA KOROŠKEM","Paper/Cardboard Packaging",226.828
2021,"KOROŠKA","RAVNE NA KOROŠKEM","Wooden packaging",106.04
2021,"KOROŠKA","SLOVENJ GRADEC","Paper/Cardboard Packaging",770.444
2021,"KOROŠKA","SLOVENJ GRADEC","Wood, not specified in 20 01 37",6.91
2021,"KOROŠKA","SLOVENJ GRADEC","Wooden packaging",77.503
2021,"KOROŠKA","ČRNA NA KOROŠKEM","Paper/Cardboard Packaging",6.955
2021,"OBALNOKRAŠKA","ANKARAN","Paper/Cardboard Packaging",0.391
2021,"OBALNOKRAŠKA","DIVAČA","Paper/Cardboard Packaging",1.008
2021,"OBALNOKRAŠKA","HRPELJE-KOZINA","Paper/Cardboard Packaging",2.802
2021,"OBALNOKRAŠKA","IZOLA","Paper/Cardboard Packaging",1.014
2021,"OBALNOKRAŠKA","KOMEN","Paper/Cardboard Packaging",1.39
2021,"OBALNOKRAŠKA","KOPER","Paper/Cardboard Packaging",1742.033
2021,"OBALNOKRAŠKA","KOPER","Wood, not specified in 20 01 37",1.532
2021,"OBALNOKRAŠKA","KOPER","Wooden packaging",333.803
2021,"OBALNOKRAŠKA","PIRAN","Paper/Cardboard Packaging",6.044
2021,"OBALNOKRAŠKA","SEŽANA","Paper/Cardboard Packaging",11.316
2021,"OSREDNJESLOVENSKA","BREZOVICA","Wood, not specified in 20 01 37",99.658
2021,"OSREDNJESLOVENSKA","DOL PRI LJUBLJANI","Paper/Cardboard Packaging",4.432
2021,"OSREDNJESLOVENSKA","DOMŽALE","Paper/Cardboard Packaging",0.686
2021,"OSREDNJESLOVENSKA","GROSUPLJE","Paper/Cardboard Packaging",25.558
2021,"OSREDNJESLOVENSKA","GROSUPLJE","Wooden packaging",17.12
2021,"OSREDNJESLOVENSKA","HORJUL","Paper/Cardboard Packaging",1.786
2021,"OSREDNJESLOVENSKA","IG","Wood, not specified in 20 01 37",122.52
2021,"OSREDNJESLOVENSKA","IVANČNA GORICA","Paper/Cardboard Packaging",0.55
2021,"OSREDNJESLOVENSKA","KAMNIK","Paper/Cardboard Packaging",7.889
2021,"OSREDNJESLOVENSKA","KAMNIK","Wooden packaging",0.12
2021,"OSREDNJESLOVENSKA","KOMENDA","Paper/Cardboard Packaging",0.452
2021,"OSREDNJESLOVENSKA","KOMENDA","Wood, not specified in 20 01 37",0.94
2021,"OSREDNJESLOVENSKA","KOMENDA","Wooden packaging",29.7
2021,"OSREDNJESLOVENSKA","LJUBLJANA","Paper/Cardboard Packaging",7888.872
2021,"OSREDNJESLOVENSKA","LJUBLJANA","Wood, not specified in 20 01 37",7778.996
2021,"OSREDNJESLOVENSKA","LJUBLJANA","Wooden packaging",1649.208
2021,"OSREDNJESLOVENSKA","LOGATEC","Paper/Cardboard Packaging",69.379
2021,"OSREDNJESLOVENSKA","LOGATEC","Wooden packaging",6.52
2021,"OSREDNJESLOVENSKA","LUKOVICA","Paper/Cardboard Packaging",5.398
2021,"OSREDNJESLOVENSKA","LUKOVICA","Wooden packaging",0.34
2021,"OSREDNJESLOVENSKA","MEDVODE","Paper/Cardboard Packaging",5.511
2021,"OSREDNJESLOVENSKA","MEDVODE","Wood, not specified in 20 01 37",292.811
2021,"OSREDNJESLOVENSKA","MENGEŠ","Paper/Cardboard Packaging",3.97
2021,"OSREDNJESLOVENSKA","TRZIN","Paper/Cardboard Packaging",14.24
2021,"OSREDNJESLOVENSKA","VELIKE LAŠČE","Wood, not specified in 20 01 37",63.165
2021,"OSREDNJESLOVENSKA","VODICE","Paper/Cardboard Packaging",2.397
2021,"OSREDNJESLOVENSKA","VODICE","Wood, not specified in 20 01 37",129.422
2021,"OSREDNJESLOVENSKA","VRHNIKA","Paper/Cardboard Packaging",88.582
2021,"OSREDNJESLOVENSKA","VRHNIKA","Wooden packaging",80.48
2021,"OSREDNJESLOVENSKA","ŠKOFLJICA","Wood, not specified in 20 01 37",151.805
2021,"PODRAVSKA","BENEDIKT","Paper/Cardboard Packaging",0.328
2021,"PODRAVSKA","DUPLEK","Paper/Cardboard Packaging",0.56
2021,"PODRAVSKA","HAJDINA","Paper/Cardboard Packaging",3.747
