"year","name_of_municipality","number_of_households","number_of_households_composting","percentage_of_households_composting"
2022,"AJDOVŠČINA",7379,1749,23.7
2022,"ANKARAN",1482,152,10.26
2022,"APAČE",1383,931,67.32
2022,"BELTINCI",3007,2273,75.59
2022,"BENEDIKT",942,745,79.09
2022,"BISTRICA OB SOTLI",531,515,96.99
2022,"BLED",3395,468,13.78
2022,"BLOKE",652,559,85.74
2022,"BOHINJ",2257,1586,70.27
2022,"BOROVNICA",1692,413,24.41
2022,"BOVEC",1532,40,2.61
2022,"BRASLOVČE",2146,4259,198.46
2022,"BRDA",2060,229,11.12
2022,"BREZOVICA",4471,1738,38.87
2022,"BREŽICE",10202,5604,54.93
2022,"CANKOVA",654,645,98.62
2022,"CELJE",22893,9767,42.66
2022,"CERKLJE NA GORENJSKEM",2553,1452,56.87
2022,"CERKNICA",4504,3493,77.55
2022,"CERKNO",1710,990,57.89
2022,"CERKVENJAK",855,735,85.96
2022,"CIRKULANE",1049,696,66.35
2022,"ČRENŠOVCI",1407,1279,90.9
2022,"ČRNA NA KOROŠKEM",1352,599,44.3
2022,"ČRNOMELJ",5646,4904,86.86
2022,"DESTRNIK",1019,799,78.41
2022,"DIVAČA",1837,30,1.63
2022,"DOBJE",367,948,258.31
2022,"DOBREPOLJE",1366,1077,78.84
2022,"DOBRNA",845,1747,206.75
2022,"DOBROVA-POLHOV GRADEC",2655,2184,82.26
2022,"DOBROVNIK",534,508,95.13
2022,"DOL PRI LJUBLJANI",2279,1416,62.13
2022,"DOLENJSKE TOPLICE",1374,1074,78.17
2022,"DOMŽALE",13693,0,0
2022,"DORNAVA",1028,621,60.41
2022,"DRAVOGRAD",3534,1979,56
2022,"DUPLEK",2798,1417,50.64
2022,"GORENJA VAS-POLJANE",2320,2258,97.33
2022,"GORIŠNICA",1559,861,55.23
2022,"GORJE",1085,173,15.94
2022,"GORNJA RADGONA",3471,1995,57.48
2022,"GORNJI GRAD",929,586,63.08
2022,"GORNJI PETROVCI",829,805,97.1
2022,"GRAD",797,760,95.36
2022,"GROSUPLJE",7942,2600,32.74
2022,"HAJDINA",1650,750,45.45
2022,"HOČE-SLIVNICA",4994,4906,98.24
2022,"HODOŠ",110,107,97.27
2022,"HORJUL",936,639,68.27
2022,"HRASTNIK",4020,1780,44.28
2022,"HRPELJE-KOZINA",1989,56,2.82
2022,"IDRIJA",4637,1430,30.84
2022,"IG",2737,1913,69.89
2022,"ILIRSKA BISTRICA",5403,3095,57.28
2022,"IVANČNA GORICA",6425,4151,64.61
2022,"IZOLA",7398,308,4.16
2022,"JESENICE",9343,2360,25.26
2022,"JEZERSKO",255,226,88.63
2022,"JURŠINCI",896,694,77.46
2022,"KAMNIK",11348,2624,23.12
2022,"KANAL",2168,188,8.67
2022,"KIDRIČEVO",2559,1230,48.07
2022,"KOBARID",1705,50,2.93
2022,"KOBILJE",211,209,99.05
2022,"KOČEVJE",6487,3220,49.64
2022,"KOMEN",1423,65,4.57
2022,"KOMENDA",2238,742,33.15
2022,"KOPER",21065,2989,14.19
2022,"KOSTANJEVICA NA KRKI",925,955,103.24
2022,"KOSTEL",346,574,165.9
2022,"KOZJE",1269,1218,95.98
2022,"KRANJ",22752,4099,18.02
2022,"KRANJSKA GORA",3037,2169,71.42
2022,"KRIŽEVCI",1284,1022,79.6
2022,"KRŠKO",10226,6810,66.59
2022,"KUNGOTA",2034,1190,58.51
2022,"KUZMA",594,554,93.27
2022,"LAŠKO",5528,667,12.07
2022,"LENART",3118,2258,72.42
2022,"LENDAVA",4742,1150,24.25
2022,"LITIJA",5985,4057,67.79
2022,"LJUBLJANA",130575,12723,9.74
2022,"LJUBNO",1025,621,60.59
2022,"LJUTOMER",4491,2922,65.06
2022,"LOGATEC",5132,2108,41.08
2022,"LOG-DRAGOMER",1352,152,11.24
2022,"LOŠKA DOLINA",1531,1301,84.98
