"year","statistical_region","name_of_municipality","waste_code","type_of_waste","waste_category","waste_by_municipality"
2022,"GORENJSKA","BLED","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",163.32
2022,"GORENJSKA","BLED","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",364.153
2022,"GORENJSKA","BLED","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",367.93
2022,"GORENJSKA","BLED","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",202.54
2022,"GORENJSKA","BOHINJ","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",47
2022,"GORENJSKA","BOHINJ","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",150.858
2022,"GORENJSKA","BOHINJ","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",225.46
2022,"GORENJSKA","BOHINJ","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",212.75
2022,"GORENJSKA","CERKLJE NA GORENJSKEM","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",56.714
2022,"GORENJSKA","CERKLJE NA GORENJSKEM","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",23.814
2022,"GORENJSKA","CERKLJE NA GORENJSKEM","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",201.64
2022,"GORENJSKA","CERKLJE NA GORENJSKEM","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",78.9
2022,"GORENJSKA","GORENJA VAS-POLJANE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",34.631
2022,"GORENJSKA","GORENJA VAS-POLJANE","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",0.095
2022,"GORENJSKA","GORENJA VAS-POLJANE","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",101.665
2022,"GORENJSKA","GORENJA VAS-POLJANE","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",90.7
2022,"GORENJSKA","GORENJA VAS-POLJANE","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",156.28
2022,"GORENJSKA","GORJE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",16.503
2022,"GORENJSKA","GORJE","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",47.01
2022,"GORENJSKA","GORJE","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",122.59
2022,"GORENJSKA","GORJE","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",31.99
2022,"GORENJSKA","JESENICE","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",124.5
2022,"GORENJSKA","JESENICE","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",297.908
2022,"GORENJSKA","JESENICE","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",898.12
2022,"GORENJSKA","JESENICE","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",673.72
2022,"GORENJSKA","JEZERSKO","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",9.04
2022,"GORENJSKA","JEZERSKO","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",4.36
2022,"GORENJSKA","JEZERSKO","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",23.06
2022,"GORENJSKA","JEZERSKO","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",18.402
2022,"GORENJSKA","KRANJ","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",561.287
2022,"GORENJSKA","KRANJ","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",16.36
2022,"GORENJSKA","KRANJ","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",554.139
2022,"GORENJSKA","KRANJ","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",1132.36
2022,"GORENJSKA","KRANJ","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",630.438
2022,"GORENJSKA","KRANJSKA GORA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",159.682
2022,"GORENJSKA","KRANJSKA GORA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",45.863
2022,"GORENJSKA","KRANJSKA GORA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",183.14
2022,"GORENJSKA","KRANJSKA GORA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",136.76
2022,"GORENJSKA","NAKLO","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",68.123
2022,"GORENJSKA","NAKLO","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",57.211
2022,"GORENJSKA","NAKLO","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",93.22
2022,"GORENJSKA","NAKLO","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",31.849
2022,"GORENJSKA","PREDDVOR","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",36.26
2022,"GORENJSKA","PREDDVOR","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",44.937
2022,"GORENJSKA","RADOVLJICA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",306.644
2022,"GORENJSKA","RADOVLJICA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",1.34
2022,"GORENJSKA","RADOVLJICA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",385.98
2022,"GORENJSKA","RADOVLJICA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",538.2
2022,"GORENJSKA","RADOVLJICA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",613.34
2022,"GORENJSKA","TRŽIČ","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",214.547
2022,"GORENJSKA","TRŽIČ","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",39.143
2022,"GORENJSKA","TRŽIČ","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",245.16
2022,"GORENJSKA","TRŽIČ","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",354.8
2022,"GORENJSKA","ŠENČUR","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",91.08
2022,"GORENJSKA","ŠENČUR","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",3.74
2022,"GORENJSKA","ŠENČUR","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",72.827
2022,"GORENJSKA","ŠENČUR","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",135.68
2022,"GORENJSKA","ŠENČUR","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",52.374
2022,"GORENJSKA","ŠKOFJA LOKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",313.546
2022,"GORENJSKA","ŠKOFJA LOKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",16.7
2022,"GORENJSKA","ŠKOFJA LOKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",2333.104
2022,"GORENJSKA","ŠKOFJA LOKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",135.86
2022,"GORENJSKA","ŠKOFJA LOKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",432.45
2022,"GORENJSKA","ŽELEZNIKI","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",47.335
2022,"GORENJSKA","ŽELEZNIKI","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",45.959
2022,"GORENJSKA","ŽELEZNIKI","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",100.86
2022,"GORENJSKA","ŽIRI","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",24.8
2022,"GORENJSKA","ŽIRI","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",196.455
2022,"GORENJSKA","ŽIRI","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",60.54
2022,"GORENJSKA","ŽIRI","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",57.72
