"Leto","Poročilo","waste_code","Naziv odpadka","Odloženi odpadki glede na občino izvora (kg)","Šifra občine 1","Naziv občine"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",129390,1,"AJDOVŠČINA"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",39599,2,"BELTINCI"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",22235,3,"BLED"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",212750,4,"BOHINJ"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",3499,7,"BRDA"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",627,8,"BREZOVICA"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",288379,9,"BREŽICE"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",14225,10,"TIŠINA"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",65,12,"CERKLJE NA GORENJSKEM"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",710770,13,"CERKNICA"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",14855,15,"ČRENŠOVCI"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",58862,17,"ČRNOMELJ"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",75,24,"DORNAVA"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",26885,29,"GORNJA RADGONA"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",5143,31,"GORNJI PETROVCI"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",3911,33,"ŠALOVCI"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",55,36,"IDRIJA"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",12930,38,"ILIRSKA BISTRICA"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",477,40,"IZOLA"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",765401,41,"JESENICE"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",56440,43,"KAMNIK"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",3074,44,"KANAL"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",2209,47,"KOBILJE"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",235290,48,"KOČEVJE"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",576350,50,"KOPER"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",202,52,"KRANJ"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",224880,53,"KRANJSKA GORA"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",4384,56,"KUZMA"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",100389,58,"LENART"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",27458,59,"LENDAVA"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",112480,60,"LITIJA"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",777749,61,"LJUBLJANA"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",70294,63,"LJUTOMER"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",4960,64,"LOGATEC"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",3247,70,"MARIBOR"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",40480,73,"METLIKA"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",2786,75,"MIREN-KOSTANJEVICA"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",22741,78,"MORAVSKE TOPLICE"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",91476,80,"MURSKA SOBOTA"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",1745043,84,"NOVA GORICA"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",517794,85,"NOVO MESTO"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",10936,86,"ODRANCI"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",42729,87,"ORMOŽ"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",301,88,"OSILNICA"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",6140,91,"PIVKA"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",680170,94,"POSTOJNA"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",320355,96,"PTUJ"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",22150,97,"PUCONCI"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",38897,100,"RADENCI"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",615160,102,"RADOVLJICA"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",7688,105,"ROGAŠOVCI"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",18650,109,"SEMIČ"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",166470,110,"SEVNICA"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",146478,111,"SEŽANA"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",22,113,"SLOVENSKA BISTRICA"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",12125,116,"SVETI JURIJ OB ŠČAVNICI"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",314308,118,"ŠENTILJ"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",16473,119,"ŠENTJERNEJ"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",5195,121,"ŠKOCJAN"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",32312,122,"ŠKOFJA LOKA"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",253360,128,"TOLMIN"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",102900,129,"TRBOVLJE"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",20844,130,"TREBNJE"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",10736,132,"TURNIŠČE"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",33852,137,"VITANJE"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",519,140,"VRHNIKA"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",218462,144,"ZREČE"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",680,147,"ŽIRI"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",26980,148,"BENEDIKT"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",79050,150,"BLOKE"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",7802,152,"CANKOVA"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",12928,153,"CERKVENJAK"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",5252,157,"DOLENJSKE TOPLICE"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",7798,158,"GRAD"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",68867,160,"HOČE-SLIVNICA"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",796,161,"HODOŠ"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",1637824,164,"KOMENDA"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",22488,166,"KRIŽEVCI"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",914,170,"MIRNA PEČ"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",7643,176,"RAZKRIŽJE"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",35117,181,"SVETA ANA"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",69400,183,"ŠEMPETER-VRTOJBA"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",3756,187,"VELIKA POLANA"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",7771,188,"VERŽEJ"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",242610,192,"ŽIROVNICA"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",6586,193,"ŽUŽEMBERK"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",37877,195,"APAČE"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",6154,199,"MOKRONOG-TREBELNO"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",1477,201,"RENČE-VOGRSKO"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",8565,202,"SREDIŠČE OB DRAVI"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",2015,203,"STRAŽA"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",26539,204,"SVETA TROJICA V SLOVENSKIH GORICAH"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",5698,205,"SVETI TOMAŽ"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",1555,206,"ŠMARJEŠKE TOPLICE"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",31990,207,"GORJE"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",23199,210,"SVETI JURIJ V SLOVENSKIH GORICAH"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",5100,211,"ŠENTRUPERT"
2022,"ODP-obdelava","20 03 07","Kosovni odpadki",5022,212,"MIRNA"
