"year","landfill_site","volume_filled_start_year_m3","area_filled_start_year_m2","volume_free_end_year_m3","area_free_end_year_m2","total_capacity_t","remaining_capacity_start_year_t","remaining_capacity_end_year_t"
2022,"Landfill 1",115508,1550,109393,1600,675798,173658,170451
2022,"Landfill 2",43202,0,24369,0,103600,43117,34117
2022,"Landfill 3",640613,19286,658308,15706,1355000,665387,647692
2022,"Landfill 4",35636,16972,167080,16972,188510,125122,118496
2022,"Landfill 5",174135,26800,174135,26800,456114,218173,218173
2022,"Landfill 6",10577,2920,9319,2920,25818,22997,20261
2022,"Landfill 7",48732,1090,10368,11608,118200,9484,9484
2022,"Landfill 8",1657751,126155,191408,0,2373902,265216,238289
2022,"Landfill 9",44419,13550,41503,13550,84000,22900,18327
2022,"Landfill 10a",1799,977,6219,977,5700,4508,3964
2022,"Landfill 10b",53067,9658,8630,9658,85185,12763,7336
2022,"Landfill 11",18800,780,5300,450,35000,9270,920
2022,"Landfill 12",67677,4300,47948,9000,213000,77517,77481
2022,"Landfill 13",2374154,67665,1169321,111456,3723000,1329616,1288807
2022,"Landfill 14",596269,33795,50991,11010,713957,68720,50736
2022,"Landfill 15",37300,8000,65000,4200,102600,64046,33060
2022,"Landfill 16",22994,5000,2866,2030,49000,20283,15293
