"year","input_waste_code","type_of_waste","waste_category","treatment_operation","reduction_or_increase_of_mass_during_treatment"
2022,"02 01 07","Forestry Waste (02 01 07)","Agricultural/Forestry Waste","R_03",5.58
2022,"15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","R_03",-36.898
2022,"15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","R_12, R_13",58.352
2022,"15 01 03","Wooden Packaging (15 01 03)","Packaging Waste","R_12, R_13",0.132
2022,"17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste","R_12",0
2022,"19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues","R_03",-1085.302
2022,"20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste","R_03",-594.572
2022,"20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste","R_12",76.48
2022,"20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste","R_12, R_13",111.303
2022,"20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste","R_03",-494.74
2022,"20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste","R_0302",18.67
2022,"20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste","R_12, R_13",880.146
2022,"20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste","R_0302",3.96
2022,"20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste","R_12",30.599
2022,"20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste","R_12, R_13",488.768
2022,"20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",NA,16.364
