"year","statistical_region","name_of_municipality","mixed_waste_mech_bio_treatment"
2022,"GORENJSKA","BLED",1116.41
2022,"GORENJSKA","BOHINJ",1031.59
2022,"GORENJSKA","CERKLJE NA GORENJSKEM",1130
2022,"GORENJSKA","GORENJA VAS-POLJANE",258.78
2022,"GORENJSKA","GORJE",149.42
2022,"GORENJSKA","JESENICE",3604.222
2022,"GORENJSKA","JEZERSKO",124.945
2022,"GORENJSKA","KRANJ",6098.86
2022,"GORENJSKA","KRANJSKA GORA",1162.374
2022,"GORENJSKA","NAKLO",445.115
2022,"GORENJSKA","PREDDVOR",312.362
2022,"GORENJSKA","RADOVLJICA",2424.44
2022,"GORENJSKA","TRŽIČ",1439.42
2022,"GORENJSKA","ŠENČUR",827.758
2022,"GORENJSKA","ŠKOFJA LOKA",2240.12
2022,"GORENJSKA","ŽELEZNIKI",432
2022,"GORENJSKA","ŽIRI",464.94
2022,"GORENJSKA","ŽIROVNICA",481.7
2022,"GORIŠKA","AJDOVŠČINA",2687.452
2022,"GORIŠKA","CERKNO",406.394
2022,"GORIŠKA","IDRIJA",1203.086
2022,"GORIŠKA","NOVA GORICA",9919.42
2022,"GORIŠKA","TOLMIN",2395.59
2022,"GORIŠKA","VIPAVA",780.228
2022,"GORIŠKA","ŠEMPETER-VRTOJBA",1363.3
2022,"JUGOVZHODNA SLOVENIJA","DOLENJSKE TOPLICE",561.037
2022,"JUGOVZHODNA SLOVENIJA","KOČEVJE",1614.1
2022,"JUGOVZHODNA SLOVENIJA","LOŠKI POTOK",136.12
2022,"JUGOVZHODNA SLOVENIJA","METLIKA",1582.603
2022,"JUGOVZHODNA SLOVENIJA","MIRNA",246.019
2022,"JUGOVZHODNA SLOVENIJA","MIRNA PEČ",415.527
2022,"JUGOVZHODNA SLOVENIJA","MOKRONOG-TREBELNO",301.477
2022,"JUGOVZHODNA SLOVENIJA","NOVO MESTO",7023.459
2022,"JUGOVZHODNA SLOVENIJA","RIBNICA",1026.48
2022,"JUGOVZHODNA SLOVENIJA","SEMIČ",618.04
2022,"JUGOVZHODNA SLOVENIJA","SODRAŽICA",177.88
2022,"JUGOVZHODNA SLOVENIJA","STRAŽA",627.041
2022,"JUGOVZHODNA SLOVENIJA","TREBNJE",1020.987
2022,"JUGOVZHODNA SLOVENIJA","ČRNOMELJ",2272.648
2022,"JUGOVZHODNA SLOVENIJA","ŠENTRUPERT",249.837
2022,"JUGOVZHODNA SLOVENIJA","ŠKOCJAN",501.033
2022,"JUGOVZHODNA SLOVENIJA","ŠMARJEŠKE TOPLICE",636.042
2022,"JUGOVZHODNA SLOVENIJA","ŽUŽEMBERK",763.55
2022,"KOROŠKA","DRAVOGRAD",990.16
2022,"KOROŠKA","MEŽICA",396.787
2022,"KOROŠKA","MISLINJA",540.999
2022,"KOROŠKA","MUTA",469.943
2022,"KOROŠKA","PODVELKA",316.938
2022,"KOROŠKA","PREVALJE",748.856
2022,"KOROŠKA","RADLJE OB DRAVI",939.885
2022,"KOROŠKA","RAVNE NA KOROŠKEM",1248.983
2022,"KOROŠKA","RIBNICA NA POHORJU",131.147
2022,"KOROŠKA","SLOVENJ GRADEC",2025.041
2022,"KOROŠKA","VUZENICA",327.867
2022,"KOROŠKA","ČRNA NA KOROŠKEM",356.074
2022,"OBALNOKRAŠKA","ANKARAN",264.688
2022,"OBALNOKRAŠKA","IZOLA",3582.3
2022,"OBALNOKRAŠKA","KOPER",13228.172
2022,"OBALNOKRAŠKA","PIRAN",4222.42
2022,"OBALNOKRAŠKA","SEŽANA",2729.56
2022,"OSREDNJESLOVENSKA","BOROVNICA",245.759
2022,"OSREDNJESLOVENSKA","BREZOVICA",1232.46
2022,"OSREDNJESLOVENSKA","DOBREPOLJE",350.843
2022,"OSREDNJESLOVENSKA","DOBROVA-POLHOV GRADEC",780.476
2022,"OSREDNJESLOVENSKA","DOL PRI LJUBLJANI",584.257
2022,"OSREDNJESLOVENSKA","DOMŽALE",4961.265
2022,"OSREDNJESLOVENSKA","GROSUPLJE",2104.002
2022,"OSREDNJESLOVENSKA","HORJUL",311.883
2022,"OSREDNJESLOVENSKA","IG",676.02
2022,"OSREDNJESLOVENSKA","IVANČNA GORICA",1429.814
2022,"OSREDNJESLOVENSKA","KAMNIK",3383.52
2022,"OSREDNJESLOVENSKA","KOMENDA",722.94
2022,"OSREDNJESLOVENSKA","LJUBLJANA",42162.666
2022,"OSREDNJESLOVENSKA","LOG-DRAGOMER",215.449
2022,"OSREDNJESLOVENSKA","LOGATEC",2348.11
2022,"OSREDNJESLOVENSKA","LUKOVICA",692.072
2022,"OSREDNJESLOVENSKA","MEDVODE",1905.705
2022,"OSREDNJESLOVENSKA","MENGEŠ",1105.36
2022,"OSREDNJESLOVENSKA","MORAVČE",618.818
2022,"OSREDNJESLOVENSKA","TRZIN",939.825
2022,"OSREDNJESLOVENSKA","VELIKE LAŠČE",501.865
2022,"OSREDNJESLOVENSKA","VODICE",448.23
2022,"OSREDNJESLOVENSKA","VRHNIKA",1156.512
2022,"OSREDNJESLOVENSKA","ŠKOFLJICA",899.128
2022,"OSREDNJESLOVENSKA","ŠMARTNO PRI LITIJI",388.04
2022,"PODRAVSKA","BENEDIKT",181.4
2022,"PODRAVSKA","CERKVENJAK",151.94
2022,"PODRAVSKA","CIRKULANE",184.232
2022,"PODRAVSKA","DESTRNIK",215.807
2022,"PODRAVSKA","DUPLEK",582.305
2022,"PODRAVSKA","GORIŠNICA",232.586
2022,"PODRAVSKA","HAJDINA",266.544
2022,"PODRAVSKA","HOČE-SLIVNICA",48.23
2022,"PODRAVSKA","JURŠINCI",155.907
2022,"PODRAVSKA","KIDRIČEVO",26.441
2022,"PODRAVSKA","KUNGOTA",13.09
2022,"PODRAVSKA","LENART",2357.47
2022,"PODRAVSKA","LOVRENC NA POHORJU",8.44
2022,"PODRAVSKA","MAKOLE",139.074
2022,"PODRAVSKA","MARIBOR",1086.9
2022,"PODRAVSKA","MARKOVCI",227.655
2022,"PODRAVSKA","MIKLAVŽ NA DRAVSKEM POLJU",15.77
2022,"PODRAVSKA","OPLOTNICA",316.43
2022,"PODRAVSKA","ORMOŽ",1280.48
2022,"PODRAVSKA","PESNICA",23.43
2022,"PODRAVSKA","PODLEHNIK",205.353
2022,"PODRAVSKA","POLJČANE",462.555
2022,"PODRAVSKA","PTUJ",2218.06
2022,"PODRAVSKA","RAČE-FRAM",706.745
2022,"PODRAVSKA","RUŠE",24.61
2022,"PODRAVSKA","SELNICA OB DRAVI",12.37
2022,"PODRAVSKA","SLOVENSKA BISTRICA",2735.516
2022,"PODRAVSKA","SREDIŠČE OB DRAVI",162.16
2022,"PODRAVSKA","STARŠE",12.76
2022,"PODRAVSKA","SVETA ANA",147.16
2022,"PODRAVSKA","SVETA TROJICA V SLOVENSKIH GORICAH",163.7
2022,"PODRAVSKA","SVETI ANDRAŽ V SLOV. GORICAH",116.157
2022,"PODRAVSKA","SVETI JURIJ V SLOVENSKIH GORICAH",129.53
2022,"PODRAVSKA","SVETI TOMAŽ",108.78
2022,"PODRAVSKA","TRNOVSKA VAS",110.889
2022,"PODRAVSKA","VIDEM",439.921
2022,"PODRAVSKA","ZAVRČ",91.216
2022,"PODRAVSKA","ŽETALE",82.067
2022,"POMURSKA","APAČE",285.8
2022,"POMURSKA","BELTINCI",1292.485
2022,"POMURSKA","CANKOVA",187.066
2022,"POMURSKA","DOBROVNIK",118.76
2022,"POMURSKA","GORNJA RADGONA",1230.82
2022,"POMURSKA","GORNJI PETROVCI",151.37
2022,"POMURSKA","GRAD",139.637
2022,"POMURSKA","HODOŠ",42.79
2022,"POMURSKA","KOBILJE",42.52
2022,"POMURSKA","KRIŽEVCI",424.87
2022,"POMURSKA","KUZMA",140.62
2022,"POMURSKA","LENDAVA",1580.08
2022,"POMURSKA","LJUTOMER",1405.55
2022,"POMURSKA","MORAVSKE TOPLICE",843.11
2022,"POMURSKA","MURSKA SOBOTA",4921.255
2022,"POMURSKA","ODRANCI",174.518
2022,"POMURSKA","PUCONCI",585.274
2022,"POMURSKA","RADENCI",459.85
2022,"POMURSKA","RAZKRIŽJE",112.42
2022,"POMURSKA","ROGAŠOVCI",234.74
2022,"POMURSKA","SVETI JURIJ OB ŠČAVNICI",184.54
2022,"POMURSKA","TIŠINA",545.254
2022,"POMURSKA","TURNIŠČE",277.252
2022,"POMURSKA","VELIKA POLANA",199.87
2022,"POMURSKA","VERŽEJ",203.46
