"year","statistical_region","waste_code","type_of_waste","name_of_municipality","waste_collected_public_service","waste_by_municipality"
2023,"GORENJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","BLED","no",0.34
2023,"GORENJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","BLED","yes",106.308
2023,"GORENJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","BOHINJ","yes",94.318
2023,"GORENJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","CERKLJE NA GORENJSKEM","no",24.68
2023,"GORENJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","CERKLJE NA GORENJSKEM","yes",193.475
2023,"GORENJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","GORENJA VAS-POLJANE","no",0.8
2023,"GORENJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","GORENJA VAS-POLJANE","yes",30.412
2023,"GORENJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","GORJE","yes",20.24
2023,"GORENJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","JESENICE","yes",129.06
2023,"GORENJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","JEZERSKO","yes",15.5
2023,"GORENJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","KRANJ","no",0.14
2023,"GORENJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","KRANJ","yes",609.251
2023,"GORENJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","KRANJSKA GORA","yes",153.675
2023,"GORENJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","NAKLO","yes",50.57
2023,"GORENJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","PREDDVOR","yes",39.254
2023,"GORENJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","RADOVLJICA","no",1.52
2023,"GORENJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","RADOVLJICA","yes",285.33
2023,"GORENJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","TRŽIČ","yes",198.307
2023,"GORENJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","ŠENČUR","no",3.62
2023,"GORENJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","ŠENČUR","yes",102.212
2023,"GORENJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","ŠKOFJA LOKA","yes",378.264
