"year","statistical_region","collection_centre","type_of_waste","waste_collected_by_centre"
2023,"GORENJSKA","DRAGA","Paper/Cardboard Packaging",378.264
2023,"GORENJSKA","DRAGA","Wood, not specified in 20 01 37",36.34
2023,"GORENJSKA","Gorenja vas","Paper/Cardboard Packaging",30.412
2023,"GORENJSKA","Gorenja vas","Wood, not specified in 20 01 37",184.11
2023,"GORENJSKA","JEZERSKO","Paper/Cardboard Packaging",15.5
2023,"GORENJSKA","JEZERSKO","Wood, not specified in 20 01 37",25.12
2023,"GORENJSKA","KRANJ","Paper/Cardboard Packaging",648.505
2023,"GORENJSKA","KRANJ","Wood, not specified in 20 01 37",1280.53
2023,"GORENJSKA","KRANJ","Wooden packaging",17.55
2023,"GORENJSKA","NAKLO","Paper/Cardboard Packaging",50.57
2023,"GORENJSKA","NAKLO","Wood, not specified in 20 01 37",90.08
2023,"GORENJSKA","Rečiška cesta 2, 4260 Bled","Paper/Cardboard Packaging",126.548
2023,"GORENJSKA","Rečiška cesta 2, 4260 Bled","Wood, not specified in 20 01 37",560.2
2023,"GORENJSKA","Režijski obrat Občine Bohinj, Bohinjska Bistrica","Paper/Cardboard Packaging",94.318
2023,"GORENJSKA","Režijski obrat Občine Bohinj, Bohinjska Bistrica","Wood, not specified in 20 01 37",197.93
2023,"GORENJSKA","STUDENO","Paper/Cardboard Packaging",49.182
2023,"GORENJSKA","TRŽIČ","Paper/Cardboard Packaging",198.307
2023,"GORENJSKA","TRŽIČ","Wood, not specified in 20 01 37",281.06
2023,"GORENJSKA","Tabre","Paper/Cardboard Packaging",153.675
2023,"GORENJSKA","Tabre","Wood, not specified in 20 01 37",148.46
2023,"GORENJSKA","ZBIRNI CENTER JESENICE, ŽIROVNICA","Paper/Cardboard Packaging",161.322
2023,"GORENJSKA","ZBIRNI CENTER JESENICE, ŽIROVNICA","Wood, not specified in 20 01 37",1186
2023,"GORENJSKA","ZC DRAGA","Wooden packaging",63.12
2023,"GORENJSKA","ZC Žiri","Paper/Cardboard Packaging",13.195
2023,"GORENJSKA","ZC Žiri","Wood, not specified in 20 01 37",136.12
2023,"GORENJSKA","Zbirni center Radovljica; SAVSKA CESTA 28, 4240 RADOVLJICA","Paper/Cardboard Packaging",285.33
2023,"GORENJSKA","Zbirni center Radovljica; SAVSKA CESTA 28, 4240 RADOVLJICA","Wood, not specified in 20 01 37",670.57
2023,"GORENJSKA","Zbirni centri","Paper/Cardboard Packaging",39.3
2023,"GORENJSKA","Zbirni centri","Wood",1274.21
2023,"GORENJSKA","ŠENČUR","Paper/Cardboard Packaging",102.212
2023,"GORENJSKA","ŠENČUR","Wood, not specified in 20 01 37",185.2
2023,"GORENJSKA","ŠENČUR","Wooden packaging",1.9
2023,"GORIŠKA","CERO Ajdovščina; DOLGA POLJANA 1I, 5271 VIPAVA","Paper/Cardboard Packaging",271.52
2023,"GORIŠKA","CERO Ajdovščina; DOLGA POLJANA 1I, 5271 VIPAVA","Wood, not specified in 20 01 37",744.61
2023,"GORIŠKA","CERO Ajdovščina; DOLGA POLJANA 1I, 5271 VIPAVA","Wooden packaging",24.98
2023,"GORIŠKA","Ljubevč","Paper/Cardboard Packaging",188.308
2023,"GORIŠKA","Ljubevč","Wood, not specified in 20 01 37",368.29
2023,"GORIŠKA","ZBIRNI CENTER VOLČE","Paper/Cardboard Packaging",190.051
2023,"GORIŠKA","ZBIRNI CENTER VOLČE","Wood, not specified in 20 01 37",523.45
2023,"GORIŠKA","ZC CERO Nova Gorica; ULICA PARTIZANSKE TEHNIKE 6, 5000 NOVA GORICA","Paper/Cardboard Packaging",1360.061
2023,"GORIŠKA","ZC CERO Nova Gorica; ULICA PARTIZANSKE TEHNIKE 6, 5000 NOVA GORICA","Wood, not specified in 20 01 37",1668.2
2023,"GORIŠKA","ZC CERO Nova Gorica; ULICA PARTIZANSKE TEHNIKE 6, 5000 NOVA GORICA","Wooden packaging",152.213
2023,"GORIŠKA","ZC Vrtojba","Paper/Cardboard Packaging",90.655
2023,"GORIŠKA","ZC Vrtojba","Wood, not specified in 20 01 37",179.55
2023,"GORIŠKA","Zbirni centri","Sawdust/Chips/Wood, not specified in 03 01 04",30.83
2023,"GORIŠKA","Zbirni centri","Wood",116.895
2023,"GORIŠKA","Zbirni centri","Wood, not specified in 20 01 37",9.25
2023,"GORIŠKA","Zbirni centri","Wooden packaging",9.1
2023,"JUGOVZHODNA SLOVENIJA","32372, PCRO Vranoviči","Paper/Cardboard Packaging",157.68
2023,"JUGOVZHODNA SLOVENIJA","32372, PCRO Vranoviči","Wood, not specified in 20 01 37",309.5
2023,"JUGOVZHODNA SLOVENIJA","Goriča vas","Paper/Cardboard Packaging",144.428
2023,"JUGOVZHODNA SLOVENIJA","Goriča vas","Wood, not specified in 20 01 37",315.29
2023,"JUGOVZHODNA SLOVENIJA","Mozelj","Paper/Cardboard Packaging",238.27
2023,"JUGOVZHODNA SLOVENIJA","Mozelj","Wood, not specified in 20 01 37",395.24
2023,"JUGOVZHODNA SLOVENIJA","Novo mesto","Paper/Cardboard Packaging",865.813
