"Leto","Poročilo","Šifra občine 1","Naziv občine","V mehansko-biološko obdelavo prevzeti mešani komunalni odpadki (kg)"
2023,"ODP-obdelava",1,"AJDOVŠČINA",2717181
2023,"ODP-obdelava",2,"BELTINCI",1579050
2023,"ODP-obdelava",3,"BLED",1167600
2023,"ODP-obdelava",4,"BOHINJ",1170950
2023,"ODP-obdelava",5,"BOROVNICA",260790
2023,"ODP-obdelava",8,"BREZOVICA",1270760
2023,"ODP-obdelava",9,"BREŽICE",3240380
2023,"ODP-obdelava",10,"TIŠINA",526260
2023,"ODP-obdelava",11,"CELJE",8896253
2023,"ODP-obdelava",12,"CERKLJE NA GORENJSKEM",1192880
2023,"ODP-obdelava",13,"CERKNICA",1491340
2023,"ODP-obdelava",14,"CERKNO",396087
2023,"ODP-obdelava",15,"ČRENŠOVCI",317260
2023,"ODP-obdelava",16,"ČRNA NA KOROŠKEM",372322
2023,"ODP-obdelava",17,"ČRNOMELJ",2219964
2023,"ODP-obdelava",18,"DESTRNIK",210300
2023,"ODP-obdelava",20,"DOBREPOLJE",343942
2023,"ODP-obdelava",21,"DOBROVA-POLHOV GRADEC",828251
2023,"ODP-obdelava",22,"DOL PRI LJUBLJANI",553403
2023,"ODP-obdelava",23,"DOMŽALE",5020071
2023,"ODP-obdelava",25,"DRAVOGRAD",1026440
2023,"ODP-obdelava",26,"DUPLEK",604900
2023,"ODP-obdelava",27,"GORENJA VAS-POLJANE",281960
2023,"ODP-obdelava",28,"GORIŠNICA",419576
2023,"ODP-obdelava",29,"GORNJA RADGONA",1252154
2023,"ODP-obdelava",30,"GORNJI GRAD",253770
2023,"ODP-obdelava",31,"GORNJI PETROVCI",164940
2023,"ODP-obdelava",32,"GROSUPLJE",2209324
2023,"ODP-obdelava",33,"ŠALOVCI",102110
2023,"ODP-obdelava",34,"HRASTNIK",6457163
2023,"ODP-obdelava",36,"IDRIJA",1172573
2023,"ODP-obdelava",37,"IG",677460
2023,"ODP-obdelava",38,"ILIRSKA BISTRICA",1750710
2023,"ODP-obdelava",39,"IVANČNA GORICA",1461374
2023,"ODP-obdelava",40,"IZOLA",3597100
2023,"ODP-obdelava",41,"JESENICE",4076790
2023,"ODP-obdelava",42,"JURŠINCI",279816
2023,"ODP-obdelava",43,"KAMNIK",6353390
2023,"ODP-obdelava",45,"KIDRIČEVO",718260
2023,"ODP-obdelava",47,"KOBILJE",41300
2023,"ODP-obdelava",48,"KOČEVJE",1732000
2023,"ODP-obdelava",50,"KOPER",13400380
2023,"ODP-obdelava",51,"KOZJE",246040
2023,"ODP-obdelava",52,"KRANJ",6481907
2023,"ODP-obdelava",53,"KRANJSKA GORA",1383052
2023,"ODP-obdelava",54,"KRŠKO",3365540
2023,"ODP-obdelava",55,"KUNGOTA",591917
2023,"ODP-obdelava",56,"KUZMA",138800
2023,"ODP-obdelava",57,"LAŠKO",2069320
2023,"ODP-obdelava",58,"LENART",1079322
2023,"ODP-obdelava",59,"LENDAVA",1587730
2023,"ODP-obdelava",60,"LITIJA",629475
2023,"ODP-obdelava",61,"LJUBLJANA",42361675
2023,"ODP-obdelava",62,"LJUBNO",201350
2023,"ODP-obdelava",63,"LJUTOMER",1422690
2023,"ODP-obdelava",64,"LOGATEC",2366310
2023,"ODP-obdelava",65,"LOŠKA DOLINA",497110
2023,"ODP-obdelava",66,"LOŠKI POTOK",151750
2023,"ODP-obdelava",67,"LUČE",120456
2023,"ODP-obdelava",68,"LUKOVICA",708877
2023,"ODP-obdelava",69,"MAJŠPERK",303566
2023,"ODP-obdelava",70,"MARIBOR",22964545
2023,"ODP-obdelava",71,"MEDVODE",2014830
2023,"ODP-obdelava",72,"MENGEŠ",1109052
2023,"ODP-obdelava",73,"METLIKA",1545916
2023,"ODP-obdelava",74,"MEŽICA",414893
2023,"ODP-obdelava",76,"MISLINJA",549164
2023,"ODP-obdelava",77,"MORAVČE",619994
2023,"ODP-obdelava",78,"MORAVSKE TOPLICE",891170
2023,"ODP-obdelava",79,"MOZIRJE",714896
2023,"ODP-obdelava",80,"MURSKA SOBOTA",4879330
2023,"ODP-obdelava",81,"MUTA",484585
2023,"ODP-obdelava",82,"NAKLO",499890
2023,"ODP-obdelava",83,"NAZARJE",249128
2023,"ODP-obdelava",84,"NOVA GORICA",10257380
2023,"ODP-obdelava",85,"NOVO MESTO",6860642
2023,"ODP-obdelava",86,"ODRANCI",178083
2023,"ODP-obdelava",87,"ORMOŽ",1159280
2023,"ODP-obdelava",89,"PESNICA",1146004
2023,"ODP-obdelava",90,"PIRAN",4230220
2023,"ODP-obdelava",91,"PIVKA",1277820
2023,"ODP-obdelava",92,"PODČETRTEK",346910
2023,"ODP-obdelava",93,"PODVELKA",332885
2023,"ODP-obdelava",94,"POSTOJNA",2142300
2023,"ODP-obdelava",95,"PREDDVOR",308266
2023,"ODP-obdelava",96,"PTUJ",3128075
2023,"ODP-obdelava",97,"PUCONCI",572696
2023,"ODP-obdelava",98,"RAČE-FRAM",719255
2023,"ODP-obdelava",99,"RADEČE",180703
2023,"ODP-obdelava",100,"RADENCI",558368
2023,"ODP-obdelava",101,"RADLJE OB DRAVI",880430
2023,"ODP-obdelava",102,"RADOVLJICA",2854410
2023,"ODP-obdelava",103,"RAVNE NA KOROŠKEM",1305977
2023,"ODP-obdelava",104,"RIBNICA",1015260
2023,"ODP-obdelava",105,"ROGAŠOVCI",239380
2023,"ODP-obdelava",106,"ROGAŠKA SLATINA",1056562
2023,"ODP-obdelava",107,"ROGATEC",214396
2023,"ODP-obdelava",108,"RUŠE",1097718
2023,"ODP-obdelava",109,"SEMIČ",603713
2023,"ODP-obdelava",110,"SEVNICA",2721720
2023,"ODP-obdelava",111,"SEŽANA",2844560
2023,"ODP-obdelava",112,"SLOVENJ GRADEC",2025556
2023,"ODP-obdelava",113,"SLOVENSKA BISTRICA",2902726
2023,"ODP-obdelava",114,"SLOVENSKE KONJICE",1172400
2023,"ODP-obdelava",115,"STARŠE",546308
2023,"ODP-obdelava",116,"SVETI JURIJ OB ŠČAVNICI",233500
2023,"ODP-obdelava",117,"ŠENČUR",874807
2023,"ODP-obdelava",118,"ŠENTILJ",281156
2023,"ODP-obdelava",120,"ŠENTJUR",2304221
2023,"ODP-obdelava",121,"ŠKOCJAN",489418
2023,"ODP-obdelava",122,"ŠKOFJA LOKA",2319910
2023,"ODP-obdelava",123,"ŠKOFLJICA",918960
2023,"ODP-obdelava",124,"ŠMARJE PRI JELŠAH",976525
2023,"ODP-obdelava",125,"ŠMARTNO OB PAKI",331714
2023,"ODP-obdelava",126,"ŠOŠTANJ",931968
2023,"ODP-obdelava",127,"ŠTORE",1065269
2023,"ODP-obdelava",128,"TOLMIN",2578990
2023,"ODP-obdelava",129,"TRBOVLJE",1484849
2023,"ODP-obdelava",130,"TREBNJE",1069175
2023,"ODP-obdelava",131,"TRŽIČ",1464560
2023,"ODP-obdelava",132,"TURNIŠČE",276337
2023,"ODP-obdelava",133,"VELENJE",4414540
2023,"ODP-obdelava",134,"VELIKE LAŠČE",490498
2023,"ODP-obdelava",135,"VIDEM",462062
2023,"ODP-obdelava",136,"VIPAVA",788859
2023,"ODP-obdelava",137,"VITANJE",170900
2023,"ODP-obdelava",138,"VODICE",424705
2023,"ODP-obdelava",139,"VOJNIK",1135730
2023,"ODP-obdelava",140,"VRHNIKA",1227248
2023,"ODP-obdelava",141,"VUZENICA",377754
2023,"ODP-obdelava",142,"ZAGORJE OB SAVI",853010
2023,"ODP-obdelava",143,"ZAVRČ",90000
2023,"ODP-obdelava",144,"ZREČE",455440
2023,"ODP-obdelava",146,"ŽELEZNIKI",417850
2023,"ODP-obdelava",147,"ŽIRI",489760
2023,"ODP-obdelava",148,"BENEDIKT",204415
2023,"ODP-obdelava",149,"BISTRICA OB SOTLI",96187
2023,"ODP-obdelava",150,"BLOKE",123290
2023,"ODP-obdelava",151,"BRASLOVČE",597881
2023,"ODP-obdelava",152,"CANKOVA",167910
2023,"ODP-obdelava",153,"CERKVENJAK",160989
2023,"ODP-obdelava",154,"DOBJE",94272
2023,"ODP-obdelava",155,"DOBRNA",352585
2023,"ODP-obdelava",156,"DOBROVNIK",122220
2023,"ODP-obdelava",157,"DOLENJSKE TOPLICE",548031
2023,"ODP-obdelava",158,"GRAD",132424
2023,"ODP-obdelava",159,"HAJDINA",436335
2023,"ODP-obdelava",160,"HOČE-SLIVNICA",2050295
2023,"ODP-obdelava",161,"HODOŠ",42970
2023,"ODP-obdelava",162,"HORJUL",281188
2023,"ODP-obdelava",163,"JEZERSKO",166630
2023,"ODP-obdelava",164,"KOMENDA",1533840
2023,"ODP-obdelava",166,"KRIŽEVCI",455070
2023,"ODP-obdelava",167,"LOVRENC NA POHORJU",349735
2023,"ODP-obdelava",168,"MARKOVCI",409214
2023,"ODP-obdelava",169,"MIKLAVŽ NA DRAVSKEM POLJU",735481
2023,"ODP-obdelava",170,"MIRNA PEČ",405895
2023,"ODP-obdelava",171,"OPLOTNICA",245391
2023,"ODP-obdelava",172,"PODLEHNIK",184878
2023,"ODP-obdelava",173,"POLZELA",877633
2023,"ODP-obdelava",174,"PREBOLD",627262
2023,"ODP-obdelava",175,"PREVALJE",783028
2023,"ODP-obdelava",176,"RAZKRIŽJE",111730
2023,"ODP-obdelava",177,"RIBNICA NA POHORJU",162526
2023,"ODP-obdelava",178,"SELNICA OB DRAVI",569814
2023,"ODP-obdelava",179,"SODRAŽICA",187600
2023,"ODP-obdelava",180,"SOLČAVA",56594
2023,"ODP-obdelava",181,"SVETA ANA",168688
2023,"ODP-obdelava",182,"SVETI ANDRAŽ V SLOV. GORICAH",107360
2023,"ODP-obdelava",183,"ŠEMPETER-VRTOJBA",1505440
2023,"ODP-obdelava",184,"TABOR",165149
2023,"ODP-obdelava",185,"TRNOVSKA VAS",157844
2023,"ODP-obdelava",186,"TRZIN",931206
2023,"ODP-obdelava",187,"VELIKA POLANA",177360
2023,"ODP-obdelava",188,"VERŽEJ",216390
2023,"ODP-obdelava",189,"VRANSKO",360753
2023,"ODP-obdelava",190,"ŽALEC",3582061
2023,"ODP-obdelava",191,"ŽETALE",83240
2023,"ODP-obdelava",192,"ŽIROVNICA",603190
