"Leto","Poročilo","Odlagališče","Zapolnjen volumen na odlagalnem polju na začetku leta m3","Zapolnjena površina na odlagalnem polju na začetku leta m2","Volumen proste kapacitete odlagalnega polja na koncu leta m3","Površina proste kapacitete odlagalnega polja na koncu leta m2","Celotna zmogljivost odlaganja t","Preostala zmogljivost na dan 1.1. t","Preostala zmogljivost na dan 31.12. t"
2023,"ODP-obdelava","VRHE",109393,1550,106933,1600,679680,170451,166569
2023,"ODP-obdelava","UNIČNO - novo",24369,0,33720,0,103600,34117,48428
2023,"ODP-obdelava","LESKOVEC - novo",658308,19286,621199,15706,1355000,647692,617597
2023,"ODP-obdelava","PUCONCI - novo",44756,16972,158522,16972,188510,118496,112180
2023,"ODP-obdelava","CERO GAJKE",174135,26800,174135,26800,456114,218173,216760
2023,"ODP-obdelava","NOMO MEŽICA",9319,440,8055,2480,25818,20261,17511
2023,"ODP-obdelava","DESKLE",48732,1090,0,0,118200,9484,15
2023,"ODP-obdelava","BARJE (polji IV in V)",1715341,126155,163183,0,2374937,235960,203369
2023,"ODP-obdelava","PRAGERSKO",41503,13550,38661,13550,84000,18327,14234
2023,"ODP-obdelava","ŠPAJA DOLINA",0,0,196049,25413,336000,336000,335730
2023,"ODP-obdelava","GLOBOKO",78585,10635,6413,10635,90885,14321,6221
2023,"ODP-obdelava","SUHI MOST",18800,780,5300,450,35000,920,920
2023,"ODP-obdelava","NOVAKI",67677,4300,47940,9000,213000,77481,77450
2023,"ODP-obdelava","RCERO CELJE (Bukovžlak)",2433557,67665,1079234,111456,3723000,1288807,1247166
2023,"ODP-obdelava","MALA MEŽAKLA",614709,33795,39939,11010,710812,93936,74450
2023,"ODP-obdelava","ZMES",43000,8000,59110,3800,113700,68593,61918
2023,"ODP-obdelava","HALDA TDR",22994,5000,3200,2030,49000,15293,10299
2023,"ODP-obdelava","TUNCOVEC - novo",0,0,15101,2096,29808,29808,19647
