"year","statistical_region","treatment_inlet_waste_code","type_of_waste_inlet","waste_category","treatment_outlet_waste_code","type_of_waste_outlet","waste_category_1","substance_or_object","quantity_stored_start_year"
2023,"GORENJSKA","03 01 01","Bark and Cork Waste (03 01 01)","Wood/Paper Production Waste","undefined","undefined","Other Waste","99 - other",0
2023,"GORENJSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues","undefined",8.781
2023,"GORENJSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste","undefined","undefined","Other Waste","7 - wood",0
2023,"GORENJSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste","undefined","undefined","Other Waste","99 - other",0
2023,"GORENJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","undefined",4.565
2023,"GORENJSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste","undefined","undefined","Other Waste","7 - wood",0
2023,"GORENJSKA","16 06 01*","Lead-Acid Batteries (16 06 01*)","Miscellaneous Waste","undefined","undefined","Other Waste","13 – baterije in akumulatorji",0
2023,"GORENJSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste","undefined","undefined","Other Waste","7 - wood",0
2023,"GORENJSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues","undefined",13.185
2023,"GORENJSKA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues","undefined",2.3
2023,"GORENJSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste","undefined",40.108
2023,"GORENJSKA","20 01 10","Clothing (20 01 10)","Municipal Waste","undefined","undefined","Other Waste","11 - textiles and leather",2.143
2023,"GORENJSKA","20 01 11","Textiles (20 01 11)","Municipal Waste","undefined","undefined","Other Waste","11 - textiles and leather",0.114
2023,"GORENJSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues","undefined",2939.66
2023,"GORENJSKA","20 02 03","Non-biodegradable Garden and Park Waste (20 02 03)","Municipal Waste","undefined","undefined","Other Waste","99 - other",45
2023,"GORENJSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste","undefined","undefined","Other Waste","7 - wood",23.423
2023,"GORIŠKA","09 01 07","Silver-Containing Photographic Films and Paper (09 01 07)","Photographic Industry Waste","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues","undefined",3.378
2023,"GORIŠKA","12 01 02","Iron Dust and Particles (12 01 02)","Metal/Plastic Processing Waste","undefined","undefined","Other Waste","3 - metals: iron and steel",553.78
2023,"GORIŠKA","12 01 04","Non-Ferrous Metal Dust and Particles (12 01 04)","Metal/Plastic Processing Waste","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues","undefined",1.528
