"year","statistical_region","treatment_inlet_delivered_waste_code","input_waste_name","treatment_operation","treatment_outlet_delivered_waste_code","output_waste_name","further_treatment_envisaged","waste_sent_to_self_storage_end_year","waste_sent_to_collector_SI","waste_sent_to_treatment_operator","waste_sent_to_EU_member_states","waste_sent_to_non_EU_countries","waste_sent_to_no_further_management"
2023,"GORENJSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","R_01","10 01 01","Ash, slag and boiler dust (excluding boiler dust listed under 10 01 04) (10 01 01)","R_05",0,0,525.642,0,0,0
2023,"GORENJSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","R_03","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","R_12, R_13",0,0,0,209.921,0,0
2023,"GORENJSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","R_12, R_13","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","R_12, R_13",0,0,133.82,0,0,0
2023,"GORENJSKA","03 03 99","Other Unspecified Paper Waste (03 03 99)","R_12, R_13","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","R_03",0,0,109.706,0,0,0
2023,"GORENJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","R_12, R_13","15 01 01","Paper and Cardboard Packaging (15 01 01)","R_03",0,0,0,316.24,0,0
2023,"GORENJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","R_12, R_13","15 01 01","Paper and Cardboard Packaging (15 01 01)",NA,70.3,0,0,0,0,0
2023,"GORENJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","R_12, R_13","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","R_03",0,0,20.25,629.1,0,0
2023,"GORENJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","R_12, R_13","19 12 12","Other Mechanically Treated Waste (19 12 12)","D_01",0,0,2463.271,0,0,0
2023,"GORENJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","R_12, R_13","19 12 12","Other Mechanically Treated Waste (19 12 12)","R_12, R_13",0,0,1.82,0,0,0
2023,"GORENJSKA","15 01 03","Wooden Packaging (15 01 03)","R_01","10 01 01","Ash, slag and boiler dust (excluding boiler dust listed under 10 01 04) (10 01 01)","R_05",0,0,34,0,0,0
2023,"GORENJSKA","15 01 03","Wooden Packaging (15 01 03)","R_03","15 01 03","Wooden Packaging (15 01 03)",NA,3637.282,0,0,0,0,0
2023,"GORENJSKA","15 01 03","Wooden Packaging (15 01 03)","R_12, R_13","15 01 03","Wooden Packaging (15 01 03)","R_03",0,0,477.7,0,0,0
2023,"GORENJSKA","15 01 03","Wooden Packaging (15 01 03)","R_12, R_13","15 01 03","Wooden Packaging (15 01 03)","R_12, R_13",0,0,661.42,0,0,0
2023,"GORENJSKA","15 01 03","Wooden Packaging (15 01 03)","R_12, R_13","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","R_12, R_13",0,0,642.732,0,0,0
2023,"GORENJSKA","15 01 05","Composite Packaging (15 01 05)","R_12, R_13","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","R_03",0,0,24.905,0,0,0
2023,"GORENJSKA","17 02 01","Construction Wood Waste (17 02 01)","BO","17 02 01","Construction Wood Waste (17 02 01)",NA,142.1,0,0,0,0,0
2023,"GORENJSKA","17 02 01","Construction Wood Waste (17 02 01)","R_01","10 01 01","Ash, slag and boiler dust (excluding boiler dust listed under 10 01 04) (10 01 01)","R_05",0,0,1445.98,0,0,0
2023,"GORENJSKA","17 02 01","Construction Wood Waste (17 02 01)","R_03","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","R_12, R_13",0,0,0,35.51,0,0
2023,"GORENJSKA","17 02 01","Construction Wood Waste (17 02 01)","R_12","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","R_03",0,0,1.956,0,0,0
2023,"GORENJSKA","17 02 01","Construction Wood Waste (17 02 01)","R_12, R_13","17 02 01","Construction Wood Waste (17 02 01)","R_03",0,0,139.63,0,0,0
2023,"GORENJSKA","17 02 01","Construction Wood Waste (17 02 01)","R_12, R_13","19 12 12","Other Mechanically Treated Waste (19 12 12)","D_01",0,0,20.24,0,0,0
2023,"GORENJSKA","17 02 01","Construction Wood Waste (17 02 01)","R_12, R_13","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","R_12, R_13",0,0,20.228,0,0,0
2023,"GORENJSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","R_12, R_13","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","R_12, R_13",0,0,143.75,0,0,0
2023,"GORENJSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","R_12, R_13","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)",NA,227.485,0,0,0,0,0
2023,"GORENJSKA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","R_01","10 01 01","Ash, slag and boiler dust (excluding boiler dust listed under 10 01 04) (10 01 01)","R_05",0,0,303.18,0,0,0
2023,"GORENJSKA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","R_03","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","R_12, R_13",0,0,0,2939.66,0,0
2023,"GORENJSKA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","R_12, R_13","19 10 06","Other Fractions from Shredding (19 10 06)",NA,8.254,0,0,0,0,0
2023,"GORENJSKA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","R_12, R_13","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)",NA,33.757,0,0,0,0,0
2023,"GORENJSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","R_12, R_13","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","R_03",0,0,4.339,0,0,0
2023,"GORENJSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","R_12, R_13","19 12 12","Other Mechanically Treated Waste (19 12 12)","D_01",0,0,1545.559,0,0,0
2023,"GORENJSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","R_12, R_13","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","R_03",0,0,207.537,0,0,0
2023,"GORENJSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","R_12, R_13","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","R_12, R_13",0,0,19.14,0,0,0
2023,"GORENJSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","R_03","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","R_12, R_13",0,0,0,7699.5,0,0
2023,"GORENJSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","R_12, R_13","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","R_03",0,0,0,42.1,0,0
2023,"GORENJSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","R_12, R_13","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)",NA,0,33.846,0,0,0,0
2023,"GORENJSKA","20 01 40","Metals from Municipal Waste (20 01 40)","R_12, R_13","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)",NA,0,8.254,0,0,0,0
2023,"GORENJSKA","20 02 03","Non-biodegradable Garden and Park Waste (20 02 03)","R_12, R_13","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","R_12, R_13",0,0,6.24,0,0,0
2023,"GORENJSKA","20 03 07","Bulky Municipal Waste (20 03 07)","D_01","20 03 07","Bulky Municipal Waste (20 03 07)",NA,0,0,0,0,0,2304.148
2023,"GORENJSKA","20 03 07","Bulky Municipal Waste (20 03 07)","R_12","20 03 07","Bulky Municipal Waste (20 03 07)","R_12",0,0,247.08,0,0,0
2023,"GORENJSKA","20 03 07","Bulky Municipal Waste (20 03 07)","R_12","20 03 07","Bulky Municipal Waste (20 03 07)",NA,441.53,0,0,0,0,0
2023,"GORENJSKA","20 03 07","Bulky Municipal Waste (20 03 07)","R_12, R_13","19 10 01","Ferrous Metal Waste from Shredding (19 10 01)","R_04",0,0,0,2.555,0,0
2023,"GORENJSKA","20 03 07","Bulky Municipal Waste (20 03 07)","R_12, R_13","19 10 02","Non-Ferrous Metal Waste from Shredding (19 10 02)","R_04",0,0,26.14,0,0,0
2023,"GORENJSKA","20 03 07","Bulky Municipal Waste (20 03 07)","R_12, R_13","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)",NA,0,2.52,0,0,0,0
2023,"GORENJSKA","20 03 07","Bulky Municipal Waste (20 03 07)","R_12, R_13","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)",NA,0,88.06,0,0,0,0
2023,"GORENJSKA","20 03 07","Bulky Municipal Waste (20 03 07)","R_12, R_13","20 01 40","Metals from Municipal Waste (20 01 40)",NA,0,2.3,0,0,0,0
2023,"GORIŠKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","BO","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)",NA,5.06,0,0,0,0,0
2023,"GORIŠKA","09 01 07","Silver-Containing Photographic Films and Paper (09 01 07)","R_12, R_13","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)",NA,0.81,0,0,0,0,0
2023,"GORIŠKA","12 01 02","Iron Dust and Particles (12 01 02)","R_12","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","R_12, R_13",0,0,0.68,0,0,0
2023,"GORIŠKA","12 01 03","Non-Ferrous Metal Turnings (12 01 03)","R_12","15 01 03","Wooden Packaging (15 01 03)",NA,0,1.02,0,0,0,0
2023,"GORIŠKA","12 01 03","Non-Ferrous Metal Turnings (12 01 03)","R_12","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","R_12, R_13",0,0,1.08,0,0,0
2023,"GORIŠKA","12 01 04","Non-Ferrous Metal Dust and Particles (12 01 04)","R_12","15 01 03","Wooden Packaging (15 01 03)",NA,0,0.88,0,0,0,0
2023,"GORIŠKA","12 01 04","Non-Ferrous Metal Dust and Particles (12 01 04)","R_12","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","R_12, R_13",0,0,2.755,0,0,0
2023,"GORIŠKA","12 01 04","Non-Ferrous Metal Dust and Particles (12 01 04)","R_12, R_13","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)",NA,1.05,0,0,0,0,0
2023,"GORIŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","R_12","15 01 01","Paper and Cardboard Packaging (15 01 01)","R_03",0,0,223.1,0,0,0
2023,"GORIŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","R_12","15 01 01","Paper and Cardboard Packaging (15 01 01)","R_12, R_13",0,0,844.689,0,0,0
2023,"GORIŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","R_12, R_13","15 01 01","Paper and Cardboard Packaging (15 01 01)","R_03",0,0,0,2877.383,0,0
2023,"GORIŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","R_12, R_13","15 01 01","Paper and Cardboard Packaging (15 01 01)","R_12, R_13",0,0,338.527,0,0,0
2023,"GORIŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","R_12, R_13","15 01 01","Paper and Cardboard Packaging (15 01 01)",NA,15.966,0,0,0,0,0
2023,"GORIŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","R_12, R_13","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","R_12, R_13",0,0,0.117,0,0,0
2023,"GORIŠKA","15 01 03","Wooden Packaging (15 01 03)","R_12, R_13","15 01 03","Wooden Packaging (15 01 03)","R_03",0,0,716.74,0,0,0
2023,"GORIŠKA","15 01 03","Wooden Packaging (15 01 03)","R_12, R_13","15 01 03","Wooden Packaging (15 01 03)","R_12, R_13",0,0,3.56,0,0,0
2023,"GORIŠKA","15 01 03","Wooden Packaging (15 01 03)","R_12, R_13","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)",NA,2.975,0,0,0,0,0
2023,"GORIŠKA","15 01 03","Wooden Packaging (15 01 03)","R_12, R_13","19 12 12","Other Mechanically Treated Waste (19 12 12)","R_12, R_13",0,0,17.221,0,0,0
2023,"GORIŠKA","16 02 11*","Discarded Equipment Containing Chlorofluorocarbons (16 02 11*)","R_12","15 01 03","Wooden Packaging (15 01 03)",NA,0,6.23,0,0,0,0
2023,"GORIŠKA","16 02 16","Components Removed from Discarded Equipment (16 02 16)","R_12","15 01 03","Wooden Packaging (15 01 03)",NA,0,2.25,0,0,0,0
2023,"GORIŠKA","16 02 16","Components Removed from Discarded Equipment (16 02 16)","R_12","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","R_12, R_13",0,0,3.28,0,0,0
2023,"GORIŠKA","16 02 16","Components Removed from Discarded Equipment (16 02 16)","R_12, R_13","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","R_12",0,0,0.746,0,0,0
2023,"GORIŠKA","16 03 04","Non-Hazardous Inorganic Wastes (16 03 04)","R_12","15 01 03","Wooden Packaging (15 01 03)",NA,0,2.3,0,0,0,0
2023,"GORIŠKA","16 03 04","Non-Hazardous Inorganic Wastes (16 03 04)","R_12","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","R_12, R_13",0,0,8.798,0,0,0
2023,"GORIŠKA","16 03 04","Non-Hazardous Inorganic Wastes (16 03 04)","R_12, R_13","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)",NA,0.387,0,0,0,0,0
2023,"GORIŠKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","BO","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","R_12",0,0,5.363,0,0,0
2023,"GORIŠKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","R_12","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","R_12, R_13",0,0,9.762,0,0,0
2023,"GORIŠKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","R_12, R_13","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","R_12, R_13",0,0,0.49,0,0,0
2023,"GORIŠKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","R_12, R_13","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)",NA,7.734,0,0,0,0,0
2023,"GORIŠKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","R_12","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","R_03",0,0,608.128,0,0,0
2023,"GORIŠKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","R_12","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","R_12, R_13",0,0,878.161,0,0,0
2023,"GORIŠKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","R_12, R_13","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","R_03",0,0,118.46,0,0,0
2023,"GORIŠKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","R_12, R_13","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","R_12, R_13",0,0,661.768,0,0,0
2023,"GORIŠKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","R_12, R_13","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","R_03",0,0,43.13,20.315,0,0
2023,"GORIŠKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","R_12, R_13","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","R_12, R_13",0,0,1.169,0,0,0
