"year","statistical_region","treatment_inlet_waste_code","type_of_waste","quantity_treated","treatment_code","description_of_treatment"
2023,"GORENJSKA","03 01 01","Bark and Cork Waste",850,"R_03","processing into wood chips"
2023,"GORENJSKA","03 01 05","Sawdust/Chips/Wood, not specified in 03 01 04",525642,"R_01","use of biomass as fuel"
2023,"GORENJSKA","03 01 05","Sawdust/Chips/Wood, not specified in 03 01 04",257521,"R_03","processing into wood chips"
2023,"GORENJSKA","03 01 05","Sawdust/Chips/Wood, not specified in 03 01 04",133820,"R_12, R_13","pre-treatment"
2023,"GORENJSKA","15 01 01","Paper/Cardboard Packaging",4864692,"R_12, R_13","pre-treatment"
2023,"GORENJSKA","15 01 03","Wooden packaging",34000,"R_01","use of biomass as fuel"
2023,"GORENJSKA","15 01 03","Wooden packaging",3637282,"R_03","processing into wood chips"
2023,"GORENJSKA","15 01 03","Wooden packaging",1710847,"R_12, R_13","pre-treatment"
2023,"GORENJSKA","17 02 01","Wood",142100,"BO","no treatment"
2023,"GORENJSKA","17 02 01","Wood",1445980,"R_01","use of biomass as fuel"
2023,"GORENJSKA","17 02 01","Wood",35510,"R_03","processing into wood chips"
2023,"GORENJSKA","17 02 01","Wood",80308,"R_12, R_13","pre-treatment"
2023,"GORENJSKA","20 01 38","Wood, not specified in 20 01 37",7699500,"R_03","recycling"
2023,"GORENJSKA","20 01 38","Wood, not specified in 20 01 37",84126,"R_12, R_13","pre-treatment"
2023,"GORIŠKA","03 01 05","Sawdust/Chips/Wood, not specified in 03 01 04",5060,"BO","no treatment"
2023,"GORIŠKA","03 01 05","Sawdust/Chips/Wood, not specified in 03 01 04",1410,"R_03","aerobic treatment (composting plants)"
2023,"GORIŠKA","03 01 05","Sawdust/Chips/Wood, not specified in 03 01 04",77120,"R_12, R_13","pre-treatment"
2023,"GORIŠKA","15 01 01","Paper/Cardboard Packaging",12020,"R_0101","co-incineration - production of material products"
2023,"GORIŠKA","15 01 01","Paper/Cardboard Packaging",1067789,"R_12","pre-treatment"
2023,"GORIŠKA","15 01 01","Paper/Cardboard Packaging",1650085,"R_12, R_13","pre-treatment"
2023,"GORIŠKA","15 01 03","Wooden packaging",671596,"R_12, R_13","pre-treatment"
2023,"GORIŠKA","17 02 01","Wood",18130,"R_03","aerobic treatment (composting plants)"
2023,"GORIŠKA","17 02 01","Wood",24810,"R_12, R_13","pre-treatment"
2023,"GORIŠKA","20 01 38","Wood, not specified in 20 01 37",32672,"R_12, R_13","pre-treatment"
2023,"JUGOVZHODNA SLOVENIJA","03 01 05","Sawdust/Chips/Wood, not specified in 03 01 04",3446609,"R_12, R_13","pre-treatment"
2023,"JUGOVZHODNA SLOVENIJA","15 01 01","Paper/Cardboard Packaging",7230326,"R_12, R_13","pre-treatment"
2023,"JUGOVZHODNA SLOVENIJA","15 01 03","Wooden packaging",2360254,"R_12, R_13","pre-treatment"
2023,"JUGOVZHODNA SLOVENIJA","17 02 01","Wood",313538,"R_12, R_13","pre-treatment"
2023,"JUGOVZHODNA SLOVENIJA","20 01 38","Wood, not specified in 20 01 37",51480,"R_12, R_13","pre-treatment"
2023,"KOROŠKA","03 01 05","Sawdust/Chips/Wood, not specified in 03 01 04",439000,"R_01","use of biomass as fuel"
2023,"KOROŠKA","03 01 05","Sawdust/Chips/Wood, not specified in 03 01 04",4240,"R_12, R_13","pre-treatment"
2023,"KOROŠKA","15 01 01","Paper/Cardboard Packaging",1187785,"R_12, R_13","pre-treatment"
2023,"KOROŠKA","15 01 03","Wooden packaging",273240,"R_12, R_13","pre-treatment"
2023,"KOROŠKA","17 02 01","Wood",41210,"R_05","recycling"
2023,"KOROŠKA","17 02 01","Wood",7360,"R_12, R_13","pre-treatment"
2023,"KOROŠKA","20 01 38","Wood, not specified in 20 01 37",33940,"R_12, R_13","pre-treatment"
2023,"OBALNO-KRAŠKA","15 01 01","Paper/Cardboard Packaging",2822851,"R_12, R_13","pre-treatment"
2023,"OBALNO-KRAŠKA","15 01 03","Wooden packaging",675522,"R_12, R_13","pre-treatment"
2023,"OBALNO-KRAŠKA","17 02 01","Wood",8400,"BO","no treatment"
2023,"OBALNO-KRAŠKA","17 02 01","Wood",233060,"R_12, R_13","pre-treatment"
2023,"OBALNO-KRAŠKA","20 01 38","Wood, not specified in 20 01 37",228073,"R_12, R_13","pre-treatment"
