"year","name_of_municipality","number_of_households_in_municipality","number_of_households_composting","percentage_of_households_composting"
2024,"AJDOVŠČINA",7379,NA,NA
2024,"BELTINCI",3007,NA,NA
2024,"BLED",3395,NA,NA
2024,"BOHINJ",2257,NA,NA
2024,"BOROVNICA",1692,NA,NA
2024,"BOVEC",1532,NA,NA
2024,"BRDA",2060,NA,NA
2024,"BREZOVICA",4471,NA,NA
2024,"BREŽICE",10202,NA,NA
2024,"TIŠINA",1507,NA,NA
2024,"CELJE",22893,NA,NA
2024,"CERKLJE NA GORENJSKEM",2553,NA,NA
2024,"CERKNICA",4504,NA,NA
2024,"CERKNO",1710,NA,NA
2024,"ČRENŠOVCI",1407,NA,NA
2024,"ČRNA NA KOROŠKEM",1352,NA,NA
2024,"ČRNOMELJ",5646,NA,NA
2024,"DESTRNIK",1019,NA,NA
2024,"DIVAČA",1837,NA,NA
2024,"DOBREPOLJE",1366,NA,NA
2024,"DOBROVA-POLHOV GRADEC",2655,NA,NA
2024,"DOL PRI LJUBLJANI",2279,NA,NA
2024,"DORNAVA",1028,NA,NA
2024,"DRAVOGRAD",3534,NA,NA
2024,"DUPLEK",2798,NA,NA
2024,"GORENJA VAS-POLJANE",2320,NA,NA
2024,"GORIŠNICA",1559,NA,NA
2024,"GORNJA RADGONA",3471,NA,NA
2024,"GORNJI PETROVCI",829,NA,NA
2024,"GROSUPLJE",7942,NA,NA
2024,"ŠALOVCI",561,NA,NA
2024,"HRASTNIK",4020,NA,NA
2024,"HRPELJE-KOZINA",1989,NA,NA
2024,"IDRIJA",4637,NA,NA
2024,"IG",2737,NA,NA
2024,"ILIRSKA BISTRICA",5403,NA,NA
2024,"IVANČNA GORICA",6425,NA,NA
2024,"IZOLA",7398,NA,NA
2024,"JESENICE",9343,NA,NA
2024,"JURŠINCI",896,NA,NA
2024,"KAMNIK",11348,NA,NA
2024,"KANAL",2168,NA,NA
2024,"KIDRIČEVO",2559,NA,NA
2024,"KOBARID",1705,NA,NA
2024,"KOBILJE",211,NA,NA
2024,"KOČEVJE",6487,NA,NA
2024,"KOMEN",1423,NA,NA
2024,"KOPER",21065,NA,NA
2024,"KOZJE",1269,NA,NA
2024,"KRANJ",22752,NA,NA
2024,"KRANJSKA GORA",3037,NA,NA
2024,"KUNGOTA",2034,NA,NA
2024,"KUZMA",594,NA,NA
2024,"LAŠKO",5528,NA,NA
2024,"LENART",3118,NA,NA
2024,"LENDAVA",4742,NA,NA
2024,"LITIJA",5985,NA,NA
2024,"LJUBLJANA",130575,NA,NA
2024,"LJUTOMER",4491,NA,NA
2024,"LOGATEC",1352,NA,NA
2024,"LOŠKA DOLINA",1531,NA,NA
2024,"LOŠKI POTOK",703,NA,NA
2024,"MAJŠPERK",1729,NA,NA
2024,"MARIBOR",53605,NA,NA
2024,"MEDVODE",6293,NA,NA
2024,"MEŽICA",1632,NA,NA
2024,"MIREN-KOSTANJEVICA",1906,NA,NA
2024,"MISLINJA",1813,NA,NA
2024,"MORAVSKE TOPLICE",2377,NA,NA
2024,"MOZIRJE",1657,NA,NA
2024,"MURSKA SOBOTA",7980,NA,NA
2024,"MUTA",1419,NA,NA
2024,"NAKLO",1905,NA,NA
2024,"NOVA GORICA",13168,NA,NA
2024,"NOVO MESTO",14687,NA,NA
2024,"ODRANCI",504,NA,NA
2024,"ORMOŽ",4770,NA,NA
2024,"OSILNICA",186,NA,NA
2024,"PESNICA",3068,NA,NA
2024,"PIRAN",8422,NA,NA
2024,"PIVKA",2437,NA,NA
2024,"PODČETRTEK",1438,NA,NA
2024,"PODVELKA",1055,NA,NA
2024,"POSTOJNA",6683,NA,NA
2024,"PREDDVOR",1290,NA,NA
2024,"PTUJ",10582,NA,NA
2024,"PUCONCI",4476,NA,NA
2024,"RAČE-FRAM",3235,NA,NA
2024,"RADEČE",1767,NA,NA
2024,"RADENCI",2055,NA,NA
2024,"RADLJE OB DRAVI",2551,NA,NA
2024,"RADOVLJICA",7488,NA,NA
2024,"RAVNE NA KOROŠKEM",4993,NA,NA
2024,"RIBNICA",3533,NA,NA
2024,"ROGAŠOVCI",1143,NA,NA
2024,"ROGAŠKA SLATINA",4723,NA,NA
2024,"ROGATEC",1457,NA,NA
2024,"RUŠE",3223,NA,NA
2024,"SEMIČ",1530,NA,NA
