"year","statistical_region","waste_code","type_of_waste","waste_category","total_waste_given_away","waste_handed_to_collectors_RS","waste_delivered_to_operators_RS","waste_sent_to_EU","waste_sent_to_non_EU","waste_delivered_to_collectors_warehouse"
2024,"GORENJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",2636.242,0,2636.188,0,0,0.054
2024,"GORENJSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",73.04,0,57.44,0,0,15.6
2024,"GORENJSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",655.7,0,653.24,0,0,2.46
2024,"GORENJSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",2132.866,485.81,1615.772,0,0,31.284
2024,"GORENJSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",5147.91,0,5147.91,0,0,0
2024,"GORENJSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",4390.084,0,4390.084,0,0,0
2024,"GORIŠKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",32.425,0,26.94,0,0,5.485
2024,"GORIŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",2448.919,181.028,2131.471,0,0,136.42
2024,"GORIŠKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",260.48,0,237.332,0,0,23.148
2024,"GORIŠKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",309.964,0,60.58,0,0,249.384
2024,"GORIŠKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",2060.072,385.063,1666.009,0,0,9
2024,"GORIŠKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",3611.728,0,3299.028,0,0,312.7
2024,"GORIŠKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",2949.372,0,2903.555,0,0,45.817
2024,"JUGOVZHODNA SLOVENIJA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",2206.415,0,0,0,0,2206.415
2024,"JUGOVZHODNA SLOVENIJA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",2210.879,0,2168.086,0,0,42.793
2024,"JUGOVZHODNA SLOVENIJA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",37.322,0,6.04,0,0,31.282
2024,"JUGOVZHODNA SLOVENIJA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",38.02,0,38.02,0,0,0
