"year","statistical_region","waste_code","type_of_waste","waste_category","total_waste_collected","total_waste_collected_including_warehouse","waste_from_producers_no_record","waste_from_producers_with_record","waste_from_collectors_RS","waste_from_processors_RS","waste_collected_from_collectors_warehouse"
2024,"GORENJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",2632.163,2636.242,2621.663,10.5,0,0,4.079
2024,"GORENJSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",30.64,73.04,21.2,9.44,0,0,42.4
2024,"GORENJSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",653.24,655.7,653.24,0,0,0,2.46
2024,"GORENJSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",2091.277,2132.866,1897.717,107.48,86.08,0,41.589
2024,"GORENJSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",5147.91,5147.91,5107.63,40.28,0,0,0
2024,"GORENJSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",4390.084,4390.084,4320.224,69.86,0,0,0
2024,"GORIŠKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",30.79,32.425,0,30.79,0,0,1.635
2024,"GORIŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",2425.113,2448.919,1456.425,928.6,0,40.088,23.806
2024,"GORIŠKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",243.207,260.48,30.296,212.911,0,0,17.273
2024,"GORIŠKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",76.51,309.964,0,76.51,0,0,233.454
2024,"GORIŠKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",2043.346,2060.072,1976.561,66.785,0,0,16.726
2024,"GORIŠKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",3531.728,3611.728,3518.16,13.568,0,0,80
2024,"GORIŠKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",2944.902,2949.372,2944.802,0.1,0,0,4.47
2024,"JUGOVZHODNA SLOVENIJA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",206.809,2206.415,0,206.809,0,0,1999.606
2024,"JUGOVZHODNA SLOVENIJA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",2112.445,2144.188,2083.435,29.01,0,0,31.743
2024,"JUGOVZHODNA SLOVENIJA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",11.42,37.322,0,11.42,0,0,25.902
2024,"JUGOVZHODNA SLOVENIJA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",38.02,38.02,0,38.02,0,0,0
2024,"JUGOVZHODNA SLOVENIJA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues",541.46,1064.631,0,0,0,541.46,523.171
2024,"JUGOVZHODNA SLOVENIJA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",429.601,429.601,429.601,0,0,0,0
2024,"JUGOVZHODNA SLOVENIJA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",3341.94,3341.94,3334.54,7.4,0,0,0
2024,"JUGOVZHODNA SLOVENIJA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",4193.496,4193.496,4192.416,1.08,0,0,0
2024,"KOROŠKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",11.5,11.5,0,11.5,0,0,0
2024,"KOROŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",1391.519,1397.045,492.43,775.809,90.74,32.54,5.526
2024,"KOROŠKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",546.457,546.457,0,546.457,0,0,0
2024,"KOROŠKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",64.56,64.56,0,64.56,0,0,0
2024,"KOROŠKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",2.842,2.842,0,2.842,0,0,0
2024,"KOROŠKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",896.062,911.69,815.467,80.595,0,0,15.628
2024,"KOROŠKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",35.88,35.88,0,35.88,0,0,0
2024,"KOROŠKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",11028.08,11028.08,11025.98,2.1,0,0,0
2024,"OBALNO-KRAŠKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",18.98,44.04,0,18.98,0,0,25.06
2024,"OBALNO-KRAŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",2161.077,2168.631,2035.097,125.98,0,0,7.554
2024,"OBALNO-KRAŠKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",1567.84,1567.84,0,1567.84,0,0,0
2024,"OBALNO-KRAŠKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",1924.8,2156.141,1924.8,0,0,0,231.341
2024,"OBALNO-KRAŠKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",3976,3976,3975.1,0.9,0,0,0
2024,"OBALNO-KRAŠKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",2554.163,2554.583,2386.27,167.893,0,0,0.42
2024,"OSREDNJESLOVENSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",44.98,45.34,0,44.98,0,0,0.36
2024,"OSREDNJESLOVENSKA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste",2317.423,2317.423,0,2317.423,0,0,0
2024,"OSREDNJESLOVENSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",19307.771,19323.947,12872.665,4995.875,282.382,1156.849,16.176
2024,"OSREDNJESLOVENSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",3840.205,3840.205,347.97,3449.605,25.83,16.8,0
2024,"OSREDNJESLOVENSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",1117.54,1117.54,0,1109.74,7.8,0,0
2024,"OSREDNJESLOVENSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",665.009,665.009,0,0.64,0,664.369,0
2024,"OSREDNJESLOVENSKA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues",12.095,12.095,0,12.095,0,0,0
2024,"OSREDNJESLOVENSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",33692.237,34111.522,12936.921,16356.659,4054.449,344.208,419.285
2024,"OSREDNJESLOVENSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",15502.059,15502.059,15268.31,233.749,0,0,0
2024,"OSREDNJESLOVENSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",18213.05,18213.05,17848.806,129.344,0,234.9,0
2024,"PODRAVSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",3.32,3.32,0,3.32,0,0,0
2024,"PODRAVSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",2263.78,2322.409,2068.654,78.526,116.6,0,58.629
2024,"PODRAVSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",848.403,858.723,190.921,657.482,0,0,10.32
2024,"PODRAVSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",331.042,627.412,0,273.362,57.68,0,296.37
2024,"PODRAVSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",19.02,19.02,0,19.02,0,0,0
2024,"PODRAVSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",8071.152,8140.543,7604.294,51.316,415.542,0,69.391
2024,"PODRAVSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",10295.056,10563.096,10085.838,209.218,0,0,268.04
2024,"PODRAVSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",17014.484,17283.494,9390.232,6803.112,0,821.14,269.01
2024,"POMURSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",1142.799,1171.446,661.47,481.329,0,0,28.647
2024,"POMURSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",189.093,193.976,0,189.093,0,0,4.883
2024,"POMURSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",94.32,94.32,0,94.32,0,0,0
2024,"POMURSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",2003.025,2022.097,1875.547,56.318,71.16,0,19.072
2024,"POMURSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",1102.2,1102.2,1092.74,9.46,0,0,0
2024,"POMURSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",3921.91,3921.91,3907.11,14.8,0,0,0
