"year","statistical_region","waste_code","type_of_waste","waste_category","total_waste_generated_stored","temporarily_stored_start_year","generated_in_the_year","temporarily_stored_end_year","total_waste_given_away","waste_treated_by_original_generator","waste_transferred_for_treatment_in_RS","waste_sent_for_treatment_EU","waste_sent_for_treatment_outside_EU"
2024,"GORENJSKA","03 01 01","Bark and Cork Waste (03 01 01)","Wood/Paper Production Waste",4,0,4,0,0,4,0,0,0
2024,"GORENJSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",2293.238,10.88,2282.358,725.45,1497.188,70.6,1497.188,0,0
2024,"GORENJSKA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste",998.745,0,998.745,0,998.745,0,998.745,0,0
2024,"GORENJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",4353.538,3.482,4350.056,4.684,4348.854,0,4348.854,0,0
2024,"GORENJSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",3182.728,1.31,3181.418,2.96,3179.768,0,3179.768,0,0
2024,"GORENJSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",315.762,0,315.762,3.3,312.462,0,312.462,0,0
2024,"GORENJSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",3.1,0,3.1,0,3.1,0,3.1,0,0
2024,"GORENJSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",2685.684,2.591,2683.093,2.589,2683.095,0,2683.095,0,0
2024,"GORENJSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",221.187,0,221.187,0.25,220.937,0,220.937,0,0
2024,"GORENJSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",321.236,0.38,320.856,0,321.236,0,321.236,0,0
2024,"GORIŠKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",1345.32,0.12,1345.2,1.6,1343.72,0,1311.2,32.52,0
2024,"GORIŠKA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste",3.692,0,3.692,0,3.692,0,3.692,0,0
2024,"GORIŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",5399.913,12.573,5387.34,13.826,5375.041,11.046,5375.041,0,0
2024,"GORIŠKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",1600.261,5.326,1594.935,11.786,1587.658,0.817,1587.658,0,0
2024,"GORIŠKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",122.799,0,122.799,0,122.799,0,122.799,0,0
2024,"GORIŠKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",524.206,15.31,508.896,25.13,489.816,9.26,489.816,0,0
2024,"GORIŠKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",22.428,0.15,22.278,0.17,22.258,0,22.258,0,0
2024,"GORIŠKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",91.543,5.17,86.373,5.68,85.863,0,85.863,0,0
2024,"JUGOVZHODNA SLOVENIJA","02 01 07","Forestry Waste (02 01 07)","Agricultural/Forestry Waste",374.01,0,374.01,0,374.01,0,374.01,0,0
2024,"JUGOVZHODNA SLOVENIJA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",2705.107,3.5,2701.607,4.2,2700.907,0,2700.907,0,0
2024,"JUGOVZHODNA SLOVENIJA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste",2065.496,0,2065.496,0,2065.496,0,2065.496,0,0
2024,"JUGOVZHODNA SLOVENIJA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",4310.698,18.995,4291.703,11.67,4299.028,0,4299.028,0,0
2024,"JUGOVZHODNA SLOVENIJA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",1924.125,25.93,1898.195,18.14,1905.985,0,1905.985,0,0
2024,"JUGOVZHODNA SLOVENIJA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",245.838,0.3,245.538,0.2,245.638,0,245.638,0,0
2024,"JUGOVZHODNA SLOVENIJA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues",0.028,0,0.028,0,0.028,0,0.028,0,0
2024,"JUGOVZHODNA SLOVENIJA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",965.203,28.68,936.523,25.82,939.383,0,939.383,0,0
2024,"JUGOVZHODNA SLOVENIJA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",31.94,0,31.94,0,31.94,0,31.94,0,0
2024,"JUGOVZHODNA SLOVENIJA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",93.176,0,93.176,0,93.176,0,93.176,0,0
2024,"KOROŠKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",201.62,0,201.62,0,201.62,0,201.62,0,0
2024,"KOROŠKA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste",1119.73,0,1119.73,0,1119.73,0,1119.73,0,0
2024,"KOROŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",1573.861,0.73,1573.131,0.67,1573.091,0.1,1573.091,0,0
2024,"KOROŠKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",777.227,0,777.227,0,777.175,0.052,777.175,0,0
2024,"KOROŠKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",52.067,0,52.067,0,52.067,0,52.067,0,0
2024,"KOROŠKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",6.74,0,6.74,0,6.74,0,6.74,0,0
2024,"KOROŠKA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues",33.5,0,33.5,0,33.5,0,33.5,0,0
2024,"KOROŠKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",130.109,0.15,129.959,0,129.779,0.33,129.779,0,0
2024,"KOROŠKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",66.58,0,66.58,0,66.58,0,66.58,0,0
2024,"KOROŠKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",110.53,0,110.53,0,110.53,0,110.53,0,0
2024,"OBALNO-KRAŠKA","03 01 01","Bark and Cork Waste (03 01 01)","Wood/Paper Production Waste",18.82,0,18.82,0,18.82,0,18.82,0,0
2024,"OBALNO-KRAŠKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",20.62,0,20.62,0,20.62,0,20.62,0,0
2024,"OBALNO-KRAŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",2200.29,3.354,2196.936,6.434,2193.856,0,2193.856,0,0
2024,"OBALNO-KRAŠKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",2538.868,0.875,2537.993,1.7,2537.168,0,2453.168,84,0
