"Leto","Poročilo","Odlagališče","deposited_waste_code","Naziv odloženih odpadkov","Odloženi odpadki glede na občino izvora (kg)","Šifra občine 1","Naziv občine"
2024,"ODP-obdelava","GLOBOKO","20 03 07","Drugi odpadki, ki niso biorazgradljivi",15633,7,"BRDA"
2024,"ODP-obdelava","GLOBOKO","20 03 07","Drugi odpadki, ki niso biorazgradljivi",848780,43,"KAMNIK"
2024,"ODP-obdelava","GLOBOKO","20 03 07","Drugi odpadki, ki niso biorazgradljivi",15633,44,"KANAL"
2024,"ODP-obdelava","GLOBOKO","20 03 07","Drugi odpadki, ki niso biorazgradljivi",10116,75,"MIREN-KOSTANJEVICA"
2024,"ODP-obdelava","GLOBOKO","20 03 07","Drugi odpadki, ki niso biorazgradljivi",44141,84,"NOVA GORICA"
2024,"ODP-obdelava","GLOBOKO","20 03 07","Drugi odpadki, ki niso biorazgradljivi",9871,130,"TREBNJE"
2024,"ODP-obdelava","GLOBOKO","20 03 07","Drugi odpadki, ki niso biorazgradljivi",2915,199,"MOKRONOG-TREBELNO"
2024,"ODP-obdelava","GLOBOKO","20 03 07","Drugi odpadki, ki niso biorazgradljivi",6437,201,"RENČE-VOGRSKO"
2024,"ODP-obdelava","GLOBOKO","20 03 07","Drugi odpadki, ki niso biorazgradljivi",2415,211,"ŠENTRUPERT"
2024,"ODP-obdelava","GLOBOKO","20 03 07","Drugi odpadki, ki niso biorazgradljivi",2379,212,"MIRNA"
2024,"ODP-obdelava","LESKOVEC - novo","20 03 07","Drugi odpadki, ki niso biorazgradljivi",145343,3,"BLED"
2024,"ODP-obdelava","LESKOVEC - novo","20 03 07","Drugi odpadki, ki niso biorazgradljivi",14040,4,"BOHINJ"
2024,"ODP-obdelava","LESKOVEC - novo","20 03 07","Drugi odpadki, ki niso biorazgradljivi",618,8,"BREZOVICA"
2024,"ODP-obdelava","LESKOVEC - novo","20 03 07","Drugi odpadki, ki niso biorazgradljivi",1310018,9,"BREŽICE"
2024,"ODP-obdelava","LESKOVEC - novo","20 03 07","Drugi odpadki, ki niso biorazgradljivi",1,12,"CERKLJE NA GORENJSKEM"
2024,"ODP-obdelava","LESKOVEC - novo","20 03 07","Drugi odpadki, ki niso biorazgradljivi",412,14,"CERKNO"
2024,"ODP-obdelava","LESKOVEC - novo","20 03 07","Drugi odpadki, ki niso biorazgradljivi",239651,17,"ČRNOMELJ"
2024,"ODP-obdelava","LESKOVEC - novo","20 03 07","Drugi odpadki, ki niso biorazgradljivi",811,18,"DESTRNIK"
2024,"ODP-obdelava","LESKOVEC - novo","20 03 07","Drugi odpadki, ki niso biorazgradljivi",12163,29,"GORNJA RADGONA"
2024,"ODP-obdelava","LESKOVEC - novo","20 03 07","Drugi odpadki, ki niso biorazgradljivi",378200,38,"ILIRSKA BISTRICA"
2024,"ODP-obdelava","LESKOVEC - novo","20 03 07","Drugi odpadki, ki niso biorazgradljivi",6127,41,"JESENICE"
2024,"ODP-obdelava","LESKOVEC - novo","20 03 07","Drugi odpadki, ki niso biorazgradljivi",1149601,43,"KAMNIK"
2024,"ODP-obdelava","LESKOVEC - novo","20 03 07","Drugi odpadki, ki niso biorazgradljivi",6281,45,"KIDRIČEVO"
2024,"ODP-obdelava","LESKOVEC - novo","20 03 07","Drugi odpadki, ki niso biorazgradljivi",799804,48,"KOČEVJE"
2024,"ODP-obdelava","LESKOVEC - novo","20 03 07","Drugi odpadki, ki niso biorazgradljivi",366351,50,"KOPER"
2024,"ODP-obdelava","LESKOVEC - novo","20 03 07","Drugi odpadki, ki niso biorazgradljivi",3952,52,"KRANJ"
2024,"ODP-obdelava","LESKOVEC - novo","20 03 07","Drugi odpadki, ki niso biorazgradljivi",5489030,54,"KRŠKO"
2024,"ODP-obdelava","LESKOVEC - novo","20 03 07","Drugi odpadki, ki niso biorazgradljivi",68006,58,"LENART"
2024,"ODP-obdelava","LESKOVEC - novo","20 03 07","Drugi odpadki, ki niso biorazgradljivi",180,59,"LENDAVA"
2024,"ODP-obdelava","LESKOVEC - novo","20 03 07","Drugi odpadki, ki niso biorazgradljivi",222230,60,"LITIJA"
2024,"ODP-obdelava","LESKOVEC - novo","20 03 07","Drugi odpadki, ki niso biorazgradljivi",13337,61,"LJUBLJANA"
2024,"ODP-obdelava","LESKOVEC - novo","20 03 07","Drugi odpadki, ki niso biorazgradljivi",4904,64,"LOGATEC"
2024,"ODP-obdelava","LESKOVEC - novo","20 03 07","Drugi odpadki, ki niso biorazgradljivi",1506,68,"LUKOVICA"
2024,"ODP-obdelava","LESKOVEC - novo","20 03 07","Drugi odpadki, ki niso biorazgradljivi",289723,70,"MARIBOR"
2024,"ODP-obdelava","LESKOVEC - novo","20 03 07","Drugi odpadki, ki niso biorazgradljivi",83628,73,"METLIKA"
2024,"ODP-obdelava","LESKOVEC - novo","20 03 07","Drugi odpadki, ki niso biorazgradljivi",245,80,"MURSKA SOBOTA"
2024,"ODP-obdelava","LESKOVEC - novo","20 03 07","Drugi odpadki, ki niso biorazgradljivi",787197,84,"NOVA GORICA"
2024,"ODP-obdelava","LESKOVEC - novo","20 03 07","Drugi odpadki, ki niso biorazgradljivi",260527,85,"NOVO MESTO"
2024,"ODP-obdelava","LESKOVEC - novo","20 03 07","Drugi odpadki, ki niso biorazgradljivi",14660,88,"OSILNICA"
2024,"ODP-obdelava","LESKOVEC - novo","20 03 07","Drugi odpadki, ki niso biorazgradljivi",553,89,"PESNICA"
