"year","statistical_region","treatment_inlet_delivered_waste_code","input_waste_name","waste_category","treatment_operation","treatment_outlet_delivered_waste_code","output_waste_name","waste_category_1","further_treatment_envisaged","waste_sent_to_self_storage_end_year","waste_sent_to_collector_SI","waste_sent_to_treatment_operator","waste_sent_to_EU_member_states","waste_sent_to_non_EU_countries","waste_sent_to_no_further_management"
2024,"GORENJSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste","R_01","10 01 01","Ash, slag and boiler dust (excluding boiler dust listed under 10 01 04) (10 01 01)","Thermal Process Waste","R_05",0,0,1276.948,0,0,0
2024,"GORENJSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste","R_12, R_13","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste","R_03",0,0,27.89,0,0,0
2024,"GORENJSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste","R_12, R_13","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues","R_03",0,0,0,227.04,0,0
2024,"GORENJSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste","R_12, R_13","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues","R_12, R_13",0,0,64.09,0,0,0
2024,"GORENJSKA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste","R_12, R_13","19 12 12","Other Mechanically Treated Waste (19 12 12)","Waste Treatment Residues","R_12, R_13",0,0,53.215,0,0,0
2024,"GORENJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","R_12, R_13","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","R_12, R_13",0,0,3180.156,0,0,0
2024,"GORENJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","R_12, R_13","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",NA,70.484,0,0,0,0,0
2024,"GORENJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste","R_12, R_13","19 12 04","Plastics and Rubber from Mechanical Treatment (19 12 04)","Waste Treatment Residues","R_03",0,0,153.06,0,0,0
2024,"GORENJSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste","R_01","10 01 01","Ash, slag and boiler dust (excluding boiler dust listed under 10 01 04) (10 01 01)","Thermal Process Waste","R_05",0,0,58.18,0,0,0
2024,"GORENJSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste","R_12, R_13","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste","R_03",0,0,903.12,0,0,0
2024,"GORENJSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste","R_12, R_13","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste","R_12, R_13",0,0,961.88,0,0,0
2024,"GORENJSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste","R_12, R_13","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",NA,13.857,0,0,0,0,0
2024,"GORENJSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste","R_12, R_13","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues","R_03",0,0,0,6085.22,0,0
2024,"GORENJSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste","R_12, R_13","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues","R_12, R_13",0,0,40.139,0,0,0
2024,"GORENJSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste","R_12, R_13","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues",NA,2264.182,0,0,0,0,0
