"year","statistical_region","waste_code","type_of_waste","waste_category","total_waste_received","untreated_waste_from_storage_start_year","waste_received_own_waste","waste_received_from_generators","waste_received_from_collectors","waste_received_from_treatment","waste_received_from_EU","waste_received_from_non_EU"
2024,"GORENJSKA","03 01 01","Bark and Cork Waste (03 01 01)","Wood/Paper Production Waste",4,0,4,0,0,0,0,0
2024,"GORENJSKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",1666.568,0,70.6,1583.548,0,12.42,0,0
2024,"GORENJSKA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste",53.215,0,0,53.215,0,0,0,0
2024,"GORENJSKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",4327.624,0,0,3135.717,1189.607,2.3,0,0
2024,"GORENJSKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",6588.921,0,0,3576.951,54.37,2957.6,0,0
2024,"GORENJSKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",1934.306,142.1,0,1189.666,602.54,0,0,0
2024,"GORENJSKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",371.22,0,0,345.02,0,26.2,0,0
2024,"GORENJSKA","19 12 07","Wood Waste from Treatment (not 19 12 06) (19 12 07)","Waste Treatment Residues",5.24,0,0,5.24,0,0,0,0
2024,"GORENJSKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",2177.59,0,0,1399.998,777.272,0.32,0,0
2024,"GORENJSKA","20 01 38","Non-hazardous Wood from Municipal Waste (20 01 38)","Municipal Waste",7842.7,0,0,279.337,6082.76,1480.603,0,0
2024,"GORENJSKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",3082.969,0,0,202.915,2801.734,78.32,0,0
2024,"GORIŠKA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",100.18,5.06,0,95.12,0,0,0,0
2024,"GORIŠKA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",2136.293,0,11.046,1182.149,794.92,148.178,0,0
2024,"GORIŠKA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",613.249,0,0.817,572.902,39.53,0,0,0
2024,"GORIŠKA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",51.09,0,0,51.09,0,0,0,0
2024,"GORIŠKA","19 12 01","Paper and Cardboard from Waste Treatment (19 12 01)","Waste Treatment Residues",37.65,0,0,2.497,0,35.153,0,0
2024,"GORIŠKA","20 01 01","Paper and Cardboard from Municipal Waste (20 01 01)","Municipal Waste",1887.513,0,9.26,837.545,944.068,96.64,0,0
2024,"GORIŠKA","20 03 07","Bulky Municipal Waste (20 03 07)","Municipal Waste",95.42,0,0,17.1,78.32,0,0,0
2024,"JUGOVZHODNA SLOVENIJA","03 01 05","Sawdust/Shavings/Cuttings (03 01 05)","Wood/Paper Production Waste",2783.547,0,0,2760.103,23.444,0,0,0
2024,"JUGOVZHODNA SLOVENIJA","03 03 01","Bark and Wood Waste from Pulp/Paper Production (03 03 01)","Wood/Paper Production Waste",1.797,0,0,0,1.797,0,0,0
2024,"JUGOVZHODNA SLOVENIJA","03 03 08","Waste from Sorting of Paper and Cardboard for Recycling (03 03 08)","Wood/Paper Production Waste",1858.829,0,0,1858.829,0,0,0,0
2024,"JUGOVZHODNA SLOVENIJA","15 01 01","Paper and Cardboard Packaging (15 01 01)","Packaging Waste",6788.134,0,0,4507.247,2280.887,0,0,0
2024,"JUGOVZHODNA SLOVENIJA","15 01 03","Wooden Packaging (15 01 03)","Packaging Waste",2233.23,0,0,2227.19,6.04,0,0,0
2024,"JUGOVZHODNA SLOVENIJA","17 02 01","Construction Wood Waste (17 02 01)","Construction/Demolition Waste",419.823,0,0,356.687,63.136,0,0,0
