year,statistical_region,name_of_municipality,type_of_waste,waste_collected_by_municipality
2018,GORENJSKA,BLED,Paper/Cardboard Packaging,11.62
2018,GORENJSKA,CERKLJE NA GORENJSKEM,Other Wood Waste,223.08
2018,GORENJSKA,GORENJA VAS-POLJANE,Paper/Cardboard Packaging,2.37
2018,GORENJSKA,JESENICE,Paper/Cardboard Packaging,4.923
2018,GORENJSKA,KRANJ,Paper/Cardboard Packaging,38.569
2018,GORENJSKA,KRANJSKA GORA,Paper/Cardboard Packaging,4.067
2018,GORENJSKA,RADOVLJICA,Paper/Cardboard Packaging,22.5
2018,GORENJSKA,TRŽIČ,Paper/Cardboard Packaging,10.453
2018,GORENJSKA,ŠKOFJA LOKA,Paper/Cardboard Packaging,5.339
2018,GORENJSKA,ŽIRI,Paper/Cardboard Packaging,12.27
2018,GORENJSKA,ŽIRI,Wooden Packaging,1.5
2018,GORIŠKA,AJDOVŠČINA,Paper/Cardboard Packaging,1.119
2018,GORIŠKA,IDRIJA,Paper/Cardboard Packaging,39.072
2018,GORIŠKA,NOVA GORICA,Paper/Cardboard Packaging,18.365
2018,GORIŠKA,NOVA GORICA,Wooden Packaging,8.4
2018,GORIŠKA,TOLMIN,Paper/Cardboard Packaging,6.066
2018,GORIŠKA,ŠEMPETER-VRTOJBA,Paper/Cardboard Packaging,3.077
2018,JUGOVZHODNA SLOVENIJA,KOČEVJE,Paper/Cardboard Packaging,1.863
2018,JUGOVZHODNA SLOVENIJA,METLIKA,Paper/Cardboard Packaging,4.881
2018,JUGOVZHODNA SLOVENIJA,NOVO MESTO,Paper/Cardboard Packaging,38.355
2018,JUGOVZHODNA SLOVENIJA,NOVO MESTO,Other Wood Waste,1.51
2018,JUGOVZHODNA SLOVENIJA,RIBNICA,Paper/Cardboard Packaging,1.622
2018,JUGOVZHODNA SLOVENIJA,TREBNJE,Paper/Cardboard Packaging,4.49
2018,KOROŠKA,DRAVOGRAD,Paper/Cardboard Packaging,11.126000000000001
2018,KOROŠKA,MEŽICA,Paper/Cardboard Packaging,1.133
2018,KOROŠKA,MISLINJA,Paper/Cardboard Packaging,17.491
2018,KOROŠKA,MUTA,Paper/Cardboard Packaging,0.287
2018,KOROŠKA,PODVELKA,Paper/Cardboard Packaging,0.205
2018,KOROŠKA,PREVALJE,Paper/Cardboard Packaging,14.694
2018,KOROŠKA,RADLJE OB DRAVI,Paper/Cardboard Packaging,0.489
2018,KOROŠKA,RAVNE NA KOROŠKEM,Paper/Cardboard Packaging,3.645
2018,KOROŠKA,RIBNICA NA POHORJU,Paper/Cardboard Packaging,0.1
2018,KOROŠKA,SLOVENJ GRADEC,Paper/Cardboard Packaging,118.487
2018,KOROŠKA,VUZENICA,Paper/Cardboard Packaging,0.219
2018,KOROŠKA,ČRNA NA KOROŠKEM,Paper/Cardboard Packaging,1.054
2018,OBALNOKRAŠKA,HRPELJE-KOZINA,Paper/Cardboard Packaging,1.827
2018,OBALNOKRAŠKA,IZOLA,Paper/Cardboard Packaging,9.96
2018,OBALNOKRAŠKA,IZOLA,Wooden Packaging,8.06
2018,OBALNOKRAŠKA,KOPER,Paper/Cardboard Packaging,110.832
2018,OBALNOKRAŠKA,KOPER,Wooden Packaging,46.2
2018,OBALNOKRAŠKA,PIRAN,Paper/Cardboard Packaging,15.94
2018,OBALNOKRAŠKA,SEŽANA,Paper/Cardboard Packaging,13.055
2018,OSREDNJESLOVENSKA,BREZOVICA,Paper/Cardboard Packaging,8.272
2018,OSREDNJESLOVENSKA,BREZOVICA,Other Wood Waste,100.5
2018,OSREDNJESLOVENSKA,DOL PRI LJUBLJANI,Paper/Cardboard Packaging,1.385
2018,OSREDNJESLOVENSKA,DOMŽALE,Paper/Cardboard Packaging,11.689
2018,OSREDNJESLOVENSKA,GROSUPLJE,Paper/Cardboard Packaging,20.098
2018,OSREDNJESLOVENSKA,GROSUPLJE,Wooden Packaging,9.84
2018,OSREDNJESLOVENSKA,IG,Other Wood Waste,83.18
2018,OSREDNJESLOVENSKA,KAMNIK,Paper/Cardboard Packaging,10.792
2018,OSREDNJESLOVENSKA,LJUBLJANA,Paper/Cardboard Packaging,528.833
2018,OSREDNJESLOVENSKA,LJUBLJANA,Other Wood Waste,5066.4000000000005
2018,OSREDNJESLOVENSKA,LJUBLJANA,Wooden Packaging,11.65
2018,OSREDNJESLOVENSKA,LOGATEC,Paper/Cardboard Packaging,46.626
2018,OSREDNJESLOVENSKA,LOGATEC,Other Wood Waste,325.96
2018,OSREDNJESLOVENSKA,LOGATEC,Wooden Packaging,115.02
2018,OSREDNJESLOVENSKA,LUKOVICA,Paper/Cardboard Packaging,7.43
2018,OSREDNJESLOVENSKA,LUKOVICA,Wooden Packaging,0.39
2018,OSREDNJESLOVENSKA,MEDVODE,Paper/Cardboard Packaging,5.833
2018,OSREDNJESLOVENSKA,MEDVODE,Other Wood Waste,183.06
2018,OSREDNJESLOVENSKA,MENGEŠ,Paper/Cardboard Packaging,7.957
2018,OSREDNJESLOVENSKA,TRZIN,Paper/Cardboard Packaging,12.905
2018,OSREDNJESLOVENSKA,VELIKE LAŠČE,Other Wood Waste,52.14
2018,OSREDNJESLOVENSKA,VODICE,Paper/Cardboard Packaging,2.009
2018,OSREDNJESLOVENSKA,VODICE,Other Wood Waste,71.32
2018,OSREDNJESLOVENSKA,VRHNIKA,Paper/Cardboard Packaging,66.317
2018,OSREDNJESLOVENSKA,VRHNIKA,Wooden Packaging,45.85
2018,OSREDNJESLOVENSKA,ŠKOFLJICA,Other Wood Waste,84.36
2018,PODRAVSKA,HOČE-SLIVNICA,Paper/Cardboard Packaging,5.585
2018,PODRAVSKA,LENART,Paper/Cardboard Packaging,115.459
2018,PODRAVSKA,MARIBOR,Paper/Cardboard Packaging,245.915
2018,PODRAVSKA,MIKLAVŽ NA DRAVSKEM POLJU,Paper/Cardboard Packaging,1.532
2018,PODRAVSKA,ORMOŽ,Paper/Cardboard Packaging,26.306
2018,PODRAVSKA,PODLEHNIK,Paper/Cardboard Packaging,12.2
