year,statistical_region,waste_code,type_of_waste,waste_category,total_waste_given_away,waste_handed_to_collectors_RS,waste_delivered_to_operators_RS,waste_sent_to_EU,waste_sent_to_non_EU
2016,GORENJSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,1.98,1.98,0,0,0
2016,GORENJSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,33.281,10.195,23.086,0,0
2016,GORENJSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,43.687,4.817,38.87,0,0
2016,GORENJSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,44.278,12.42,31.858,0,0
2016,GORENJSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,62.14,44.21,17.93,0,0
2016,GORENJSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,94.353,94.353,0,0,0
2016,GORENJSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,100.986,0,100.986,0,0
2016,GORENJSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,111.867,22.376,89.491,0,0
2016,GORENJSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,124.756,28.92,95.836,0,0
2016,GORENJSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,280.246,0,280.246,0,0
2016,GORENJSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,521.475,121.509,399.966,0,0
2016,GORENJSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,0.46,0,0.46,0,0
2016,GORENJSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,36.82,17.46,19.36,0,0
2016,GORENJSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,210.93,0,210.93,0,0
2016,GORENJSKA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,202.23,0,202.23,0,0
2016,GORENJSKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,2.03,0,2.03,0,0
2016,GORENJSKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,6.812,0,6.812,0,0
2016,GORENJSKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,35.87,26.99,8.88,0,0
2016,GORENJSKA,19 12 07,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,86.57,86.57,0,0,0
2016,GORENJSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,30.615,30.615,0,0,0
2016,GORENJSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,42.465,0,42.465,0,0
2016,GORENJSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,66.843,52.5,14.343,0,0
2016,GORENJSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,76.463,29.425,47.038,0,0
2016,GORENJSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,90.145,0,90.145,0,0
2016,GORENJSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,112.901,112.901,0,0,0
2016,GORENJSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,144.98,0,144.98,0,0
2016,GORENJSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,334.063,274.51,59.553,0,0
2016,GORENJSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,357.754,192.71,165.044,0,0
2016,GORENJSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,426.027,66.62,359.407,0,0
2016,GORENJSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,473.937,0,473.937,0,0
2016,GORENJSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,785.803,316.385,469.418,0,0
2016,GORENJSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,49.12,49.12,0,0,0
2016,GORENJSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,75.34,0,75.34,0,0
2016,GORENJSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,85,0,85,0,0
2016,GORENJSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,193,12.8,180.2,0,0
2016,GORENJSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,359.04,0,359.04,0,0
2016,GORENJSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,945.47,0,945.47,0,0
2016,GORENJSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,5.78,0,5.78,0,0
2016,GORENJSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,78.34,0,78.34,0,0
2016,GORENJSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,104.32,0,104.32,0,0
2016,GORENJSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,142.86,107.16,35.7,0,0
2016,GORENJSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,279.38,0,279.38,0,0
2016,GORENJSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,282.96,0,282.96,0,0
2016,GORENJSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,345.53,345.53,0,0,0
2016,GORENJSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,525.36,525.36,0,0,0
2016,GORENJSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,698.578,0,698.578,0,0
2016,GORENJSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,749.54,0,749.54,0,0
2016,GORENJSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,1116.05,0,1116.05,0,0
2016,GORIŠKA,03 01 05,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,38.54,0,38.54,0,0
2016,GORIŠKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,196.797,196.797,0,0,0
2016,GORIŠKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,288.223,60.475,227.748,0,0
2016,GORIŠKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,409.778,57.41,352.368,0,0
2016,GORIŠKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,28.8,28.8,0,0,0
2016,GORIŠKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,227.166,201.466,25.7,0,0
2016,GORIŠKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,153.12,153.12,0,0,0
2016,GORIŠKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,337.04,337.04,0,0,0
2016,GORIŠKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,2193.969,1084.75,1109.219,0,0
2016,GORIŠKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,348.27,348.27,0,0,0
2016,GORIŠKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,365.64,0,365.64,0,0
2016,GORIŠKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,964.28,0,964.28,0,0
