year,statistical_region,name_of_municipality,type_of_waste,waste_category,waste_by_municipality
2018,GORENJSKA,BLED,Bulky Municipal Waste (20 03 07),Municipal Waste,316.26
2018,GORENJSKA,BOHINJ,Bulky Municipal Waste (20 03 07),Municipal Waste,226.98
2018,GORENJSKA,CERKLJE NA GORENJSKEM,Bulky Municipal Waste (20 03 07),Municipal Waste,68.52
2018,GORENJSKA,GORENJA VAS-POLJANE,Bulky Municipal Waste (20 03 07),Municipal Waste,141.22
2018,GORENJSKA,GORJE,Bulky Municipal Waste (20 03 07),Municipal Waste,61.02
2018,GORENJSKA,JESENICE,Bulky Municipal Waste (20 03 07),Municipal Waste,956.58
2018,GORENJSKA,KRANJ,Bulky Municipal Waste (20 03 07),Municipal Waste,539.62
2018,GORENJSKA,KRANJSKA GORA,Bulky Municipal Waste (20 03 07),Municipal Waste,252.576
2018,GORENJSKA,NAKLO,Bulky Municipal Waste (20 03 07),Municipal Waste,28.425
2018,GORENJSKA,PREDDVOR,Bulky Municipal Waste (20 03 07),Municipal Waste,6.397
2018,GORENJSKA,RADOVLJICA,Bulky Municipal Waste (20 03 07),Municipal Waste,544.84
2018,GORENJSKA,TRŽIČ,Bulky Municipal Waste (20 03 07),Municipal Waste,301.86
2018,GORENJSKA,ŠENČUR,Bulky Municipal Waste (20 03 07),Municipal Waste,75.123
2018,GORENJSKA,ŠKOFJA LOKA,Bulky Municipal Waste (20 03 07),Municipal Waste,675.98
2018,GORENJSKA,ŽELEZNIKI,Bulky Municipal Waste (20 03 07),Municipal Waste,82.46
2018,GORENJSKA,ŽIRI,Bulky Municipal Waste (20 03 07),Municipal Waste,40.12
2018,GORENJSKA,ŽIROVNICA,Bulky Municipal Waste (20 03 07),Municipal Waste,225
2018,GORENJSKA,BLED,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,316.489
2018,GORENJSKA,CERKLJE NA GORENJSKEM,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,223.08
2018,GORENJSKA,GORENJA VAS-POLJANE,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,56.78
2018,GORENJSKA,GORJE,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,55.851
2018,GORENJSKA,JESENICE,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,277.06
2018,GORENJSKA,JEZERSKO,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,27.5
2018,GORENJSKA,KRANJ,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,1016.11
2018,GORENJSKA,NAKLO,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,49.22
2018,GORENJSKA,RADOVLJICA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,478.33
2018,GORENJSKA,TRŽIČ,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,153.8
2018,GORENJSKA,ŠENČUR,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,159.16
2018,GORENJSKA,ŽIRI,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,91.14
2018,GORENJSKA,ŽIROVNICA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,78.14
