year,statistical_region,waste_code,type_of_waste,waste_category,total_waste_collected,waste_from_producers_no_record,waste_from_producers_with_record,waste_from_collectors_RS,waste_from_processors_RS
2016,GORENJSKA,03 03 08,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,5.726,0,5.726,0,0
2016,GORENJSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,1419.609,1288.507,94.913,4.817,31.372
2016,GORENJSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,264.75,178.03,86.72,0,0
2016,GORENJSKA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,202.23,202.23,0,0,0
2016,GORENJSKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,44.711999999999996,35.87,8.842,0,0
2016,GORENJSKA,19 12 07,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,86.57,86.57,0,0,0
2016,GORENJSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,2938.887,2573.77,338.497,26.62,0
2016,GORENJSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,1902.47,1902.47,0,0,0
2016,GORENJSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,4328.697999999999,3771.6279999999997,557.07,0,0
2016,GORIŠKA,03 01 05,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,14.64,0,14.64,0,0
2016,GORIŠKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,887.008,728.884,158.124,0,0
2016,GORIŠKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,159.562,131.802,27.76,0,0
2016,GORIŠKA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,226.325,5.5,220.825,0,0
2016,GORIŠKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,2.149,0,2.149,0,0
2016,GORIŠKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,2657.1479999999997,2510.428,0,146.72,0
2016,GORIŠKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,1667.99,1662.0900000000001,5.9,0,0
2016,GORIŠKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,1774.382,1774.382,0,0,0
2016,JUGOVZHODNA SLOVENIJA,03 01 01,Bark and Cork Waste (03 01 01),Wood/Paper Production Waste,0.061,0,0.061,0,0
2016,JUGOVZHODNA SLOVENIJA,03 01 05,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,1224.884,127.67,335.584,127.67,633.96
2016,JUGOVZHODNA SLOVENIJA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,1158.071,1044.914,59.287000000000006,0,53.87
2016,JUGOVZHODNA SLOVENIJA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,496.135,196.25099999999998,257.147,13.007,29.73
2016,JUGOVZHODNA SLOVENIJA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,95.613,0,95.613,0,0
2016,JUGOVZHODNA SLOVENIJA,19 12 07,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,122.58,0,0,0,122.58
2016,JUGOVZHODNA SLOVENIJA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,1985.889,1984.6689999999999,0,0,1.22
2016,JUGOVZHODNA SLOVENIJA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,1673.611,1166.412,423.734,72.995,10.47
2016,JUGOVZHODNA SLOVENIJA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,1259.444,1250.584,2,6.86,0
2016,KOROŠKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,1269.289,74.08699999999999,999.956,0,195.246
2016,KOROŠKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,596.04,0,596.04,0,0
2016,KOROŠKA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,22,0,22,0,0
2016,KOROŠKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,26.57,0,26.57,0,0
2016,KOROŠKA,19 12 07,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,54.62,0,54.62,0,0
2016,KOROŠKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,370.098,283.038,42.3,0,44.76
2016,KOROŠKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,1601.96,947.51,654.45,0,0
2016,OBALNO-KRAŠKA,03 01 05,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,1861.8,0,1861.8,0,0
2016,OBALNO-KRAŠKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,1346.12,1153.6009999999999,192.519,0,0
2016,OBALNO-KRAŠKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,289.8,0,273.02,16.78,0
2016,OBALNO-KRAŠKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,2842.158,2687.669,154.489,0,0
2016,OBALNO-KRAŠKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,2833.789,2824.629,9.16,0,0
2016,OBALNO-KRAŠKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,1156.12,842.95,313.17,0,0
2016,OSREDNJESLOVENSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,18462.074,3601.995,12134.439,1111.843,1613.797
2016,OSREDNJESLOVENSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,2021.851,227.94,1589.525,201.606,2.78
2016,OSREDNJESLOVENSKA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,6.9799999999999995,5.3,1.68,0,0
2016,OSREDNJESLOVENSKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,2633.147,0,1342.632,211.89,1078.625
2016,OSREDNJESLOVENSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,47462.086,15086.716,25306.69,5218.268,1850.4119999999998
2016,OSREDNJESLOVENSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,4971.764,4770.387,201.377,0,0
2016,OSREDNJESLOVENSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,7970.952,7932.0070000000005,38.945,0,0
2016,PODRAVSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,3868.783,1657.864,2167.872,43.047,0
2016,PODRAVSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,196.716,30.96,165.756,0,0
2016,PODRAVSKA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,496.764,0,496.764,0,0
2016,PODRAVSKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,2382.5660000000003,0,29.44,0,2353.126
