year,statistical_region,waste_code,type_of_waste,waste_category,total_waste_generated_stored,temporarily_stored_start_year,generated_in_the_year,temporarily_stored_end_year,total_waste_given_away,waste_treated_by_original_generator,waste_transferred_for_treatment_in_RS,waste_sent_for_treatment_EU,waste_sent_for_treatment_outside_EU
2016,GORENJSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,0,0.56,0.56,NA,NA,NA,NA,NA,NA
2016,GORENJSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,0.46,17,16.54,NA,NA,NA,NA,NA,NA
2016,GORENJSKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,0,0,0,NA,NA,NA,NA,NA,NA
2016,GORENJSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,9.559,6.45,-3.108999999999999,NA,NA,NA,NA,NA,NA
2016,GORENJSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,0,195.5,195.5,NA,NA,NA,NA,NA,NA
2016,GORIŠKA,03 01 05,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,26.76,2.86,-23.9,NA,NA,NA,NA,NA,NA
2016,GORIŠKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,20,12.21,-7.789999999999999,NA,NA,NA,NA,NA,NA
2016,GORIŠKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,116.259,19.855,-96.404,NA,NA,NA,NA,NA,NA
2016,GORIŠKA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,669.474,895.799,226.32499999999993,NA,NA,NA,NA,NA,NA
2016,GORIŠKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,0,2.149,2.149,NA,NA,NA,NA,NA,NA
2016,GORIŠKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,42.924,15.943,-26.981,NA,NA,NA,NA,NA,NA
2016,GORIŠKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,400,389.8,-10.199999999999989,NA,NA,NA,NA,NA,NA
2016,GORIŠKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,211.522,11.947,-199.575,NA,NA,NA,NA,NA,NA
2016,JUGOVZHODNASLOVENIJA,03 01 01,Bark and Cork Waste (03 01 01),Wood/Paper Production Waste,0.096,0.157,0.061,NA,NA,NA,NA,NA,NA
2016,JUGOVZHODNASLOVENIJA,03 01 05,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,6.7,513.3,506.6,NA,NA,NA,NA,NA,NA
2016,JUGOVZHODNASLOVENIJA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,0,8.433,8.433,NA,NA,NA,NA,NA,NA
2016,JUGOVZHODNASLOVENIJA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,0.38,5.08,4.7,NA,NA,NA,NA,NA,NA
2016,JUGOVZHODNASLOVENIJA,19 12 07,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,0,49.595,49.595,NA,NA,NA,NA,NA,NA
2016,JUGOVZHODNASLOVENIJA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,106.856,0,-106.856,NA,NA,NA,NA,NA,NA
2016,KOROŠKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,0,28.321,28.321,NA,NA,NA,NA,NA,NA
2016,KOROŠKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,66.64,27.66,-38.98,NA,NA,NA,NA,NA,NA
2016,KOROŠKA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,0,12,12,NA,NA,NA,NA,NA,NA
2016,KOROŠKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,10.607,8.863,-1.7439999999999998,NA,NA,NA,NA,NA,NA
2016,KOROŠKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,0,0,0,NA,NA,NA,NA,NA,NA
2016,OBALNO-KRAŠKA,03 01 05,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,90,109.5,19.5,NA,NA,NA,NA,NA,NA
2016,OBALNO-KRAŠKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,20.7,41.4,20.7,NA,NA,NA,NA,NA,NA
2016,OSREDNJESLOVENSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,201.229,13.277999999999999,-187.951,NA,NA,NA,NA,NA,NA
2016,OSREDNJESLOVENSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,0,30.445999999999998,30.445999999999998,NA,NA,NA,NA,NA,NA
2016,OSREDNJESLOVENSKA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,0,1.68,1.68,NA,NA,NA,NA,NA,NA
2016,OSREDNJESLOVENSKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,13.204,2.4699999999999998,-10.734,NA,NA,NA,NA,NA,NA
2016,OSREDNJESLOVENSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,2.43,16.181,13.751,NA,NA,NA,NA,NA,NA
2016,OSREDNJESLOVENSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,17.36,1.06,-16.3,NA,NA,NA,NA,NA,NA
2016,PODRAVSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,5.858,28.403999999999996,22.546,NA,NA,NA,NA,NA,NA
