year,statistical_region,waste_code,type_of_waste,waste_category,total_waste_received,untreated_waste_from_storage_start_year,waste_received_own_waste,waste_received_from_generators,waste_received_from_collectors,waste_received_from_treatment,waste_received_from_EU,waste_received_from_non_EU
2016,GORENJSKA,03 01 05,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,792.56,0,0,792.56,0,0,0,0
2016,GORENJSKA,03 03 08,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,1460.297,0,0,1460.033,0.264,0,0,0
2016,GORENJSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,5853.9710000000005,0,0,4720.959,594.438,362.264,0,176.31
2016,GORENJSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,1827.868,0,0,1616.938,210.93,0,0,0
2016,GORENJSKA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,222.59,0,0,20.36,202.23,0,0,0
2016,GORENJSKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,4623.246,0,0,388.84,1851.959,1246.083,1136.364,0
2016,GORENJSKA,19 12 07,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,1623.037,0,0,29.675,110.15,1483.212,0,0
2016,GORENJSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,6193.464,0,0,5466.442,645.931,81.091,0,0
2016,GORENJSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,113.98,0,0,64.86,49.12,0,0,0
2016,GORENJSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,5871.907,0,0,2704.047,3167.86,0,0,0
2016,GORIŠKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,1924.9959999999999,0,0,1420.531,504.465,0,0,0
2016,GORIŠKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,920.88,0,0,920.88,0,0,0,0
2016,GORIŠKA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,16.7,0,0,16.7,0,0,0,0
2016,GORIŠKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,270.764,0,0,3.394,0,267.37,0,0
2016,GORIŠKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,1111.34,0,2.85,1066.03,42.46,0,0,0
2016,GORIŠKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,188.08,0,0,188.08,0,0,0,0
2016,GORIŠKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,7.68,0,0,7.68,0,0,0,0
2016,JUGOVZHODNA SLOVENIJA,03 01 05,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,1484.479,0,0,1484.479,0,0,0,0
2016,JUGOVZHODNA SLOVENIJA,03 01 99,Other Unspecified Wood Waste (03 01 99),Wood/Paper Production Waste,25.26,0,0,25.26,0,0,0,0
2016,JUGOVZHODNA SLOVENIJA,03 03 08,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,1596.847,0,0,1596.847,0,0,0,0
2016,JUGOVZHODNA SLOVENIJA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,5676.354,0,361.445,4613.048,418.572,283.289,0,0
2016,JUGOVZHODNA SLOVENIJA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,2282.577,0,4.73,2232.097,45.75,0,0,0
2016,JUGOVZHODNA SLOVENIJA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,29.719,0,0,29.719,0,0,0,0
2016,JUGOVZHODNA SLOVENIJA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,158.42600000000002,0,114.599,10.187,0,33.64,0,0
2016,JUGOVZHODNA SLOVENIJA,19 12 07,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,5.276,0,4.22,1.056,0,0,0,0
2016,JUGOVZHODNA SLOVENIJA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,2578.764,0,0,2401.975,150.169,0,26.62,0
2016,JUGOVZHODNA SLOVENIJA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,305.986,0,104.52,139.281,62.185,0,0,0
2016,JUGOVZHODNA SLOVENIJA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,1046.0529999999999,0,0,746.643,299.09,0.32,0,0
2016,KOROŠKA,03 01 05,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,17.67,0,0,17.67,0,0,0,0
2016,KOROŠKA,03 03 08,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,2451.75,0,0,2451.75,0,0,0,0
2016,KOROŠKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,1212.91,0,47.566,983.674,177.76999999999998,3.9,0,0
2016,KOROŠKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,167.48499999999999,0,0,167.48499999999999,0,0,0,0
2016,KOROŠKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,737.087,0,17.482,719.605,0,0,0,0
2016,KOROŠKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,1907.17,0,0,1907.17,0,0,0,0
2016,OBALNO-KRAŠKA,03 01 05,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,1531.8,0,0,1531.8,0,0,0,0
2016,OBALNO-KRAŠKA,03 03 08,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,975.533,0,0,975.533,0,0,0,0
2016,OBALNO-KRAŠKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,4589.284,0,0,3037.8019999999997,565.457,986.025,0,0
2016,OBALNO-KRAŠKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,2564.014,0,0,990.535,0,1573.479,0,0
2016,OBALNO-KRAŠKA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,14.806000000000001,0,0,14.806000000000001,0,0,0,0
2016,OBALNO-KRAŠKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,46.612,0,0,46.612,0,0,0,0
2016,OBALNO-KRAŠKA,19 12 07,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,31.171,0,0,31.171,0,0,0,0
2016,OBALNO-KRAŠKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,2252.165,0,0,1914.904,165.83100000000002,171.43,0,0
2016,OBALNO-KRAŠKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,2377.116,0,0,974.127,1402.989,0,0,0
2016,OBALNO-KRAŠKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,306.98,0,0,306.98,0,0,0,0
2016,OSREDNJESLOVENSKA,02 01 07,Forestry Waste (02 01 07),Agricultural/Forestry Waste,106.86,0,0,106.86,0,0,0,0
2016,OSREDNJESLOVENSKA,03 01 05,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,324.72499999999997,0,8.18,278.005,38.54,0,0,0
2016,OSREDNJESLOVENSKA,03 03 08,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,1732.814,0,0,1540.7630000000001,192.051,0,0,0
2016,OSREDNJESLOVENSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,53642.996999999996,0,1312.015,20830.37,17394.350000000002,9021.915,5005.206999999999,79.14
2016,OSREDNJESLOVENSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,9299.84,0,738.7239999999999,4554.416,1250.673,2749.4399999999996,6.587,0
2016,OSREDNJESLOVENSKA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,1539.2649999999999,0,0,1373.415,165.85000000000002,0,0,0
2016,OSREDNJESLOVENSKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,45607.679,0,0,851.8340000000001,20336.545,9421.844,14802.586,194.87
2016,OSREDNJESLOVENSKA,19 12 07,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,29.479999999999997,0,0,18.12,0,11.36,0,0
2016,OSREDNJESLOVENSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,66732.766,0,3202.758,17492.331,34431.256,8637.266,2927.34,41.815
2016,OSREDNJESLOVENSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,12591.501,0,38.652,1418.707,10154.222,979.92,0,0
2016,OSREDNJESLOVENSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,6612.182,0,249.7,544.862,5695.36,122.26,0,0
2016,PODRAVSKA,03 01 05,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,327.83,0,0,0,0,327.83,0,0
2016,PODRAVSKA,03 03 08,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,2819.381,0,0,2819.381,0,0,0,0
2016,PODRAVSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,13195.221,0,1656.6,7309.054,2810.228,1074.622,335.237,9.48
2016,PODRAVSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,2330.667,0,1.05,1844.818,349.799,135,0,0
2016,PODRAVSKA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,373.02500000000003,0,0,367.81,0.635,4.58,0,0
2016,PODRAVSKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,7374.122,0,663.89,787.8489999999999,18.82,772.513,5131.05,0
2016,PODRAVSKA,19 12 07,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,1619.859,0,7.21,1612.584,0,0.065,0,0
2016,PODRAVSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,20103.2,0,300.473,7391.764,3774.132,1159.844,7324.017,152.97
2016,PODRAVSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,1276.3400000000001,0,1.09,721.2099999999999,443.58000000000004,110.46,0,0
2016,PODRAVSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,6623.361,0,0,1769.5739999999998,4853.787,0,0,0
2016,POMURSKA,03 01 05,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,1117.44,0,0,1117.44,0,0,0,0
2016,POMURSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,3593.327,0,0,2269.129,197.708,1126.49,0,0
2016,POMURSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,382.627,0,0,382.627,0,0,0,0
2016,POMURSKA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,1.94,0,0,1.94,0,0,0,0
