year,waste_code,type_of_waste,waste_category,mass_change,treatment_operation
2018,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,88.925,NA
2018,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,1.35,NA
2018,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,2.5,NA
2018,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,12.692,NA
2018,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,1358.218,NA
2018,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,13,NA
2018,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,50.64,NA
2018,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,7,NA
2018,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,1.5,NA
2018,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,2.508,NA
2018,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,17.571,NA
2018,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,361,NA
2019,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,10.66,NA
2019,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,18.4,NA
2019,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,18.359,NA
2019,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,1701.15,NA
2019,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,5.86,NA
2019,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,14.92,NA
2019,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,7,NA
2019,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,1.5,NA
2019,03 01 05,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,3.294,NA
2019,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,138.913,NA
2019,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,352.587,NA
