year,statistical_region,treatment_inlet_delivered_waste_code,input_waste_name,waste_category,treatment_operation,treatment_outlet_delivered_waste_code,output_waste_name,waste_category_1,further_treatment_envisaged,waste_sent_to_self_storage_end_year,waste_sent_to_collector_SI,waste_sent_to_treatment_operator,waste_sent_to_EU_member_states,waste_sent_to_non_EU_countries,waste_sent_to_no_further_management
2022,GORENJSKA,03 01 05,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,"R_12, R_13",19 12 07,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,R_03,0,0,0,159.588,0,0
2022,GORENJSKA,03 01 05,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,"R_12, R_13",19 12 07,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,undefined,8.781,0,0,0,0,0
2022,GORENJSKA,03 01 05,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,"R_12, R_13",19 12 12,Other Mechanically Treated Waste (19 12 12),Waste Treatment Residues,R_01,0,0,57.749,0,0,0
2022,GORENJSKA,03 03 08,Waste from Sorting of Paper and Cardboard for Recycling (03 03 08),Wood/Paper Production Waste,"R_12, R_13",19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,R_03,0,0,0,53.329,0,0
2022,GORENJSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,R_03,0,0,0,1108.76,0,0
2022,GORENJSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,undefined,4.565,0,0,0,0,0
2022,GORENJSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,R_03,0,0,0,476.377,0,0
2022,GORENJSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,"R_12, R_13",0,0,2847.843,0,0,0
2022,GORENJSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",15 01 03,Wooden Packaging (15 01 03),Packaging Waste,R_03,0,0,291.18,4396.76,0,0
2022,GORENJSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",15 01 03,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",0,0,1182.7,0,0,0
2022,GORENJSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,"R_12, R_13",0,0,493.168,0,0,0
2022,GORENJSKA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,BO,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,undefined,142.1,0,0,0,0,0
2022,GORENJSKA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,"R_12, R_13",19 12 07,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,R_03,0,0,0,310.685,0,0
2022,GORENJSKA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,"R_12, R_13",19 12 12,Other Mechanically Treated Waste (19 12 12),Waste Treatment Residues,R_01,0,0,56.119,0,0,0
2022,GORENJSKA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,"R_12, R_13",20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,"R_12, R_13",0,0,4.321,0,0,0
2022,GORENJSKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,"R_12, R_13",19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,R_03,0,0,0,237.429,0,0
2022,GORENJSKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,"R_12, R_13",19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,undefined,13.185,0,0,0,0,0
2022,GORENJSKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,"R_12, R_13",20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",0,0,247.38,0,0,0
2022,GORENJSKA,19 12 07,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,"R_12, R_13",19 12 07,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,R_03,0,0,0,89.58,0,0
2022,GORENJSKA,19 12 07,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,"R_12, R_13",19 12 07,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,undefined,2.3,0,0,0,0,0
2022,GORENJSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,R_03,0,0,63.52,31.815,0,0
2022,GORENJSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,"R_12, R_13",0,0,1621.126,0,0,0
2022,GORENJSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,R_03,0,0,93.54,68.21,0,0
2022,GORENJSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,undefined,40.108,0,0,0,0,0
2022,GORENJSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,"R_12, R_13",19 12 07,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,R_03,0,0,0,3707.058,0,0
2022,GORENJSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,"R_12, R_13",20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,"R_12, R_13",0,0,172.919,0,0,0
2022,GORENJSKA,20 02 03,Non-biodegradable Garden and Park Waste (20 02 03),Municipal Waste,R_03,19 12 07,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,R_03,0,0,8.48,0,0,0
2022,GORENJSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,D_01,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,undefined,0,0,0,0,0,4180.044
2022,GORENJSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,"R_12, R_13",19 12 12,Other Mechanically Treated Waste (19 12 12),Waste Treatment Residues,D_01,0,0,34.643,0,0,0
2022,GORENJSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,"R_12, R_13",20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,undefined,0,3.78,0,0,0,0
2022,GORENJSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,"R_12, R_13",20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,undefined,0,120.01,0,0,0,0
2022,GORENJSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,"R_12, R_13",20 01 40,Metals from Municipal Waste (20 01 40),Municipal Waste,undefined,0,0.9,0,0,0,0
2022,GORIŠKA,03 01 05,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,BO,03 01 05,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,undefined,0.81,0,0,0,0,0
2022,GORIŠKA,09 01 07,Silver-Containing Photographic Films and Paper (09 01 07),Photographic Industry Waste,"R_12, R_13",19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,undefined,3.378,0,0,0,0,0
2022,GORIŠKA,12 01 02,Iron Dust and Particles (12 01 02),Metal/Plastic Processing Waste,R_12,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,"R_12, R_13",0,0,0.55,0,0,0
2022,GORIŠKA,12 01 03,Non-Ferrous Metal Turnings (12 01 03),Metal/Plastic Processing Waste,R_12,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,undefined,0,0.55,0,0,0,0
2022,GORIŠKA,12 01 03,Non-Ferrous Metal Turnings (12 01 03),Metal/Plastic Processing Waste,R_12,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,"R_12, R_13",0,0,0.85,0,0,0
2022,GORIŠKA,12 01 04,Non-Ferrous Metal Dust and Particles (12 01 04),Metal/Plastic Processing Waste,BO,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,undefined,66.722,0,0,0,0,0
2022,GORIŠKA,12 01 04,Non-Ferrous Metal Dust and Particles (12 01 04),Metal/Plastic Processing Waste,R_12,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,undefined,0,1.02,0,0,0,0
2022,GORIŠKA,12 01 04,Non-Ferrous Metal Dust and Particles (12 01 04),Metal/Plastic Processing Waste,R_12,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,"R_12, R_13",0,0,2.05,0,0,0
2022,GORIŠKA,12 01 04,Non-Ferrous Metal Dust and Particles (12 01 04),Metal/Plastic Processing Waste,"R_12, R_13",19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,undefined,1.528,0,0,0,0,0
2022,GORIŠKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,R_12,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,R_03,0,0,116.05,0,0,0
2022,GORIŠKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,R_12,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",0,0,621.879,0,0,0
2022,GORIŠKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,R_03,0,0,0,119.236,0,0
2022,GORIŠKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",0,0,685.417,0,0,0
2022,GORIŠKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,undefined,38.576,0,0,0,0,0
2022,GORIŠKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",15 01 03,Wooden Packaging (15 01 03),Packaging Waste,R_03,0,0,78.16,433.94,0,0
2022,GORIŠKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",15 01 03,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",0,0,66.19,0,0,0
2022,GORIŠKA,16 02 14,Discarded Equipment Not Otherwise Specified (16 02 14),Miscellaneous Waste,R_12,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,undefined,0,8.86,0,0,0,0
2022,GORIŠKA,16 02 14,Discarded Equipment Not Otherwise Specified (16 02 14),Miscellaneous Waste,R_12,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,"R_12, R_13",0,0,3.8,0,0,0
2022,GORIŠKA,16 02 16,Components Removed from Discarded Equipment (16 02 16),Miscellaneous Waste,R_12,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,undefined,0,5.82,0,0,0,0
2022,GORIŠKA,16 02 16,Components Removed from Discarded Equipment (16 02 16),Miscellaneous Waste,R_12,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,"R_12, R_13",0,0,5.324,0,0,0
2022,GORIŠKA,16 03 04,Non-Hazardous Inorganic Wastes (16 03 04),Miscellaneous Waste,R_12,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,undefined,0,4.42,0,0,0,0
2022,GORIŠKA,16 03 04,Non-Hazardous Inorganic Wastes (16 03 04),Miscellaneous Waste,R_12,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,"R_12, R_13",0,0,3.61,0,0,0
2022,GORIŠKA,16 03 04,Non-Hazardous Inorganic Wastes (16 03 04),Miscellaneous Waste,"R_12, R_13",19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,undefined,0.457,0,0,0,0,0
2022,GORIŠKA,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,BO,17 02 01,Construction Wood Waste (17 02 01),Construction/Demolition Waste,undefined,18.13,0,0,0,0,0
2022,GORIŠKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,R_12,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,"R_12, R_13",0,0,1.256,0,0,0
2022,GORIŠKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,"R_12, R_13",20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",0,0,4.101,0,0,0
2022,GORIŠKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,BO,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,undefined,0.58,0,0,0,0,0
2022,GORIŠKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,R_12,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,R_03,0,0,262.06,0,0,0
