year,statistical_region,treatment_inlet_delivered_waste_code,input_waste_name,waste_category,treatment_outlet_delivered_waste_code,output_waste_name,waste_category_1,waste_handed_to_collectors_RS,waste_delivered_to_operators_RS,waste_sent_to_EU,waste_sent_to_non_EU
2020,JUGOVZHODNA SLOVENIJA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,17.6,0,0,0
2020,JUGOVZHODNA SLOVENIJA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,83.51,0,0,0
2020,JUGOVZHODNA SLOVENIJA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,15 01 06,Mixed Packaging (15 01 06),Packaging Waste,1.5,0,0,0
2020,JUGOVZHODNA SLOVENIJA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,16 01 03,End-of-Life Tyres (16 01 03),Miscellaneous Waste,44.97,0,0,0
2020,JUGOVZHODNA SLOVENIJA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,0.88,0,0,0
2020,JUGOVZHODNA SLOVENIJA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,20 01 02,Glass from Municipal Waste (20 01 02),Municipal Waste,21.91,0,0,0
2020,JUGOVZHODNA SLOVENIJA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,20 01 23*,Discarded Equipment Containing CFCs (20 01 23*),Municipal Waste,8.41,0,0,0
2020,JUGOVZHODNA SLOVENIJA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,20 01 35*,Hazardous Waste Electrical Equipment (20 01 35*),Municipal Waste,3.87,0,0,0
2020,JUGOVZHODNA SLOVENIJA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,20 01 36,Non-Hazardous Waste Electrical Equipment (20 01 36),Municipal Waste,34.57,0,0,0
2020,JUGOVZHODNA SLOVENIJA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,0,160.28,0,0
2020,JUGOVZHODNA SLOVENIJA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,20 01 40,Metals from Municipal Waste (20 01 40),Municipal Waste,0.44,24.302,0,0
2020,KOROŠKA,03 01 05,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,10 01 01,"Ash, slag and boiler dust (excluding boiler dust listed under 10 01 04) (10 01 01)",Thermal Process Waste,0,6.7,0,0
2020,KOROŠKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,0,1132.16,0,0
2020,KOROŠKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,20 01 40,Metals from Municipal Waste (20 01 40),Municipal Waste,88.4,0,0,0
2020,OSREDNJESLOVENSKA,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,0,2.36,0,0
2020,OSREDNJESLOVENSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,19 02 04*,Mixed Waste Containing Hazardous Substances (19 02 04*),Waste Treatment Residues,0,0,0.273,0
2020,OSREDNJESLOVENSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,19 12 07,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,0,6287.66,0,0
2020,OSREDNJESLOVENSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,0,1292.56,0,0
2020,OSREDNJESLOVENSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,19 12 02,Ferrous Metals from Mechanical Treatment (19 12 02),Waste Treatment Residues,1.55,727.091,0,0
2020,OSREDNJESLOVENSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,19 12 03,Non-Ferrous Metals from Mechanical Treatment (19 12 03),Waste Treatment Residues,0,167.357,0,0
2020,OSREDNJESLOVENSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,19 12 04,Plastics and Rubber from Mechanical Treatment (19 12 04),Waste Treatment Residues,1.82,20.576,0,0
2020,OSREDNJESLOVENSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,19 12 07,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,2.24,0,0,0
2020,OSREDNJESLOVENSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,19 12 12,Other Mechanically Treated Waste (19 12 12),Waste Treatment Residues,2.68,12763.531,1943.434,0
2020,OSREDNJESLOVENSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,0,89.83,0,0
2020,OSREDNJESLOVENSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,20 01 39,Plastics from Municipal Waste (20 01 39),Municipal Waste,0,1.05,0,0
2020,OSREDNJESLOVENSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,20 01 40,Metals from Municipal Waste (20 01 40),Municipal Waste,0,38.12,0,0
2020,PODRAVSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,03 03 05,Sludges from On-site Wastewater Treatment (03 03 05),Wood/Paper Production Waste,0,6.405,0,0
2020,PODRAVSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,0,16.003,0,0
2020,PODRAVSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,19 12 12,Other Mechanically Treated Waste (19 12 12),Waste Treatment Residues,378.65,0,0,0
2020,PODRAVSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,20 01 36,Non-Hazardous Waste Electrical Equipment (20 01 36),Municipal Waste,0,22.345,0,0
2020,PODRAVSKA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,20 01 40,Metals from Municipal Waste (20 01 40),Municipal Waste,0,40.833,0,0
