year,statistical_region,name_of_municipality,waste_code,type_of_waste,waste_category,waste_collected_by_municipality
2018,GORENJSKA,BLED,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,11.62
2018,GORENJSKA,CERKLJE NA GORENJSKEM,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,223.08
2018,GORENJSKA,CERKLJE NA GORENJSKEM,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,68.52
2018,GORENJSKA,GORENJA VAS-POLJANE,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,2.37
2018,GORENJSKA,GORENJA VAS-POLJANE,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,7.11
2018,GORENJSKA,GORENJA VAS-POLJANE,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,141.22
2018,GORENJSKA,JESENICE,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,4.923
2018,GORENJSKA,KRANJ,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,38.569
2018,GORENJSKA,KRANJ,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,632.428
2018,GORENJSKA,KRANJSKA GORA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,4.067
2018,GORENJSKA,KRANJSKA GORA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,0.36
2018,GORENJSKA,NAKLO,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,28.425
2018,GORENJSKA,PREDDVOR,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,6.398
2018,GORENJSKA,RADOVLJICA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,22.5
2018,GORENJSKA,RADOVLJICA,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,4.52
2018,GORENJSKA,TRŽIČ,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,10.453
2018,GORENJSKA,ŠENČUR,20 03 07,Bulky Municipal Waste (20 03 07),Municipal Waste,75.13
2018,GORENJSKA,ŠKOFJA LOKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,5.339
2018,GORENJSKA,ŠKOFJA LOKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,0.12
2018,GORENJSKA,ŽIRI,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,12.27
2018,GORENJSKA,ŽIRI,15 01 03,Wooden Packaging (15 01 03),Packaging Waste,1.5
