year,statistical_region,waste_code,type_of_waste,waste_category,waste_stored_start_year,waste_stored_end_year,next_year_start
2017,GORENJSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,0,380.816,380.816
2018,GORENJSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,380.816,0.28,0.28
2019,GORENJSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,0.28,2.24,2.24
2020,GORENJSKA,20 01 38,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,2.24,0,80.46
2021,GORENJSKA,NA,Non-hazardous Wood from Municipal Waste (20 01 38),NA,80.46,90.7,0
2022,GORENJSKA,NA,Non-hazardous Wood from Municipal Waste (20 01 38),NA,0,0,2939.66
2023,GORENJSKA,NA,Non-hazardous Wood from Municipal Waste (20 01 38),NA,2939.66,0,NA
2016,GORENJSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,115.237,89.025,21.745
2017,GORENJSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,21.745,126.756,126.756
2018,GORENJSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,126.756,126.941,126.941
2019,GORENJSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,126.941,290.161,290.161
2020,GORENJSKA,15 01 01,Paper and Cardboard Packaging (15 01 01),Packaging Waste,290.161,79.478,79.478
2021,GORENJSKA,NA,Paper and Cardboard Packaging (15 01 01),NA,79.478,33.004,4.565
2023,GORENJSKA,NA,Paper and Cardboard Packaging (15 01 01),NA,4.565,0,NA
2016,GORENJSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,67.56,36.977,0
2017,GORENJSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,0,62.224,62.224
2018,GORENJSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,62.224,82.237,82.237
2019,GORENJSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,82.237,437.993,437.993
2020,GORENJSKA,20 01 01,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,437.993,10.988,10.988
2021,GORENJSKA,NA,Paper and Cardboard from Municipal Waste (20 01 01),NA,10.988,33.004,40.108
2023,GORENJSKA,NA,Paper and Cardboard from Municipal Waste (20 01 01),NA,40.108,0,NA
2016,GORENJSKA,19 12 01,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,414.519,307.3,307.3
