year,statistical_region,type_of_waste,waste_category,treatment_process,waste_for_processing
2016,GORENJSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,D_01,4361.37
2016,GORENJSKA,Bulky Municipal Waste (20 03 07),Municipal Waste,"R_12, R_13",1510.5369999999998
2016,GORENJSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,R_01,202.23
2016,GORENJSKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,"R_12, R_13",20.36
2016,GORENJSKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,"R_12, R_13",113.98
2016,GORENJSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,R_03,301.177
2016,GORENJSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,R_12,0.74
2016,GORENJSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",5548.027
2016,GORENJSKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,R_13,1.62
2016,GORENJSKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",6193.464
2016,GORENJSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,R_03,4676.687
2016,GORENJSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,R_12,0.165
2016,GORENJSKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,"R_12, R_13",53.573
2016,GORENJSKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,R_01,644.04
2016,GORENJSKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,"R_12, R_13",148.52
2016,GORENJSKA,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,R_01,1590.202
2016,GORENJSKA,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,"R_12, R_13",32.835
2016,GORENJSKA,Wooden Packaging (15 01 03),Packaging Waste,R_01,216.18
2016,GORENJSKA,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",1611.688
2016,GORIŠKA,Bulky Municipal Waste (20 03 07),Municipal Waste,"R_12, R_13",7.68
2016,GORIŠKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,"R_12, R_13",16.7
2016,GORIŠKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,"R_12, R_13",188.08
2016,GORIŠKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,R_0101,5.06
2016,GORIŠKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",1916.302
2016,GORIŠKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,R_0101,8.23
2016,GORIŠKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",1103.1100000000001
2016,GORIŠKA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,"R_12, R_13",270.764
2016,GORIŠKA,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",920.88
2016,JUGOVZHODNA SLOVENIJA,Bulky Municipal Waste (20 03 07),Municipal Waste,"R_12, R_13",1046.0529999999999
2016,JUGOVZHODNA SLOVENIJA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,"R_12, R_13",29.719
2016,JUGOVZHODNA SLOVENIJA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,R_0302,6.08
2016,JUGOVZHODNA SLOVENIJA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,"R_12, R_13",195.386
2016,JUGOVZHODNA SLOVENIJA,Other Unspecified Wood Waste (03 01 99),Wood/Paper Production Waste,"R_12, R_13",25.26
2016,JUGOVZHODNA SLOVENIJA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,R_12,1.96
2016,JUGOVZHODNA SLOVENIJA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",5312.9490000000005
2016,JUGOVZHODNA SLOVENIJA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",2578.244
2016,JUGOVZHODNA SLOVENIJA,Paper and Cardboard from Waste Treatment (19 12 01),Waste Treatment Residues,"R_12, R_13",43.827
2016,JUGOVZHODNA SLOVENIJA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,"R_12, R_13",1484.479
2016,JUGOVZHODNA SLOVENIJA,Wood Waste from Treatment (not 19 12 06) (19 12 07),Waste Treatment Residues,"R_12, R_13",1.056
2016,JUGOVZHODNA SLOVENIJA,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",2277.847
2016,KOROŠKA,Bulky Municipal Waste (20 03 07),Municipal Waste,R_12,1.31
2016,KOROŠKA,Bulky Municipal Waste (20 03 07),Municipal Waste,"R_12, R_13",1905.8600000000001
2016,KOROŠKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",1165.304
2016,KOROŠKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",719.605
2016,KOROŠKA,Sawdust/Shavings/Cuttings (03 01 05),Wood/Paper Production Waste,"R_12, R_13",17.67
2016,KOROŠKA,Wooden Packaging (15 01 03),Packaging Waste,"R_12, R_13",167.48499999999999
2016,OBALNO-KRAŠKA,Bulky Municipal Waste (20 03 07),Municipal Waste,D_01,303.19
2016,OBALNO-KRAŠKA,Bulky Municipal Waste (20 03 07),Municipal Waste,"R_12, R_13",3.79
2016,OBALNO-KRAŠKA,Construction Wood Waste (17 02 01),Construction/Demolition Waste,"R_12, R_13",14.806000000000001
2016,OBALNO-KRAŠKA,Non-hazardous Wood from Municipal Waste (20 01 38),Municipal Waste,"R_12, R_13",1618.226
2016,OBALNO-KRAŠKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,"R_12, R_13",4568.324
2016,OBALNO-KRAŠKA,Paper and Cardboard Packaging (15 01 01),Packaging Waste,R_13,20.96
2016,OBALNO-KRAŠKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,R_12,0.22
2016,OBALNO-KRAŠKA,Paper and Cardboard from Municipal Waste (20 01 01),Municipal Waste,"R_12, R_13",2048.8959999999997
